timestep,action,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
26,-0.05919955,2415000.0,85493700.0,7.0,0.0,True,0.502928594850877,-80.47064631106359,1.53646080760095,0.00818840825531925,80.22501417676598,1.0,1.2870546318289786,0.01642864950292333,-5.376630520228267,-0.01,-0.24563213429761493,-0.01,-2.1,-0.01,-0.6848963500389917,-0.9039993705241555,sell
27,0.0005251309,2385000.0,85283700.0,7.0,0.0,True,0.5037146549896335,-80.37399246962057,1.2870546318289786,-0.24563213429761493,80.47248725819095,1.0,1.3868171021377673,0.01904884996544509,-5.813540679615363,-0.01,0.09849478857038331,9.70075282206162e-05,0.8400000000000001,0.007031164878535945,-1.0660827842002292,-1.4246260576719736,buy
28,-0.59340906,2397000.0,85351957.0,3.0,4.0,True,0.5030033533602212,-80.48982396401657,1.3681199524940617,0.08003522361248398,80.41952680609668,1.0,1.2968610451306413,0.01667784453407062,-5.009042353796013,-0.01,-0.07029715791988227,-0.01,-0.6000000000000001,-0.01,-0.9935184681653553,-1.3045962380361058,sell
29,0.42642698,2377000.0,85287570.0,16.0,13.0,True,0.5009119131042518,-91.7014205075579,1.2916508313539192,-0.07543705178312432,91.40125953451107,1.0,0.9876128266033254,0.009706377014172651,-4.602727066062148,-0.01,-0.30016097304683437,-0.01,-2.56,-0.01,-1.1419238641864555,-1.496608068407867,buy
30,0.96772087,2361000.0,85025201.0,35.0,19.0,True,0.4988188526160686,-55.9138570837462,0.9800486935866983,-0.30762864975517534,55.46105015653882,1.0,0.5228040380047506,0.0027295087202288126,-4.575585944106162,-0.01,-0.45280692720738175,-0.01,-3.8500000000000005,-0.01,-1.5745263529819256,-2.097793870676282,buy
31,0.35211366,2350000.0,84640201.0,35.0,0.0,True,0.5068282210185542,-2.0702109248762612,0.5228040380047506,-0.45280692720738175,3.2694046744279666,1.0,1.7282672209026129,0.029427403395180685,-4.667081616306691,-0.01,1.1991937495517053,0.014277748733389717,10.15,0.6430733569609197,-2.216829317459605,-3.0184985579608035,buy
32,-0.601155,2379000.0,85573167.0,14.0,21.0,True,0.5074938019365705,-0.6323248216293815,1.6308396674584322,1.10227290221109,1.0249712688503894,0.9947673137521257,2.029889548693587,0.04036715020169224,-5.438804547907488,-0.01,0.39264644722100794,0.0015405244972140908,3.3600000000000003,0.10675644738500623,-0.8088423657757138,-1.115046040789736,sell
33,-0.30432722,2403000.0,85893385.0,10.0,4.0,True,0.508553231187704,-60.849877158338664,2.0111460807600947,0.3742037501077879,60.73345375739807,1.0,1.892381235154394,0.03517743729234679,-5.129085670033442,-0.01,-0.1164234009405963,-0.01,-1.0,-0.01,-0.3420580528682748,-0.4656731914453951,sell
34,-0.5529679,2393000.0,85773739.0,5.0,5.0,True,0.5110219449076779,-71.67418655115291,1.8690486935866983,-0.13929594228938585,71.90735815161212,1.0,2.1065783847981,0.043406483025593134,-6.703797286042686,-0.01,0.2331716004592035,0.0005435421800068507,2.0,0.03921056084767682,-0.5832739663216985,-0.7973833891284026,sell
35,-0.19717275,2433000.0,85973739.0,5.0,0.0,True,0.5122690443054277,-85.71823947187379,2.1065783847981,0.2331716004592035,85.81710687137121,1.0,2.2075285035629455,0.0475634810180926,-7.363133392680346,-0.01,0.09886739949742096,9.774284969021885e-05,0.8500000000000001,0.007198962432378719,-0.23754414127636697,-0.32043076806906245,sell
36,0.06917949,2450000.0,86058044.0,7.0,2.0,True,0.5172105856490455,-85.49557092079013,2.2067030878859857,0.09805901311329497,85.85346889950785,1.0,2.5724988123515438,0.06403528549681858,-8.965962726109995,-0.01,0.3578979787177129,0.0012800896171188958,3.08,0.09050338240241873,-0.096758596244666,-0.12874891947310999,buy
37,0.99294406,2494000.0,86356837.0,33.0,26.0,True,0.5402108809752643,-79.43713431367321,2.561564133016627,0.34719938556818697,80.73639449848058,1.0,3.894105700712589,0.1407029365842143,-9.16492828855396,-0.01,1.2992601848073708,0.016739088428809223,11.22,0.7160292389016232,0.38666105705792136,0.5086308299873203,buy
38,0.23517804,2528000.0,87478837.0,33.0,0.0,True,0.5371082258040212,-3.549038045476353,3.894105700712589,1.2992601848073708,3.3981444070526963,1.0,3.7373361045130644,0.13036075268007064,-9.14280700818819,-0.01,-0.1508936384236567,-0.01,-1.32,-0.01,2.166675233919097,2.909015036927268,buy
39,0.88184756,2524000.0,87346837.0,33.0,0.0,True,0.543401812281779,-4.484326877825319,3.7373361045130644,-0.1508936384236567,4.786570220649513,1.0,4.050875296912114,0.1513393742725967,-9.18704956891973,-0.01,0.3022433428241941,0.000913093259230946,2.64,0.06732268928438057,1.9693189097518902,2.6627428259098878,buy
40,-0.49349296,2532000.0,87544317.0,17.0,16.0,True,0.5459623072285343,-3.962177817612331,3.9718729216152022,0.22608717932167366,4.156365179882802,1.0,4.173773159144893,0.1598743574284479,-9.511378898100189,-0.01,0.19418736227047154,0.00037701622816921354,1.7000000000000002,0.02848638902970424,2.2763196105343715,3.0411977598771136,sell
41,0.41229415,2542000.0,87711791.0,24.0,7.0,True,0.5429361098311465,-50.73466619198137,4.170773159144893,0.19130196652285264,50.597854483279626,1.0,4.028255344418053,0.14978703277048822,-9.433283117120409,-0.01,-0.13681170870174114,-0.01,-1.2000000000000002,-0.01,2.594692241494769,3.4256701005220576,buy
42,-0.03402412,2537000.0,87591791.0,24.0,0.0,True,0.557095845103826,-29.95240514470854,4.028255344418053,-0.13681170870174114,30.58260118670978,1.0,4.68383729216152,0.1969861503460868,-9.806323709627389,-0.01,0.6301960420012419,0.003963594654217806,5.5200000000000005,0.26265840479446523,2.424344557623376,3.2223118694110053,sell
43,-0.35581735,2560000.0,88110163.0,16.0,8.0,True,0.5536543278645636,-30.020839509949056,4.643899049881235,0.5918043164570068,29.91188499581429,1.0,4.529884798099762,0.18551442621521208,-9.691939888841201,-0.01,-0.10895451413476559,-0.01,-0.9600000000000001,-0.01,3.316895433668231,4.381164220948014,sell
44,-0.6746759,2554000.0,87972227.0,6.0,10.0,True,0.5508406412314915,-53.821445092548515,4.480079572446556,-0.15654947772596903,53.74642141490534,1.0,4.401694774346794,0.17613547077163827,-9.32818000203961,-0.01,-0.07502367764317254,-0.01,-0.66,-0.01,3.14658587966971,4.1906428815233765,sell
45,-0.39132586,2543000.0,87897876.0,4.0,2.0,True,0.546251439730983,-82.94916417200623,4.3917767220902615,-0.08451644630981094,82.75348253801545,1.0,4.187501187648456,0.16083813243660983,-7.619296665661025,-0.01,-0.1956816339907918,-0.01,-1.7200000000000002,-0.01,3.05351790476806,4.081241302422512,sell
46,-0.55830264,2500000.0,87717666.0,2.0,2.0,True,0.5456465694250753,-88.65956669988249,4.1777505938242285,-0.2050220189620964,88.64132636047356,1.0,4.158748218527316,0.15882189808358416,-7.290267881651575,-0.01,-0.018240339408939585,-0.01,-0.16,-0.01,2.795508947232385,3.7755309742897434,sell
47,0.84585416,2492000.0,87692112.0,29.0,27.0,True,0.543973295071499,-94.32269435896755,4.147401425178147,-0.029132102078502635,94.25655386049262,1.0,4.078517814726841,0.15324431690499674,-7.281052847169401,-0.01,-0.06614049847493694,-0.01,-0.5800000000000001,-0.01,2.72630710273219,3.682280005164168,buy
48,0.039727867,2490000.0,87634112.0,29.0,0.0,True,0.4989576817470044,-21.028244820925284,4.078517814726841,-0.06614049847493694,17.652846893688913,1.0,0.5654536817102138,0.003192272490014636,-6.232399627771002,-0.01,-3.375397927236371,-0.01,-29.580000000000002,-0.01,2.696931256094847,3.65270287216346,buy
49,0.77004236,2388000.0,84674756.0,33.0,4.0,True,0.5040394581880726,-20.247950934905347,0.5638432304038005,-3.3769452698967273,21.105349331187707,1.0,1.4260760095011875,0.020131527293575258,-6.355677121089152,-0.01,0.8573983962823584,0.007324365237589614,7.260000000000001,0.4096714307157139,-1.986454627370432,-2.162230462293393,buy
50,0.5269326,2410000.0,85400414.0,34.0,1.0,True,0.5125954947332023,-5.296449865175874,1.4256698337292162,0.856994497864275,6.09269893253988,1.0,2.233270783847981,0.048651649110674544,-6.442936729568835,-0.01,0.7962490673640059,0.006320069584011323,6.800000000000001,0.37022961859899695,-0.9548534592589351,-1.039240446905591,buy
