timestep,action,reward,rate_reward,rate_exp_reward,total_rate_reward,total_rate_exp_reward,net_income_rate_reward,net_income_rate_exp_reward,unrealized_gain_loss,unrealized_gain_loss_exp,reward_log,price,current_amt,total_rate,daily_rate,next_day_rate,order_qty,is_order,sharp_ratio,sortino_ratio,reward
1,-0.042355344,-0.05,0,0,0,0,0,0,0,0,not_order,40850.0,2700000.0,0.0,0.0,0.0,0,False,0.0,0.0,-0.05
2,-0.16791134,-0.05,0,0,0,0,0,0,0,0,not_order,41150.0,2700000.0,0.0,0.0,0.0,0,False,0.0,0.0,-0.05
3,0.37033862,0.18636246198176798,0.3555738610246972,0.46855940350870007,0.3504074074074074,0.0012271000079656647,-3.664649054324085,-0.01,0.09600000083446503,9.215575499965656e-05,buy,41050.0,2699861.0,-0.005148148148148148,-0.005148148148148148,0.3555738610246972,24.0,True,-918.7761118326995,0.0,0.18636246198176798
4,0.15473151,-0.009999999999999998,-0.13287633671695886,-0.01,-0.31755555555555554,-0.01,-2.8269658441377388,-0.01,-0.17999999225139618,-0.01,buy,41450.0,2709426.0,0.3491111111111111,0.3542774979897113,-0.6643473562296959,6.0,True,-12.19693094556716,0.0,-0.009999999999999998
5,-0.025161594,-0.005999999999999999,0.0,0,-0.6508888888888889,-0.01,-2.407476090896417,-0.01,-0.08999999612569809,-0.01,sell,40850.0,2691426.0,-0.31755555555555554,-0.6643473562296959,-0.3343952239444815,0.0,True,-7.936258492470091,-7.292349645111278,-0.005999999999999999
6,0.46085274,-0.009999999999999998,-0.26844020967205273,-0.01,-1.420962962962963,-0.01,-2.0483155351085087,-0.01,-0.2069999873638153,-0.01,buy,40550.0,2682334.0,-0.6542962962962963,-0.33781348623369173,-0.7717159757136881,16.0,True,-9.361553341443289,-10.35332825763469,-0.009999999999999998
7,0.38589337,-0.003615932929430505,0.02630255174828669,0.003453145275219671,-1.2261111111111112,-0.01,-2.1044047121148752,-0.01,0.05299999937415123,2.808960481626155e-05,buy,40100.0,2661595.0,-1.4224074074074076,-0.7731699333490908,0.19912871793041392,7.0,True,-9.898672491096393,-11.795460848336633,-0.003615932929430505
8,0.5964582,-0.009999999999999998,-0.21000834116684564,-0.01,-3.0053333333333336,-0.01,-1.8760987034713512,-0.01,-0.47999998927116394,-0.01,buy,40200.0,2666856.0,-1.2275555555555555,0.19766343113809576,-1.799872209073156,7.0,True,-9.37530613564026,-11.159964902375227,-0.009999999999999998
9,0.7036685,-0.009999999999999998,-0.11456923301201494,-0.01,-4.783925925925926,-0.01,-1.7726335796273065,-0.01,-0.47999998927116394,-0.01,buy,39400.0,2618834.0,-3.006148148148148,-1.8006971505023146,-1.8328767688215442,4.0,True,-8.524767937695339,-8.502717669992986,-0.009999999999999998
10,0.46503532,-0.004974403277664513,0.0,0,-4.191333333333333,-0.01,-1.8073935591802583,-0.01,0.1599999964237213,0.0002559672233548582,buy,38650.0,2570834.0,-4.783925925925926,-1.8328767688215442,0.6223661271011663,0.0,True,-9.617454395522932,-10.072101812540026,-0.004974403277664513
11,0.0052122176,-0.005999999999999999,0.0,0,-4.6654074074074074,-0.01,-1.7795855755378969,-0.01,-0.12799999117851257,-0.01,buy,38900.0,2586834.0,-4.191333333333333,0.6223661271011663,-0.4948133509919848,0.0,True,-8.463405393749415,-9.218158089109766,-0.005999999999999999
12,0.3912517,-0.004963142793296977,0.0,0,-3.954296296296296,-0.01,-1.8212975510014404,-0.01,0.19200000166893005,0.00036857206703022616,buy,38700.0,2574034.0,-4.6654074074074074,-0.4948133509919848,0.7459108931739052,0.0,True,-9.408440407471302,-10.394060209567684,-0.004963142793296977
13,0.05782038,-0.005999999999999999,0.0,0,-4.191333333333333,-0.01,-1.8073935591802583,-0.01,-0.06399999558925629,-0.01,buy,39000.0,2593234.0,-3.954296296296296,0.7459108931739052,-0.24679608550558876,0.0,True,-8.077463117775661,-9.291741152051268,-0.005999999999999999
14,0.09667176,-0.004704501491528995,0.0,0,-2.1765185185185185,-0.01,-1.9255774896603002,-0.01,0.543999969959259,0.002954985084710038,buy,38900.0,2586834.0,-4.191333333333333,-0.24679608550558876,2.1029567417159356,0.0,True,-8.689490818267911,-9.82773472720233,-0.004704501491528995
15,0.5204015,-0.009999999999999998,-0.028399312086064832,-0.01,-3.982259259259259,-0.01,-1.8492605139644032,-0.01,-0.48749998211860657,-0.01,buy,39750.0,2641229.0,-2.1767037037037036,2.102763455250704,-1.8457316650695565,1.0,True,-4.801438347355754,-6.792497913661741,-0.009999999999999998
16,0.10766284,-0.004894430771308395,0.0,0,-2.7785555555555557,-0.01,-1.9002619545517916,-0.01,0.32499998807907104,0.0010556922869160434,buy,39000.0,2592479.0,-3.982259259259259,-1.8457316650695565,1.2536263553147393,0.0,True,-6.418968385071774,-8.971672523331696,-0.004894430771308395
17,-0.13403627,-0.00879228003691789,-0.24346860496594736,-0.01,-1.1088518518518518,-0.01,-2.238086481713834,-0.01,0.4560000002384186,0.0020771996308210916,sell,39500.0,2624461.0,-2.7977407407407404,1.2336454798669536,1.7374996237322633,8.0,True,-4.97380941698176,-7.17091625493098,-0.00879228003691789
18,0.15771168,-0.009999999999999998,-0.020601017601276306,-0.01,-2.2905185185185184,-0.01,-2.0395774896603003,-0.01,-0.3190000057220459,-0.01,buy,40300.0,2670056.0,-1.109037037037037,1.737309108422644,-1.1947314962682432,1.0,True,-3.1146623932027238,-4.761743133885325,-0.009999999999999998
19,0.015591785,-0.004757246124230658,0.0,0,-0.46459259259259256,-0.01,-2.3466503090292297,-0.01,0.49300000071525574,0.002427538757693415,buy,39750.0,2638156.0,-2.2905185185185184,-1.1947314962682432,1.868729521681053,0.0,True,-4.211969065581172,-6.738993811885179,-0.004757246124230658
20,0.40853807,-0.009999999999999998,-0.02791102318720251,-0.01,-1.030037037037037,-0.01,-2.284742181328129,-0.01,-0.1525000035762787,-0.01,buy,40600.0,2687439.0,-0.46522222222222226,1.8680851321908183,-0.5674547403680605,3.0,True,-2.3418680891682153,-3.945094160711749,-0.009999999999999998
21,0.3145427,-0.0003476811178936876,0.02058476423211264,0.0021164198110465993,0.23274074074074075,0.0005415358405135295,-2.4021400622705515,-0.01,0.3409999907016754,0.0011621341350793735,buy,40350.0,2672184.0,-1.0302222222222224,-0.5676407911026073,1.2761097289707595,1.0,True,-2.93631076642765,-5.032950872338381,-0.0003476811178936876
22,0.1869119,0.01866285141529304,0.0,0,2.414222222222222,0.056618661447374374,-2.6045983549421448,-0.01,0.5889999866485596,0.003463199087120117,buy,40900.0,2706284.0,0.23274074074074075,1.2761097289707595,2.176416074587885,0.0,True,-1.8333912366816678,-3.1673530768702585,0.01866285141529304
23,0.24923462,0.012177299248081554,0.0,0,2.0697777777777775,0.04193514070880444,-2.5726312560992612,-0.01,-0.09299999475479126,-0.01,buy,41850.0,2765184.0,2.414222222222222,2.176416074587885,-0.3363248159977781,0.0,True,0.18133783767549042,0.32994460841483786,0.012177299248081554
24,0.42129838,0.0011466165180151703,-0.009072536263314945,-0.01,1.4862592592592592,0.02184747576575763,-2.5287972024722336,-0.01,-0.1574999988079071,-0.01,buy,41700.0,2755879.0,2.069592592592593,-0.3365056357913253,-0.5715054978828896,1.0,True,-0.0534002012321744,-0.09679905411496352,0.0011466165180151703
25,0.50746423,-0.009999999999999998,-0.03649889414097274,-0.01,-0.8842962962962962,-0.01,-2.389942469445606,-0.01,-0.6399999856948853,-0.01,buy,41450.0,2740124.0,1.486074074074074,-0.5716869281996778,-2.3356607219235332,1.0,True,-0.6256275331890786,-1.1567499322253345,-0.009999999999999998
26,0.4749115,-0.005999999999999999,0.0,0,-1.0028148148148148,-0.01,-2.3829904735350156,-0.01,-0.03199999779462814,-0.01,buy,40450.0,2676124.0,-0.8842962962962962,-2.3356607219235332,-0.11957592398558511,0.0,True,-2.538183654831627,-4.306854533172203,-0.005999999999999999
27,0.3161003,-0.004999999999999999,0.0,0,-1.0028148148148148,-0.01,-2.3829904735350156,-0.01,0.0,0,buy,40400.0,2672924.0,-1.0028148148148148,-0.11957592398558511,0.0,0.0,True,-2.685711484676911,-4.443291788641322,-0.004999999999999999
28,0.32112455,-0.004963142793296977,0.0,0,-0.2917037037037037,-0.01,-2.4247024489985596,-0.01,0.19200000166893005,0.00036857206703022616,buy,40400.0,2672924.0,-1.0028148148148148,0.0,0.7183144750842149,0.0,True,-2.7289114467516686,-4.436285242929663,-0.004963142793296977
29,0.4262762,-0.004999999999999999,0.0,0,-0.2917037037037037,-0.01,-2.4247024489985596,-0.01,0.0,0,buy,40700.0,2692124.0,-0.2917037037037037,0.7183144750842149,0.0,0.0,True,-2.0912679601718023,-3.3655293571723024,-0.004999999999999999
