timestep,action,reward
1,-0.0543988011777401,-1
2,-0.15266680717468262,-1
3,-0.06706433743238449,-1
4,-0.122431680560112,-1
5,-0.22959746420383453,-1
6,0.05358950421214104,-7.962962962962963e-06
7,-0.10566669702529907,-0.0005035185185185185
8,-0.02143075130879879,-0.0007650925925925926
9,0.023222487419843674,-0.0004909259259259259
10,-0.020051931962370872,-0.001979259259259259
11,-0.12239021062850952,-0.0017152777777777778
12,-0.31143608689308167,-0.0016898148148148148
13,-0.03723017871379852,-0.0010301851851851852
14,-0.5157429575920105,-0.0009937037037037037
15,-0.14434665441513062,-0.0009729629629629629
16,0.17362120747566223,-0.0012751851851851852
17,-0.329108327627182,-0.0027712962962962964
18,-0.20468217134475708,-0.002553148148148148
19,-0.07381874322891235,-0.004399814814814815
20,0.1800360530614853,-0.004701296296296296
21,0.19486601650714874,-0.006134074074074074
22,-0.2932266891002655,0.002200925925925926
23,-0.17482395470142365,0.01030212962962963
24,-0.026973679661750793,0.010806666666666666
25,-0.28956669569015503,0.010444537037037037
26,0.07215328514575958,0.01096324074074074
27,-0.2901414930820465,0.012076944444444444
28,-0.08340614289045334,0.012905092592592593
29,-0.05244075879454613,0.015487962962962964
30,-0.18787558376789093,0.017740092592592592
31,-0.23347321152687073,0.015382037037037038
32,0.12362003326416016,0.015717037037037036
33,0.05135141313076019,0.011238703703703704
34,0.09075205028057098,0.008635833333333334
35,-0.06420687586069107,0.0004907407407407407
36,0.11947120726108551,0.004256018518518518
37,0.36343464255332947,0.0005151851851851851
38,0.09560739994049072,-0.006157314814814815
39,0.3013572692871094,-0.0133025
40,-0.29793426394462585,0.01648787037037037
41,-0.17230063676834106,0.008105462962962964
42,0.20245173573493958,0.011491574074074074
43,0.16858214139938354,0.01948537037037037
44,-0.12501835823059082,0.03472861111111111
45,-0.13038261234760284,0.03643231481481481
46,0.04913411661982536,0.037484166666666666
47,-0.2688767910003662,0.025584537037037038
48,0.10920040309429169,0.024768703703703703
49,-0.1474112868309021,0.018398425925925926
50,-0.026043809950351715,0.010229907407407408
51,-0.12264619767665863,0.010155277777777777
52,-0.0526573583483696,0.011841018518518518
53,0.09579920768737793,0.014099444444444444
54,-0.05731935054063797,-0.003655462962962963
55,-0.17269787192344666,0.0030775925925925927
56,0.046249255537986755,0.0018317592592592593
57,-0.001900937408208847,0.00041777777777777777
58,0.03504398465156555,0.004233796296296296
59,0.2572610378265381,0.0034589814814814813
60,0.07071713358163834,0.0017315740740740742
61,-0.0923842042684555,-0.0026646296296296296
62,-0.05315743014216423,-0.008265925925925927
63,0.10284297168254852,-0.01350574074074074
64,-0.04428287222981453,-0.03191342592592593
65,-0.041749708354473114,-0.03195074074074074
66,-0.21950194239616394,-0.027817962962962964
67,0.015934091061353683,-0.019902962962962963
68,-0.20197483897209167,-0.019594814814814815
