,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,4590,4860,4550,462420,-230,4674.0,5052.5,4887.083333333333,37.50000000000001,5706.728553335912,5052.5,4398.271446664088,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,4560,4670,4520,387969,-30,4676.0,5010.5,4900.5,36.65048543689321,5677.822260980405,5010.5,4343.177739019595,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,4435,4600,4385,481776,-125,4664.0,4952.25,4909.583333333333,27.594936708860757,5606.837465507857,4952.25,4297.662534492143,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,4350,4545,4235,560190,-85,4551.0,4897.25,4918.083333333333,26.715686274509803,5560.103490599544,4897.25,4234.396509400456,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,4295,4430,4245,309835,-55,4446.0,4835.5,4924.416666666667,28.759894459102902,5480.937061222859,4835.5,4190.062938777141,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,4130,4340,4080,579599,-165,4354.0,4772.0,4927.916666666667,29.144385026737968,5432.510408699212,4772.0,4111.489591300788,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,4405,4495,4160,1228616,275,4323.0,4737.25,4936.333333333333,35.990338164251206,5398.20744946252,4737.25,4076.2925505374797,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,4370,4435,4245,493916,-35,4310.0,4700.25,4944.166666666667,35.23809523809524,5356.4319488526025,4700.25,4044.068051147397,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,4440,4550,4285,1300309,70,4328.0,4656.25,4950.833333333333,42.63157894736842,5255.882178923046,4656.25,4056.617821076954,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,4430,4555,4400,780546,-10,4355.0,4612.75,4956.333333333333,41.01876675603218,5141.280746503929,4612.75,4084.2192534960714,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
10,20141209,4330,4465,4310,477680,-100,4395.0,4574.25,4963.416666666667,43.714285714285715,5066.1064323052005,4574.25,4082.3935676948,1970.95,1977.15,1968.85,-0.40,541162,3920050,546.57,552.38,546.57,-0.88,513199,2178098,4740.69,4793.24,4722.91,2060.31,2075.78,2054.27
11,20141210,4500,4520,4330,822071,170,4414.0,4553.75,4975.583333333333,50.134048257372655,5021.509286385636,4553.75,4085.9907136143634,1945.56,1966.11,1943.27,-1.29,367890,3921968,541.96,548.21,540.42,-0.84,452662,2189383,4766.47,4768.41,4674.38,2059.82,2060.60,2034.17
12,20141211,4380,4525,4380,395096,-120,4416.0,4523.5,4983.583333333333,32.9073482428115,4952.430064229589,4523.5,4094.56993577041,1916.59,1937.23,1916.49,-1.49,343635,4483230,537.21,542.60,536.32,-0.88,477012,2356053,4684.03,4766.64,4679.25,2026.14,2058.86,2024.26
13,20141212,4410,4490,4280,424996,30,4410.0,4494.5,4982.416666666667,36.33333333333334,4868.22315957136,4494.5,4120.77684042864,1921.71,1926.67,1915.00,0.27,363470,3800864,533.67,540.13,530.83,-0.66,596591,2729367,4708.16,4759.88,4699.43,2035.33,2055.53,2027.92
