,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,10450,10450,10450,0,0,10162.0,9850.0,9932.333333333334,47.78761061946903,10589.729680356277,9850.0,9110.270319643723,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,10450,10450,10450,0,0,10270.0,9907.5,9933.166666666666,0.0,10646.062793538911,9907.5,9168.937206461089,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,10450,10450,10450,0,0,10360.0,9965.0,9959.833333333334,0.0,10684.23570545406,9965.0,9245.76429454594,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,10450,10450,10450,0,0,10450.0,10022.5,9986.5,0.0,10702.702175827158,10022.5,9342.297824172842,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,10450,10450,10450,0,0,10450.0,10080.0,10013.166666666666,0.0,10697.73780845922,10080.0,9462.26219154078,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,10450,10450,10450,0,0,10450.0,10137.5,10018.166666666666,0.0,10661.021728297881,10137.5,9613.978271702119,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,10450,10450,10450,0,0,10450.0,10135.0,10023.166666666666,0.0,10652.010638188423,10135.0,9617.989361811577,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,10450,10450,10450,0,0,10450.0,10162.0,10030.666666666666,0.0,10685.549424600964,10162.0,9638.450575399036,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,10450,10450,10450,0,0,10450.0,10189.0,10014.0,0.0,10713.476882236006,10189.0,9664.523117763994,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,10450,10450,10450,0,0,10450.0,10216.0,10012.333333333334,0.0,10735.823046814972,10216.0,9696.176953185028,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
10,20141209,10450,10450,10450,0,0,10450.0,10243.0,9994.833333333334,0.0,10752.434981131057,10243.0,9733.565018868943,1970.95,1977.15,1968.85,-0.40,541162,3920050,546.57,552.38,546.57,-0.88,513199,2178098,4740.69,4793.24,4722.91,2060.31,2075.78,2054.27
11,20141210,10450,10450,10450,0,0,10450.0,10270.0,9985.666666666666,0.0,10762.95030175465,10270.0,9777.04969824535,1945.56,1966.11,1943.27,-1.29,367890,3921968,541.96,548.21,540.42,-0.84,452662,2189383,4766.47,4768.41,4674.38,2059.82,2060.60,2034.17
12,20141211,10100,10100,10100,0,-350,10380.0,10279.5,9970.666666666666,56.250000000000014,10751.19799660376,10279.5,9807.80200339624,1916.59,1937.23,1916.49,-1.49,343635,4483230,537.21,542.60,536.32,-0.88,477012,2356053,4684.03,4766.64,4679.25,2026.14,2058.86,2024.26
13,20141212,10100,10100,10100,0,0,10310.0,10289.0,9955.666666666666,0.0,10737.637938654323,10289.0,9840.362061345677,1921.71,1926.67,1915.00,0.27,363470,3800864,533.67,540.13,530.83,-0.66,596591,2729367,4708.16,4759.88,4699.43,2035.33,2055.53,2027.92
14,20141215,9800,9800,9800,29,-300,10180.0,10283.5,9952.333333333334,0.0,10752.809066607497,10283.5,9814.190933392503,1920.36,1920.43,1899.61,-0.07,294421,3750325,538.09,538.92,530.10,0.83,424151,1945924,4653.60,4707.92,4653.60,2002.33,2032.25,2002.33
15,20141216,9800,9800,9800,0,0,10050.0,10278.0,9949.0,0.0,10766.859898130333,10278.0,9789.140101869667,1904.13,1919.60,1901.13,-0.85,369417,4372157,534.15,539.39,533.24,-0.73,460172,2360215,4605.16,4690.58,4592.43,1989.63,2018.69,1982.26
16,20141217,10200,10200,10200,0,400,10000.0,10292.5,9954.0,38.0952380952381,10753.23311146476,10292.5,9831.76688853524,1900.16,1913.28,1900.16,-0.21,307269,4126755,533.06,537.17,532.68,-0.20,456093,2340472,4547.83,4645.19,4547.31,1972.74,2016.89,1972.56
17,20141218,10200,10200,10200,0,0,10020.0,10302.5,9959.0,38.0952380952381,10745.755005611894,10302.5,9859.244994388106,1897.50,1919.24,1881.73,-0.14,337298,5321982,527.52,536.63,520.93,-1.04,515786,2360670,4644.31,4651.90,4550.70,2012.89,2016.75,1973.77
18,20141219,10200,10200,10200,100,0,10040.0,10312.5,9964.0,38.0952380952381,10736.616729214966,10312.5,9888.383270785034,1929.98,1930.08,1914.27,1.71,291792,4492734,535.51,535.99,530.96,1.51,390477,2000657,4748.40,4748.40,4697.09,2061.23,2061.23,2018.98
19,20141222,10000,10000,10000,100,-200,10080.0,10290.0,9967.333333333334,31.999999999999996,10730.0,10290.0,9850.0,1943.12,1944.20,1928.89,0.68,324535,4210382,536.78,538.78,535.12,0.24,429662,1777044,4765.38,4782.13,4738.29,2070.65,2077.85,2061.03
20,20141223,8770,9420,7350,1979065,310,9874.0,10206.0,9933.5,16.129032258064516,10994.882754279748,10206.0,9417.117245720252,1939.02,1944.75,1936.75,-0.21,300797,3699646,534.65,539.13,534.55,-0.40,417420,2343008,4781.42,4781.93,4757.81,2078.54,2078.76,2069.28
21,20141224,8590,9000,8180,439632,-180,9552.0,10113.0,9910.0,15.037593984962408,11160.914118618506,10113.0,9065.085881381494,1946.61,1947.35,1936.74,0.39,283866,3040951,536.89,538.02,535.78,0.42,463603,2017389,4765.42,4798.06,4761.39,2082.17,2086.73,2079.77
22,20141226,8290,8720,8150,135099,-300,9170.0,10005.0,9868.166666666666,13.513513513513514,11306.314719812237,10005.0,8703.685280187763,1948.16,1954.77,1944.22,0.08,297006,3406229,535.17,539.24,535.17,-0.32,506926,2206609,4773.47,4787.58,4768.67,2081.88,2087.56,2081.86
23,20141229,7730,8190,7670,127943,-560,8676.0,9869.0,9827.0,11.363636363636365,11486.082558189284,9869.0,8251.917441810716,1927.86,1941.33,1927.83,-1.04,265809,3436899,539.22,540.03,536.99,0.76,384930,1857152,4806.86,4814.95,4787.85,2088.77,2092.70,2084.30
24,20141230,8200,8290,7520,77967,470,8316.0,9756.5,9798.5,21.80451127819549,11504.049999284713,9756.5,8008.950000715287,1915.59,1937.55,1910.78,-0.64,256437,3695016,542.97,543.08,540.28,0.70,388706,1687682,4806.91,4813.72,4798.90,2090.57,2093.55,2085.75
25,20150102,8330,8570,8130,98643,130,8228.0,9650.5,9774.0,24.271844660194176,11472.526070065958,9650.5,7828.473929934042,1926.44,1929.15,1909.67,0.57,258776,3696028,553.73,553.78,546.01,1.98,364060,1921225,4736.05,4806.43,4734.11,2058.90,2085.58,2057.94
