,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,1190000,1224000,1190000,356221,-30000,1212200.0,1211400.0,1178533.3333333333,47.297297297297305,1265375.5500203564,1211400.0,1157424.4499796436,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,1201000,1211000,1182000,245758,11000,1208800.0,1214950.0,1178050.0,49.35064935064935,1254439.112423553,1214950.0,1175460.887576447,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,1264000,1301000,1264000,887556,63000,1219600.0,1219100.0,1178416.6666666667,59.93150684931506,1260827.2093483377,1219100.0,1177372.7906516623,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,1287000,1296000,1274000,196891,23000,1232400.0,1221250.0,1179300.0,53.75494071146245,1271457.0712151187,1221250.0,1171042.9287848813,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,1295000,1298000,1287000,257337,8000,1247400.0,1224250.0,1180450.0,64.28571428571429,1283703.7635478193,1224250.0,1164796.2364521807,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,1295000,1295000,1266000,184454,0,1268400.0,1228150.0,1182133.3333333333,64.57399103139014,1294966.988857625,1228150.0,1161333.011142375,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,1298000,1301000,1295000,194710,3000,1287800.0,1232950.0,1183950.0,75.0,1305139.9577503686,1232950.0,1160760.0422496314,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,1300000,1303000,1298000,177427,2000,1295000.0,1237750.0,1185450.0,77.60416666666666,1314240.195450136,1237750.0,1161259.804549864,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,1302000,1314000,1300000,112756,2000,1298000.0,1242550.0,1187133.3333333333,76.50273224043715,1322441.1133981748,1242550.0,1162658.8866018252,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,1319000,1321000,1302000,158331,17000,1302800.0,1245100.0,1189250.0,76.75675675675674,1331099.767441546,1245100.0,1159100.232558454,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
