,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
0,20181219,1424000,1450000,1408000,768,8000,1435000.0,1390450.0,1455366.6666666667,58.88157894736842,1454087.960369578,1390450.0,1326812.039630422
1,20181220,1403000,1426000,1384000,623,-21000,1433400.0,1392200.0,1451750.0,56.82539682539684,1455193.967965195,1392200.0,1329206.032034805
2,20181221,1389000,1432000,1380000,1008,-14000,1419200.0,1392500.0,1447533.3333333333,51.61290322580646,1455372.8876384725,1392500.0,1329627.1123615275
3,20181224,1382000,1400000,1372000,511,-7000,1402800.0,1392650.0,1443600.0,52.11726384364821,1455407.5493466721,1392650.0,1329892.4506533279
4,20181226,1357000,1398000,1336000,1005,-25000,1391000.0,1392100.0,1438433.3333333333,48.78048780487805,1455896.238133608,1392100.0,1328303.761866392
5,20181227,1371000,1388000,1324000,1040,14000,1380400.0,1391100.0,1432966.6666666667,51.02639296187683,1455557.4278109204,1391100.0,1326642.5721890796
6,20181228,1320000,1375000,1318000,1006,-51000,1363800.0,1388600.0,1427583.3333333333,41.39784946236559,1459675.7342557923,1388600.0,1317524.2657442077
7,20190102,1334000,1343000,1302000,719,14000,1352800.0,1387300.0,1422383.3333333333,48.83720930232558,1461311.0802515408,1387300.0,1313288.9197484592
8,20190103,1310000,1340000,1310000,555,-24000,1338400.0,1383850.0,1416816.6666666667,37.30407523510972,1465159.96248923,1383850.0,1302540.03751077
9,20190104,1348000,1357000,1310000,751,38000,1336600.0,1382800.0,1411616.6666666667,38.837920489296636,1465382.322563609,1382800.0,1300217.677436391
10,20190107,1347000,1372000,1336000,596,-1000,1331800.0,1381900.0,1406200.0,39.93710691823899,1465623.1150877702,1381900.0,1298176.8849122298
11,20190108,1341000,1365000,1338000,485,-6000,1336000.0,1380750.0,1402100.0,28.363636363636363,1466042.145007615,1380750.0,1295457.854992385
12,20190109,1336000,1356000,1335000,819,-5000,1336400.0,1378350.0,1398783.3333333333,26.811594202898547,1465814.9072485645,1378350.0,1290885.0927514355
13,20190110,1314000,1348000,1313000,804,-22000,1337200.0,1376950.0,1395183.3333333333,29.600000000000005,1467538.023490967,1376950.0,1286361.976509033
14,20190111,1315000,1329000,1300000,838,1000,1330600.0,1373150.0,1392100.0,27.572016460905353,1467365.232314101,1373150.0,1278934.767685899
15,20190114,1303000,1327000,1303000,608,-12000,1321800.0,1367250.0,1388266.6666666667,28.63247863247863,1463497.3376255156,1367250.0,1271002.6623744844
16,20190115,1305000,1323000,1305000,709,2000,1314600.0,1361950.0,1384850.0,31.08108108108108,1459640.275872269,1361950.0,1264259.724127731
17,20190116,1293000,1314000,1293000,1044,-12000,1306000.0,1353600.0,1381016.6666666667,30.396475770925107,1444663.4943322516,1353600.0,1262536.5056677484
18,20190117,1306000,1317000,1293000,836,13000,1304400.0,1345700.0,1377616.6666666667,38.13953488372093,1423535.9813967808,1345700.0,1267864.0186032192
