,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
0,20181219,71300,73300,71100,289797,-1000,73120.0,71515.0,69016.66666666667,44.72049689440994,74868.37143782194,71515.0,68161.62856217806
1,20181220,71400,72200,70400,180563,100,72660.0,71550.0,69013.33333333333,47.4025974025974,74883.16666249979,71550.0,68216.83333750021
2,20181221,71600,72000,70600,331052,200,72220.0,71635.0,69000.0,47.4025974025974,74881.08995562354,71635.0,68388.91004437646
3,20181224,71500,72200,70700,135299,-100,71620.0,71665.0,68985.0,49.32432432432432,74894.41171113255,71665.0,68435.58828886745
4,20181226,69400,71400,68700,173278,-2100,71040.0,71515.0,68931.66666666667,43.19526627218935,74870.16020481884,71515.0,68159.83979518116
5,20181227,68700,69500,67200,149994,-700,70520.0,71375.0,68855.0,43.7125748502994,74947.6040922554,71375.0,67802.3959077446
6,20181228,69900,70500,68700,145775,1200,70220.0,71220.0,68810.0,48.29545454545455,74766.04004489516,71220.0,67673.95995510484
7,20190102,68100,70000,67800,135878,-1800,69520.0,71015.0,68738.33333333333,49.70760233918128,74778.12370245784,71015.0,67251.87629754216
8,20190103,68400,69700,67600,117519,300,68900.0,70815.0,68680.0,52.69461077844312,74686.05928655194,70815.0,66943.94071344806
9,20190104,69500,69800,67500,176280,1100,68920.0,70705.0,68676.66666666667,43.57142857142857,74594.20300318715,70705.0,66815.79699681285
10,20190107,70000,70600,69000,177297,500,69180.0,70620.0,68723.33333333333,34.71074380165289,74492.77678158708,70620.0,66747.22321841292
11,20190108,68800,71000,68600,119131,-1200,68960.0,70520.0,68821.66666666667,31.060606060606062,74471.50604200474,70520.0,66568.49395799526
12,20190109,70300,70900,68300,213079,1500,69400.0,70510.0,68921.66666666667,35.0,74462.66998369456,70510.0,66557.33001630544
13,20190110,70400,72500,70000,358356,100,69800.0,70620.0,69001.66666666667,42.01680672268908,74429.2518950576,70620.0,66810.7481049424
14,20190111,70800,71000,70000,214367,400,70060.0,70785.0,69095.0,47.78761061946903,74315.02832849823,70785.0,67254.97167150177
15,20190114,70000,70800,69100,169610,-800,70060.0,70720.0,69165.0,44.166666666666664,74257.56978729749,70720.0,67182.43021270251
16,20190115,73200,73400,69900,204124,3200,70940.0,70695.0,69295.0,55.333333333333336,74154.17620250833,70695.0,67235.82379749167
17,20190116,74300,74300,72600,190700,1100,71740.0,70720.0,69453.33333333333,58.75,74274.49011814634,70720.0,67165.50988185366
18,20190117,74400,74900,74000,243924,100,72540.0,70715.0,69613.33333333333,67.85714285714286,74248.42609941117,70715.0,67181.57390058883
19,20190118,75500,75500,74400,187690,1100,73480.0,70875.0,69815.0,73.6111111111111,74932.03093406989,70875.0,66817.96906593011
20,20190121,75200,76200,74500,164235,-300,74520.0,71070.0,69995.0,69.62962962962963,75543.52210232608,71070.0,66596.47789767392
21,20190122,74900,75800,74300,115169,-300,74860.0,71245.0,70170.0,78.33333333333334,76020.13350598703,71245.0,66469.86649401297
22,20190123,74900,75300,73100,177655,0,74980.0,71410.0,70385.0,77.77777777777779,76443.84544856117,71410.0,66376.15455143883
23,20190124,75300,75300,73500,241607,400,75160.0,71600.0,70593.33333333333,76.36363636363637,76912.24999411737,71600.0,66287.75000588263
24,20190125,77100,77200,75000,302555,1800,75480.0,71985.0,70821.66666666667,78.86178861788618,77704.18700516078,71985.0,66265.81299483922
