,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,bb_upper,bb_middle,bb_lower
0,20190730,4000,4030,3880,78209,90,4064.0,4403.5,4380.5,4885.268616661567,4403.5,3921.731383338433
1,20190731,4000,4000,3850,49535,0,4021.0,4373.0,4370.083333333333,4875.408200570015,4373.0,3870.591799429985
2,20190801,3965,4070,3900,80111,-35,3986.0,4332.0,4360.416666666667,4827.009090825613,4332.0,3836.990909174387
3,20190802,4050,4050,3880,60699,85,3985.0,4298.5,4352.833333333333,4774.253087220672,4298.5,3822.746912779328
4,20190805,3800,4090,3690,319814,-250,3963.0,4259.0,4342.833333333333,4761.79817024329,4259.0,3756.201829756711
5,20190806,3585,3790,3500,320369,-215,3880.0,4215.0,4331.25,4787.214994560611,4215.0,3642.785005439389
6,20190807,3775,3780,3530,136092,190,3835.0,4181.0,4324.25,4772.613049213758,4181.0,3589.3869507862423
7,20190808,3980,4080,3730,125370,205,3838.0,4149.5,4320.75,4712.801872888774,4149.5,3586.1981271112263
8,20190809,4035,4085,3920,81974,55,3835.0,4116.75,4319.0,4623.911463441378,4116.75,3609.5885365586223
9,20190812,4030,4095,3920,50632,-5,3881.0,4086.75,4317.333333333333,4536.675271572958,4086.75,3636.824728427042
10,20190813,4045,4065,3950,93949,15,3973.0,4066.75,4317.083333333333,4485.692418477766,4066.75,3647.8075815222337
11,20190814,4000,4150,4000,65467,-45,4018.0,4049.0,4316.083333333333,4447.153236832253,4049.0,3650.846763167747
12,20190816,4030,4035,3895,64839,30,4028.0,4035.75,4315.583333333333,4417.578168159448,4035.75,3653.921831840552
13,20190819,4115,4150,4030,184665,85,4044.0,4024.0,4316.583333333333,4380.01404466678,4024.0,3667.98595533322
14,20190820,4210,4895,4185,5164960,95,4080.0,4014.25,4321.166666666667,4337.131944369765,4014.25,3691.368055630235
15,20190821,4175,4280,4150,405484,-35,4106.0,4005.75,4323.583333333333,4301.135764721322,4005.75,3710.3642352786783
16,20190822,4035,4220,3900,397397,-140,4113.0,3996.75,4321.916666666667,4276.647749187092,3996.75,3716.852250812909
17,20190823,4010,4100,3960,209085,-25,4109.0,3990.25,4321.5,4262.471876417014,3990.25,3718.028123582986
18,20190826,3875,3980,3835,260824,-135,4061.0,3981.25,4314.75,4256.202268584931,3981.25,3706.297731415069
19,20190827,3875,3955,3830,135001,0,3994.0,3979.5,4307.833333333333,4256.680446640812,3979.5,3702.319553359188
20,20190828,3895,3925,3865,90402,20,3938.0,3974.25,4301.666666666667,4253.6471188112,3974.25,3694.8528811888
21,20190829,3880,3915,3865,71755,-15,3907.0,3968.25,4292.916666666667,4250.31869730617,3968.25,3686.18130269383
22,20190830,3990,4025,3875,110280,110,3903.0,3969.5,4285.75,4251.721544181163,3969.5,3687.278455818837
23,20190902,4015,4035,3955,86605,25,3931.0,3967.75,4279.583333333333,4248.382767153089,3967.75,3687.117232846911
24,20190903,4070,4075,3990,43926,55,3970.0,3981.25,4273.75,4254.176272095598,3981.25,3708.323727904403
25,20190904,4085,4085,4020,74687,15,4008.0,4006.25,4266.75,4212.983524131912,4006.25,3799.516475868088
26,20190905,4145,4250,4065,278894,60,4061.0,4024.75,4261.083333333333,4210.558369025725,4024.75,3838.941630974275
27,20190906,4075,4225,4075,129800,-70,4078.0,4029.5,4254.75,4215.346711028202,4029.5,3843.6532889717982
28,20190909,4070,4170,4055,108800,-5,4089.0,4031.25,4249.5,4217.928199048523,4031.25,3844.5718009514767
29,20190910,4185,4440,4040,857426,115,4112.0,4039.0,4246.666666666667,4237.333053221091,4039.0,3840.666946778909
30,20190911,4185,4370,4150,83228,0,4132.0,4046.0,4243.25,4254.317066031566,4046.0,3837.6829339684336
