,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,37400,38100,36800,58487,-600,37970.0,34447.5,30919.166666666668,69.68641114982579,39764.31060411221,34447.5,29130.689395887795,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,38000,38000,36400,63167,600,37970.0,34737.5,31085.833333333332,75.71428571428572,40163.90534792601,34737.5,29311.09465207399,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,38000,39000,37550,54051,0,37880.0,35045.0,31264.166666666668,74.43609022556392,40479.05005497741,35045.0,29610.94994502259,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,38350,38850,37850,33930,350,37950.0,35312.5,31441.666666666668,75.0915750915751,40843.40182519994,35312.5,29781.598174800063,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,38300,38550,37500,28944,-50,38010.0,35592.5,31618.333333333332,71.60493827160494,41133.01216044149,35592.5,30051.98783955851,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,38350,38450,37700,37512,50,38200.0,35912.5,31792.5,58.928571428571416,41312.02544211063,35912.5,30512.97455788937,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,39650,39800,38500,73714,1300,38530.0,36307.5,31981.666666666668,80.12820512820514,41585.68860974103,36307.5,31029.311390258965,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,40000,40150,39200,83290,350,38930.0,36767.5,32188.333333333332,85.71428571428571,41633.01898567871,36767.5,31901.98101432129,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,39400,40300,39400,51671,-600,39140.0,37162.5,32388.333333333332,78.20512820512822,41508.288190880914,37162.5,32816.711809119086,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,39750,40100,39300,23316,350,39430.0,37575.0,32585.833333333332,69.91150442477876,41198.7411607343,37575.0,33951.2588392657,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
10,20141209,39000,40000,38800,36426,-750,39560.0,37872.5,32770.833333333336,58.47457627118644,40887.209770442256,37872.5,34857.790229557744,1970.95,1977.15,1968.85,-0.40,541162,3920050,546.57,552.38,546.57,-0.88,513199,2178098,4740.69,4793.24,4722.91,2060.31,2075.78,2054.27
