,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,65700,65700,64900,51995,600,64480.0,64240.0,62010.0,56.71641791044776,65860.37032804232,64240.0,62619.62967195767,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,4754.89,4755.02,4723.62,,,
1,20141126,65200,65700,63800,50046,-500,64700.0,64360.0,62036.666666666664,50.724637681159415,65888.92118828931,64360.0,62831.078811710686,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,63700,65200,63700,20810,-1500,64740.0,64395.0,62048.333333333336,38.74999999999999,65826.74718438697,64395.0,62963.252815613036,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,64400,64500,63100,30686,700,64820.0,64460.0,62078.333333333336,45.78313253012048,65762.91979799219,64460.0,63157.08020200781,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,62000,64400,61900,45022,-2400,64200.0,64370.0,62063.333333333336,36.53846153846154,66039.85029269093,64370.0,62700.149707309065,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,63100,63200,61600,27099,1100,63680.0,64305.0,62065.0,46.226415094339615,66063.94854956021,64305.0,62546.05145043978,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,62100,63100,62000,24069,-1000,63060.0,64170.0,62061.666666666664,43.75000000000001,66156.05135885254,64170.0,62183.948641147465,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,63000,63900,61900,49889,900,62920.0,64065.0,62070.0,46.15384615384615,66065.27498109634,64065.0,62064.72501890365,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,63000,63200,62600,16855,0,62640.0,63940.0,62081.666666666664,44.24778761061947,65877.42096612997,63940.0,62002.579033870024,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,62200,63200,62200,28201,-800,62680.0,63795.0,62095.0,40.833333333333336,65796.47445649451,63795.0,61793.525543505486,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
