,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,bb_upper,bb_middle,bb_lower
0,20150326,39050,39400,38350,120628,300,38470.0,37550.0,38386.666666666664,39298.427865254955,37550.0,35801.572134745045
1,20150327,39250,39250,38500,133460,200,38810.0,37637.5,38256.666666666664,39535.88747362071,37637.5,35739.11252637929
2,20150330,39800,41400,39450,263106,550,39170.0,37732.5,38169.166666666664,39851.29092880822,37732.5,35613.70907119178
3,20150331,41050,41100,40000,205336,1250,39580.0,37907.5,38116.666666666664,40468.9985848132,37907.5,35346.0014151868
4,20150401,41000,41050,40300,177300,-50,40030.0,38100.0,38070.833333333336,40965.48425226872,38100.0,35234.51574773128
5,20150402,41100,41550,40850,145890,100,40440.0,38290.0,38067.5,41410.67300433737,38290.0,35169.32699566263
6,20150403,40300,41200,39800,106011,-800,40650.0,38402.5,38070.0,41640.47390353907,38402.5,35164.52609646093
7,20150406,40550,40750,40000,103069,250,40800.0,38537.5,38080.0,41895.01023825692,38537.5,35179.98976174308
8,20150407,41250,41250,40400,334938,700,40840.0,38750.0,38088.333333333336,42227.21152649648,38750.0,35272.78847350352
9,20150408,40800,41250,40700,117975,-450,40800.0,39032.5,38090.833333333336,42197.98179587247,39032.5,35867.01820412753
10,20150409,39850,41050,39700,423212,-950,40550.0,39165.0,38099.166666666664,42232.91460115825,39165.0,36097.08539884175
11,20150410,41350,42000,40200,236540,1500,40760.0,39365.0,38132.5,42455.0,39365.0,36275.0
12,20150413,40600,41400,40450,270306,-750,40770.0,39592.5,38150.833333333336,42321.652798946954,39592.5,36863.347201053046
13,20150414,41700,42300,40300,270926,1100,40860.0,39802.5,38220.0,42501.47665792055,39802.5,37103.52334207945
14,20150415,41500,41900,40850,191557,-200,41000.0,40012.5,38287.5,42548.61415358221,40012.5,37476.38584641779
15,20150416,42050,42700,41600,199680,550,41440.0,40225.0,38361.666666666664,42695.323865407125,40225.0,37754.676134592875
16,20150417,42250,42450,41750,183151,200,41620.0,40460.0,38453.333333333336,42755.77873498297,40460.0,38164.22126501703
17,20150420,42300,42500,42000,187444,50,41960.0,40675.0,38535.0,42808.65882933519,40675.0,38541.34117066481
18,20150421,41900,42300,41600,210281,-400,42000.0,40820.0,38615.0,42871.19477378429,40820.0,38768.80522621571
19,20150422,41900,42400,41500,174147,0,42080.0,40977.5,38666.666666666664,42844.17485117253,40977.5,39110.82514882747
20,20150423,43800,43950,41900,319654,1900,42430.0,41215.0,38768.333333333336,43242.09151248778,41215.0,39187.90848751222
21,20150424,43000,44450,42850,266721,-800,42580.0,41402.5,38850.833333333336,43360.42619881343,41402.5,39444.57380118657
22,20150427,42800,43750,42400,192061,-200,42680.0,41552.5,38940.833333333336,43455.25458217817,41552.5,39649.74541782183
23,20150428,42350,43500,42250,195062,-450,42770.0,41617.5,39008.333333333336,43535.9042848159,41617.5,39699.0957151841
24,20150429,41800,43250,41350,207969,-550,42750.0,41657.5,39068.333333333336,43555.992823267974,41657.5,39759.007176732026
25,20150430,41100,42850,41050,289330,-700,42210.0,41657.5,39125.833333333336,43555.992823267974,41657.5,39759.007176732026
26,20150504,41700,42300,41100,170329,600,41950.0,41727.5,39171.666666666664,43520.95337268634,41727.5,39934.04662731366
27,20150506,42800,42950,41700,204820,1100,41950.0,41840.0,39240.833333333336,43605.95583183725,41840.0,40074.04416816275
28,20150507,42550,42950,42350,156339,-250,41990.0,41905.0,39304.166666666664,43675.0,41905.0,40135.0
29,20150508,42200,42950,42100,154906,-350,42070.0,41975.0,39387.5,43673.97027637331,41975.0,40276.02972362669
30,20150511,43400,43600,42250,99993,1200,42530.0,42152.5,39498.333333333336,43656.98496170616,42152.5,40648.01503829384
31,20150512,42600,43450,42250,138200,-800,42710.0,42215.0,39596.666666666664,43684.38762755101,42215.0,40745.61237244899
32,20150513,42500,43100,42450,104682,-100,42650.0,42310.0,39685.833333333336,43581.84904764677,42310.0,41038.15095235323
33,20150514,42850,43100,42150,131175,350,42710.0,42367.5,39783.333333333336,43627.7678286777,42367.5,41107.2321713223
34,20150515,42850,43550,42550,536659,0,42840.0,42435.0,39885.833333333336,43645.826164236634,42435.0,41224.173835763366
35,20150518,42500,43000,42400,141615,-350,42660.0,42457.5,39990.0,43655.52963235472,42457.5,41259.47036764528
36,20150519,42500,43400,42350,726695,0,42640.0,42470.0,40082.5,43664.31989014669,42470.0,41275.68010985331
37,20150520,42500,43200,42450,153026,0,42640.0,42480.0,40174.166666666664,43671.80535323517,42480.0,41288.19464676483
38,20150521,42150,42700,41950,89057,-350,42500.0,42492.5,40245.833333333336,43664.794758155986,42492.5,41320.205241844014
39,20150522,43150,43300,42000,130129,1000,42560.0,42555.0,40331.666666666664,43727.56129903728,42555.0,41382.43870096272
40,20150526,42800,43200,42350,105459,-350,42620.0,42505.0,40423.333333333336,43537.90851482598,42505.0,41472.09148517402
41,20150527,42000,42650,41800,143731,-800,42520.0,42455.0,40498.333333333336,43484.02866821095,42455.0,41425.97133178905
42,20150528,41950,42250,41400,124816,-50,42410.0,42412.5,40565.833333333336,43451.18907763584,42412.5,41373.81092236416
43,20150529,41800,42300,41250,157307,-150,42340.0,42385.0,40636.666666666664,43457.427153703225,42385.0,41312.572846296775
44,20150601,42100,42250,41350,76136,300,42130.0,42400.0,40719.166666666664,43447.37767782209,42400.0,41352.62232217791
45,20150602,41800,42350,41550,110054,-300,41930.0,42435.0,40794.166666666664,43343.90043459116,42435.0,41526.09956540884
46,20150603,41700,42600,41050,87994,-100,41870.0,42435.0,40855.0,43343.90043459116,42435.0,41526.09956540884
47,20150604,40800,41700,40600,120291,-900,41640.0,42335.0,40904.166666666664,43472.58516164725,42335.0,41197.41483835275
48,20150605,40850,41350,40400,96313,50,41450.0,42250.0,40968.333333333336,43552.68952555856,42250.0,40947.31047444144
49,20150608,41050,41450,39900,92742,200,41240.0,42192.5,41066.666666666664,43596.521011238794,42192.5,40788.478988761206
50,20150609,40250,41200,40100,128867,-800,40930.0,42035.0,41117.5,43563.10339964284,42035.0,40506.89660035716
51,20150610,40700,41150,40100,91825,450,40730.0,41940.0,41173.333333333336,43549.84471300806,41940.0,40330.15528699194
52,20150611,41250,41300,39800,211478,550,40820.0,41877.5,41260.0,43492.5773975262,41877.5,40262.4226024738
53,20150612,39750,40850,39300,205685,-1500,40600.0,41722.5,41297.5,43519.29575912233,41722.5,39925.70424087767
54,20150615,38900,39550,38550,160312,-850,40170.0,41525.0,41324.166666666664,43625.35711249302,41525.0,39424.64288750698
55,20150616,38300,39050,37900,157618,-600,39780.0,41315.0,41332.5,43789.89393712135,41315.0,38840.10606287865
56,20150617,37700,38400,37350,226341,-600,39180.0,41075.0,41335.0,43943.361901852695,41075.0,38206.638098147305
57,20150618,37700,38050,36750,114793,0,38470.0,40835.0,41330.0,43976.512374637416,40835.0,37693.487625362584
58,20150619,37150,38100,37150,118589,-550,37950.0,40585.0,41299.166666666664,44047.52797822631,40585.0,37122.47202177369
59,20150622,37850,38100,37150,44170,700,37740.0,40320.0,41284.166666666664,43767.9559161915,40320.0,36872.0440838085
60,20150623,38000,38550,37650,45242,150,37680.0,40080.0,41266.666666666664,43471.813674127756,40080.0,36688.186325872244
61,20150624,38250,38450,37950,52883,250,37790.0,39892.5,41250.0,43253.49315679161,39892.5,36531.50684320839
62,20150625,38150,38700,37350,131122,-100,37880.0,39702.5,41222.5,43005.90354785787,39702.5,36399.09645214213
63,20150626,37550,38350,37550,99250,-600,37960.0,39490.0,41164.166666666664,42773.077824237494,39490.0,36206.922175762506
64,20150629,37000,37400,36650,106114,-550,37790.0,39235.0,41097.5,42459.298373289916,39235.0,36010.701626710084
65,20150630,37000,37350,36600,91626,0,37590.0,38995.0,41029.166666666664,42133.29571583049,38995.0,35856.70428416951
66,20150701,37100,37950,36800,115182,100,37360.0,38765.0,40975.833333333336,41746.96244107802,38765.0,35783.03755892198
67,20150702,37800,38150,37300,134636,700,37290.0,38615.0,40930.0,41471.58887486457,38615.0,35758.41112513543
68,20150703,39250,39250,37650,119694,1450,37630.0,38535.0,40896.666666666664,41221.27995562637,38535.0,35848.72004437363
