,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
0,20181219,217000,218500,214000,50363,2500,214000.0,224000.0,221791.66666666663,34.090909090909086,243434.50539633053,224000.0,204565.49460366947
1,20181220,216000,218000,213000,49035,-1000,214200.0,222875.0,221416.66666666663,36.14457831325301,241405.71774109144,222875.0,204344.28225890856
2,20181221,219500,220500,213000,87947,3500,215800.0,222050.0,221116.66666666663,39.08045977011494,239613.8833974722,222050.0,204486.1166025278
3,20181224,220000,221000,217000,43299,500,217400.0,221250.0,220741.66666666663,30.26315789473684,237616.1235483544,221250.0,204883.8764516456
4,20181226,220500,222000,215500,69830,500,218600.0,220475.0,220375.0,35.82089552238806,235376.2583361272,220475.0,205573.7416638728
5,20181227,205500,215500,203500,89515,-5500,216300.0,219050.0,219833.3333333333,33.80281690140845,233956.03904462885,219050.0,204143.96095537115
6,20181228,204500,207000,202500,66560,-1000,214000.0,217725.0,219358.3333333333,33.33333333333333,232856.0112021636,217725.0,202593.9887978364
7,20190102,209000,212000,205500,60830,4500,211900.0,216800.0,218958.3333333333,40.74074074074075,231687.57871515717,216800.0,201912.4212848429
8,20190103,205500,212000,205000,49890,-3500,209000.0,215625.0,218641.66666666663,40.74074074074075,230181.35600004345,215625.0,201068.64399995655
9,20190104,220000,220000,203000,109594,14500,208900.0,214875.0,218633.3333333333,55.55555555555556,226638.82165794773,214875.0,203111.17834205227
10,20190107,228000,263000,226000,638906,8000,213400.0,214775.0,218841.66666666663,60.65573770491803,226046.5349442745,214775.0,203503.46505572557
11,20190108,230000,234500,226000,186194,2000,218500.0,215425.0,219233.3333333333,65.54621848739497,228491.27337843503,215425.0,202358.72662156497
12,20190109,226500,232500,226500,113755,-3500,222000.0,215925.0,219525.0,61.6,229854.3754346704,215925.0,201995.6245653296
13,20190110,228000,232500,225000,91051,1500,226500.0,216500.0,219850.0,60.97560975609756,231392.9513529052,216500.0,201607.04864709484
14,20190111,226000,230000,226000,63157,-2000,227700.0,217150.0,220141.66666666663,57.377049180327866,232502.8498983088,217150.0,201797.1501016912
15,20190114,223500,225500,220000,51351,-2500,226800.0,217625.0,220383.3333333333,56.00000000000001,233145.55089228472,217625.0,202104.44910771528
16,20190115,233500,241000,225500,237950,10000,227500.0,218550.0,220783.3333333333,60.14492753623188,235476.01547913745,218550.0,201623.98452086255
17,20190116,236500,239000,232500,87072,3000,229500.0,219800.0,221191.66666666663,61.53846153846154,238095.90118031905,219800.0,201504.09881968092
18,20190117,231500,238000,231500,60820,-5000,230200.0,220775.0,221600.0,57.236842105263165,239380.03963983952,220775.0,202169.96036016048
19,20190118,233500,234000,228500,44283,2000,231700.0,221725.0,222133.3333333333,72.22222222222221,240883.48376046497,221725.0,202566.51623953503
20,20190121,229500,234500,228000,38526,-4000,232900.0,222350.0,222516.66666666663,68.93939393939394,241666.055497953,222350.0,203033.944502047
