,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,40050,40500,40050,356866,-200,40360.0,41645.0,42914.166666666664,25.531914893617024,43936.92059199266,41645.0,39353.07940800734,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,39650,40300,39650,524477,-400,40130.0,41545.0,42879.166666666664,27.480916030534353,43996.305774480206,41545.0,39093.694225519794,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,39850,41600,39100,1112888,200,40060.0,41467.5,42852.5,23.999999999999996,44027.827127536635,41467.5,38907.172872463365,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,39850,40450,39750,434733,0,39930.0,41362.5,42822.5,24.390243902439025,44005.95890832447,41362.5,38719.04109167553,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,40400,40450,39900,438681,550,39960.0,41300.0,42810.833333333336,29.00763358778626,43972.264956923245,41300.0,38627.735043076755,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,40200,40700,40150,218058,-200,39990.0,41207.5,42796.666666666664,29.92125984251969,43897.53252768438,41207.5,38517.46747231562,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,40100,40500,40100,201455,-100,40080.0,41037.5,42782.5,30.64516129032258,43550.441503497445,41037.5,38524.558496502555,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,40900,41350,40250,621579,800,40290.0,40952.5,42751.666666666664,44.26229508196721,43361.12512649852,40952.5,38543.87487350148,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,40650,41250,40500,278372,-250,40450.0,40830.0,42716.666666666664,54.0,43029.409011530144,40830.0,38630.590988469856,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,40000,40650,39900,510757,-650,40370.0,40680.0,42660.833333333336,50.467289719626166,42665.79958706814,40680.0,38694.20041293186,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
