episode,timestep,reward
68,2000,-6.5072
137,4000,-8.7418
206,6000,-7.9535
275,8000,-5.1111
344,10000,-8.3853
413,12000,-7.091
482,14000,-8.0694
551,16000,-5.9362
620,18000,-5.5068
689,20000,-6.687
758,22000,-4.992
827,24000,-4.2044
896,26000,-2.9127
965,28000,-3.3936
1034,30000,-4.2891
1103,32000,-5.6131
1172,34000,-4.6765
1241,36000,-2.2227
1310,38000,-4.8806
1379,40000,-2.4738
1448,42000,-4.465
1517,44000,-2.5493
1586,46000,-5.1048
1655,48000,-2.2874
1724,50000,-2.3184
1793,52000,-4.5549
1862,54000,-2.3417
1931,56000,-1.8986
1999,58000,-1.1444
2068,60000,-1.0862
2137,62000,-4.2797
2206,64000,-3.1436
2275,66000,-1.5705
2344,68000,-2.7069
2413,70000,-1.7066
2482,72000,-2.1433
2551,74000,-1.2862
2620,76000,-2.2532
2689,78000,0.634
2758,80000,-2.2055
2827,82000,-5.3757
2896,84000,-0.5261
2965,86000,-4.2229
3034,88000,-3.0729
3103,90000,-2.7019
3172,92000,-1.2723
3241,94000,-0.3173
3310,96000,-0.8078
3379,98000,-2.0933
3448,100000,-0.6879
3517,102000,-1.2589
3586,104000,-1.0482
3655,106000,-2.316
3724,108000,-0.4283
3793,110000,-2.1035
3862,112000,-1.9554
3931,114000,-1.2811
3999,116000,-2.2187
4068,118000,-1.5289
4137,120000,-0.9859
4206,122000,0.0395
4275,124000,-0.171
4344,126000,-1.7888
4413,128000,0.1996
4482,130000,-2.9922
4551,132000,-1.0847
4620,134000,-1.9173
4689,136000,-1.2373
4758,138000,-3.0418
4827,140000,-1.5868
4896,142000,-1.4574
4965,144000,-1.6128
5034,146000,-1.5309
5103,148000,-1.6492
5172,150000,-2.6414
5241,152000,-2.0895
5310,154000,-0.1863
5379,156000,-0.9004
5448,158000,-1.3057
5517,160000,0.4244
5586,162000,-0.3597
5655,164000,-0.4663
5724,166000,-1.688
5793,168000,-0.7182
5862,170000,0.9332
5931,172000,-0.9109
5999,174000,-1.514
6068,176000,-1.2789
6137,178000,-1.0344
6206,180000,-0.8768
6275,182000,-2.0138
6344,184000,-0.7573
6413,186000,-1.2068
6482,188000,-1.2964
6551,190000,-1.4775
6620,192000,-0.058
6689,194000,-1.5652
6758,196000,-2.2626
6827,198000,-2.6591
6896,200000,-0.9446
6965,202000,-0.163
7034,204000,-1.7797
7103,206000,0.4842
7172,208000,0.2974
7241,210000,-2.2851
7310,212000,-1.9401
7379,214000,-0.2229
7448,216000,0.9788
7517,218000,-0.8
7586,220000,-1.8082
7655,222000,-1.8019
7724,224000,-1.893
7793,226000,-1.455
7862,228000,-1.8736
7931,230000,-0.269
7999,232000,-2.5573
8068,234000,0.5813
8137,236000,1.0428
8206,238000,-1.1995
8275,240000,-0.2451
8344,242000,-1.4988
8413,244000,-1.6477
8482,246000,-0.7296
8551,248000,-0.6125
8620,250000,-2.0562
8689,252000,-1.4402
8758,254000,-1.251
8827,256000,-0.5593
8896,258000,-0.4203
8965,260000,-0.3403
9034,262000,0.3441
9103,264000,-1.3037
9172,266000,-0.684
9241,268000,-0.6831
9310,270000,-3.1283
9379,272000,-1.2075
9448,274000,-0.2553
9517,276000,-0.7247
9586,278000,-1.6315
9655,280000,-2.0162
