timestep,action,reward,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
24,0.33081105,0.495,60900,81309409,1038,146,TRUE,0.495,-32.51071205,-19.07995019,-1.726491125,12.42618653,1,-19.07995019,-0.01,-22.38028022,-0.01,-20.08452552,-0.01,17.646,0.955568791,-15.57518806,-27.0556616,buy
25,0.07888943,-0.01,62600,83073814,1060,22,TRUE,-0.01,-17.02067346,-14.19676214,2.169988716,-0.041037464,-0.01,-14.19676214,-0.01,-21.45748821,-0.01,-17.06171093,-0.01,25.44,0.998453771,-11.66477665,-20.79071192,buy
26,-0.37512746,-0.01,65000,85575442,663,397,TRUE,-0.01,-18.3376846,-47.15815691,3.011331585,-32.07799657,-0.01,-47.15815691,-0.01,-52.76871797,-0.01,-50.41568117,-0.01,-6.63,-0.01,-33.67858934,-63.45766129,sell
27,0.32910353,0.495,64000,84910461,881,218,TRUE,0.495,-49.95082818,-29.12503113,-0.777069898,16.97743401,1,-29.12503113,-0.01,-35.7256912,-0.01,-32.97339417,-0.01,5.286,0.243776234,-21.50901278,-41.60096698,buy
28,0.23591538,0.495,64600,85438107,985,104,TRUE,0.495,-29.03065265,-16.09713574,0.621414598,7.887736882,1,-16.09713574,-0.01,-28.96842287,-0.01,-21.14291577,-0.01,37.43,0.999999177,-12.68516515,-24.14160282,buy
29,0.32560727,0.495,68400,89180107,1088,103,TRUE,0.495,-21.02762764,-7.188044832,4.379778686,4.597834611,1,-7.188044832,-0.01,-20.22434846,-0.01,-16.42979303,-0.01,1.088,0.011767653,-5.762912785,-12.22412383,buy
30,1.0068169,-0.05,68500,89288907,1088,0,FALSE,-0.05,-16.30779272,-7.052552927,0.122000302,-0.101980329,-0.01,-7.052552927,-0.01,-20.25387306,-0.01,-16.40977305,-0.01,1.088,0.011767653,-5.752378622,-12.00783289,wrong
31,0.7379978,0.576658871,68600,89396168,1246,158,TRUE,0.576658871,-17.14088291,5.514321295,0.120128024,11.91899465,1,5.514321295,0.262196237,-6.696899827,-0.01,-5.221888258,-0.01,-7.476,-0.01,2.347432136,4.824696534,buy
32,1.1660787,-0.05,68000,88648568,1246,0,FALSE,-0.05,-4.664369954,6.134993773,-0.836277457,0.803994003,0.960522792,6.134993773,0.313659546,-6.736293355,-0.01,-3.860375951,-0.01,4.984,0.219954135,2.75001833,5.819871072,wrong
33,0.53836906,0.624991425,68400,89146677,1276,30,TRUE,0.624991425,-4.984815998,7.419178082,0.561891761,1.744003108,0.999999751,7.419178082,0.423305165,-4.131977033,-0.01,-3.240812891,-0.01,-10.208,-0.01,3.6455084,7.603705579,buy
34,0.8672029,0.704782696,67600,88125657,1299,23,TRUE,0.704782696,-1.952598861,10.8113325,-1.145325922,2.923760983,1,10.8113325,0.689275653,-2.224971127,-0.01,0.971162121,0.009387221,11.691,0.745077273,5.908065793,12.76864155,buy
35,0.56114155,0.249525823,68500,89294734,1301,2,TRUE,0.249525823,3.624418936,13.89825654,1.326602308,-1.199230011,-0.01,13.89825654,0.855086077,-2.108344122,-0.01,2.425188925,0.057119204,23.418,0.995847427,8.005148192,17.17432583,buy
36,-0.07251045,0.060944955,70300,91625684,1207,94,TRUE,0.060944955,1.842399799,5.06762142,2.610400295,-9.761995794,-0.01,5.06762142,0.226483184,-10.27891323,-0.01,-7.919595995,-0.01,-4.828,-0.01,2.039255528,4.452762042,sell
37,0.29199162,0.631130273,69900,91142607,1235,28,TRUE,0.631130273,-7.787864372,7.658779577,-0.527228806,2.639221872,1,7.658779577,0.443767578,-7.852771579,-0.01,-5.1486425,-0.01,1.235,0.015136524,3.753564755,8.241420249,buy
38,0.63682437,0.722139046,70000,91265684,1278,43,TRUE,0.722139046,-4.877638622,11.72552927,0.135037831,3.179208355,1,11.72552927,0.747130154,-4.116054893,-0.01,-1.698430267,-0.01,2.556,0.063242992,6.552332523,14.20437795,buy
39,0.3821905,0.512061389,70200,91521195,1287,9,TRUE,0.512061389,-2.258553171,11.87123288,0.279963935,0.413521537,0.574716939,11.87123288,0.755676399,-3.310285275,-0.01,-1.845031634,-0.01,-5.148,-0.01,6.730989795,14.40841856,buy
40,0.84979403,0.732784229,69800,91006267,1300,13,TRUE,0.732784229,-2.40752429,12.35367372,-0.562632514,1.54355412,0.999993296,12.35367372,0.782625269,-2.167778422,-0.01,-0.86397017,-0.01,-5.2,-0.01,7.093844441,15.33353805,buy
41,0.5453359,0.656653672,69400,90486258,1301,1,TRUE,0.656653672,-1.578206696,11.63001245,-0.57139911,0.641757319,0.87245197,11.63001245,0.741425622,-2.066357184,-0.01,-0.936449378,-0.01,-6.505,-0.01,6.630858638,14.48372856,buy
42,0.28143477,0.685438079,68900,89835754,1301,0,TRUE,0.685438079,-0.79267064,11.79202989,-0.718898112,0.718363922,0.924243696,11.79202989,0.751054103,-2.069356251,-0.01,-0.074306718,-0.01,1.301,0.01678357,6.808492132,15.14401592,buy
43,0.247181,0.175594397,69000,89965858,1301,0,TRUE,0.175594397,-1.956964707,9.685803238,0.144824298,-0.141784799,-0.01,9.685803238,0.60864799,-2.030368379,-0.01,-2.098749506,-0.01,-16.913,-0.01,5.388833117,11.85035116,buy
44,0.3663513,0.704955793,67700,88274554,1301,0,TRUE,0.704955793,-1.086476605,10.81992528,-1.879939832,1.89514226,0.999999984,10.81992528,0.689852668,-2.051361849,-0.01,0.808665655,0.006518066,9.107,0.563677875,6.087294516,13.26046647,buy
45,-0.0778718,-0.003887886,68400,89173916,1200,101,TRUE,-0.003887886,-0.370383066,1.02117061,1.018823613,-8.661311807,-0.01,1.02117061,0.010373712,-10.52998451,-0.01,-9.031694874,-0.01,-9.6,-0.01,-0.755429876,-1.633071584,sell
46,0.9909971,0.695036549,67600,88212928,1303,103,TRUE,0.695036549,-8.493420879,10.34122042,-1.077655937,8.936748188,1,10.34122042,0.656788498,-1.870000699,-0.01,0.443327309,0.001963461,5.212,0.237878616,5.749922713,12.72737328,buy
47,0.9351572,0.200118701,68000,88734128,1303,0,TRUE,0.200118701,0.886459635,10.82801993,0.590843102,-0.592579472,-0.01,10.82801993,0.690395671,-1.878250702,-0.01,0.293880163,0.000863283,3.909,0.141701047,6.140265757,13.45907186,buy
