timestep,action,reward
1,-0.02961060404777527,-1
2,0.41515058279037476,-5.907578558225508e-05
3,0.01953432708978653,-0.01612406654343808
4,-0.12394852191209793,-0.022277042513863216
5,0.19662895798683167,-0.024263234750462107
6,-0.03126000612974167,-0.028731756007393715
7,-0.11718564480543137,-0.05687417744916821
8,0.040805693715810776,-0.041156691312384475
9,0.5265136361122131,-0.05312014787430684
10,0.37896963953971863,-0.014834676524953789
11,-0.10375253111124039,0.011410665434380777
12,0.12290262430906296,-0.0010711829944547134
13,-0.16889701783657074,-0.024502550831792976
14,0.7139727473258972,-0.01852992606284658
15,0.0794626846909523,-0.00023188539741219962
16,-0.11688951402902603,-0.003775951940850277
17,-0.21790680289268494,0.0033288354898336416
18,0.33868759870529175,-0.0013106469500924213
19,0.4058745801448822,-0.005511423290203327
20,0.3715818226337433,-0.026064953789279113
21,-0.5169671773910522,0.006977042513863216
22,0.02066674828529358,0.004534990757855822
23,0.19570013880729675,0.001996358595194085
24,-0.26861077547073364,0.011138317929759705
25,0.4677196741104126,0.01261441774491682
26,0.06941338628530502,0.007546155268022181
27,0.1750420182943344,-0.00821014787430684
28,0.09545007348060608,-0.008213641404805915
29,0.2000010907649994,-0.006759685767097966
