timestep,action,reward
1,0.1894921511411667,-2.6901041666666667e-05
2,-0.057704776525497437,0.00041393229166666667
3,0.12337379902601242,0.00039955729166666666
4,-0.15308645367622375,0.004390520833333333
5,0.20475278794765472,0.0020751041666666665
6,0.30381131172180176,-0.0102909375
7,0.2358754277229309,-0.004676953125
8,0.03455985337495804,0.033319375
9,0.10110803693532944,0.026602395833333334
10,-0.017123699188232422,0.009059739583333334
11,0.1969669908285141,0.022828645833333334
12,0.17764289677143097,0.045119609375
13,-0.010034263134002686,0.0607365625
14,0.09615593403577805,0.027851666666666667
15,0.40401506423950195,0.023881484375
16,0.2732754945755005,0.026030703125
17,0.040284059941768646,0.039369322916666664
18,0.02172301709651947,0.037138515625
19,0.18050798773765564,0.04607466145833333
20,0.103112131357193,0.05060424479166667
21,-0.017203673720359802,0.05285557291666667
22,0.20349568128585815,0.048372994791666665
23,0.3086704611778259,0.032454557291666665
24,-0.2518633306026459,-0.023489348958333333
25,0.4783177971839905,-0.013117395833333333
26,0.15190555155277252,-0.023380911458333334
27,-0.09810298681259155,-0.0024634375
28,0.20181165635585785,0.0089259375
29,-0.03891052305698395,0.03485005208333333
