timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.32107726,-1.0,20200522, 083650.csv,1880.0,1890.0,0.0,97400000,97400000.0,0,0.0,0.0,0.0,0.0,0,1.5706806282722512,0.0,0.0,0,0.0,0.0,wrong
2,-0.9958368,-1.0,20200525, 083650.csv,1890.0,1905.0,0.0,97400000,97400000.0,0,0.0,0.0,0.0,0.0,0,1.0471204188481675,0.0,0.0,0,0.0,0.0,wrong
3,0.18411338,0.08101690841030604,20200526, 083650.csv,1905.0,1920.0,9486.0,79468916.0,97539746.0,9486.0,0.0,-0.0026119096509240247,-0.0026119096509240247,0.14609211148184403,0.10121778394387937,0.4052564907490029,0.143476386036961,0.14609211148184403,0.00021340627601273976,-1165.8916926537324,0.0,buy
4,-0.73207736,-0.044327938377817566,20200527, 083650.csv,1920.0,1935.0,2542.0,92675516.0,97556156.0,6944.0,0.1458789937796229,0.12117659137577003,0.12379173435495071,-0.10677853044579783,-0.055413745058637276,-0.36323577410580865,0.16032443531827514,0.039100463333825074,1.528834546127289e-05,-24.239163489352062,0.0,sell
5,0.7846183,0.6539316869928613,20200528, 083650.csv,1935.0,1900.0,40408.0,19962473.0,98151953.0,37866.0,0.03908518084701902,0.1497258726899384,0.028514728138569992,0.5822842629917557,0.8164512197958208,-0.53687485620908,0.7720256673511293,0.6213694438387748,0.003853555781023421,-26.172450703632133,0.0,buy
6,0.22304434,-0.8045779442782045,20200529, 083650.csv,1900.0,2100.0,42708.0,15511342.0,96656542.0,2300.0,-1.4409086694382944,0.7713819301848049,0.6207266690725785,-1.5229381618339013,-0.9999908036438576,-0.23974369201328793,-0.7633039014373717,-1.5229381618339013,-0.02292650681559183,-2.6875900369397403,0.0,buy
7,-0.939947,-0.7994359529945095,20200601, 083650.csv,2100.0,2100.0,2565.0,91657799.0,97044299.0,40143.0,8.837063506782604,-0.8918901437371664,-1.6505401057954123,-8.305629655467705,-1.0,-10.31284007762022,-0.36519609856262836,0.5314338513148984,0.0028202350274524335,-3.682486853018421,-2.7499864970312045,sell
8,-0.09161878,0.0,20200602, 083650.csv,2100.0,2135.0,2330.0,92150489.0,97043489.0,235.0,0.0,-0.36602772073921974,0.530594745233875,0,0,-10.313671699796812,-0.36602772073921974,0.0,0,-2.867818550555592,-2.1372626851817214,sell
9,0.028377607,0.00805786193021858,20200603, 083650.csv,2135.0,2365.0,3575.0,89535618.0,97168243.0,1245.0,0.08403448890836973,-0.3664086242299795,-0.0003823028250767035,0.0449030417262086,0.0100307686504022,-12.0180482438694,-0.2379435318275154,0.12893753063457833,0.00016623504948409806,-2.993831206926024,-2.243996649148435,buy
10,-0.34213698,-0.2731883134058171,20200604, 083650.csv,2365.0,2380.0,2352.0,92142437.0,97704917.0,1223.0,0.8462126869989819,-0.24234394250513347,0.12452093717763685,-0.28946302724603457,-0.3422591174373971,-23.508933060623328,0.3130564681724846,0.5567496597529473,0.0030949027205030566,-2.9928611655302064,-2.1461475050097203,sell
11,0.26566058,0.09492745895943272,20200605, 083650.csv,2380.0,2390.0,12700.0,67665942.0,97891942.0,10348.0,0.036108725213900954,0.3094887063655031,0.5531732306867659,0.1588730438371638,0.11856429703834559,-24.102255920960687,0.5050739219712526,0.19498176905106476,0.0003801066437811862,-2.016140792019885,-1.443991703869837,buy
12,0.7648272,0.17513078011447686,20200608, 083650.csv,2390.0,2355.0,34441.0,15915015.0,98229007.0,21741.0,0.12973488665696303,0.49753490759753594,0.18746601508706492,0.22211413098063287,0.2186041723095128,-24.2797555554361,0.8511344969199178,0.3518490176375959,0.001237211334333077,-1.7786625419242064,-1.2278180922349693,buy
13,0.5073932,-0.8035077760551971,20200609, 083650.csv,2355.0,2355.0,37819.0,7840449.0,96904193.0,3378.0,-1.2271680854346432,0.8499558521560575,0.35067620801102733,-1.3475433959635301,-0.9998860061456262,-23.807470387133534,-0.509041067761807,-1.3475433959635301,-0.017994855693480805,-1.1524587867200378,-0.775752325604172,buy
14,-0.52475816,8.526512829121203e-15,20200610, 083650.csv,2355.0,2290.0,17974.0,54498687.0,96827455.0,19845.0,0.0,-0.5878285420944558,-1.4256668553809537,0,0,-23.886255808078094,-0.5878264887063656,2.0655298644377257e-06,4.263256414560601e-14,-3.1651699265021174,-2.569669208221511,sell
15,-0.086156964,0.03957676207077897,20200611, 083650.csv,2290.0,2245.0,16426.0,58138242.0,95753782.0,1548.0,-1.2065895730381517,-0.5939691991786448,-0.00617696705960102,0.10384660095739195,0.05249264796505049,-21.58545017577432,-1.6901622176591375,-1.1027429720807598,-0.012086781506307154,-3.2804811960908444,-2.637066870374081,sell
16,-0.009572968,-0.0009481611614557962,20200612, 083650.csv,2245.0,2085.0,16269.0,58497182.0,95021086.0,157.0,-0.7719486213087646,-1.690770020533881,-1.1033544066887475,0.007375660345270818,0.0002719648385006712,-19.9816828267951,-2.4424158110882956,-0.7645729609634938,-0.005828665161281665,-4.799414039324925,-4.311190570353309,sell
17,0.43646073,-1.0,20200615, 083650.csv,2085.0,2300.0,27639.0,32967908.0,90595224.0,11370.0,-2.739434037415295,-2.446135523613963,-0.7683566469169331,-4.654134949339419,-1.0,-16.148727689562122,-6.986424024640657,-4.654134949339419,-0.19475582233569166,-5.980989334733824,-5.804514270059977,buy
