episode,timestep,reward,loss,dist_entropy
5,2000,-9123437.3199,0.21303856,0.90811294
11,4000,-263047.8486,0.48026106,0.90811294
16,6000,-176711.4053,0.19234225,0.90811294
22,8000,-364966.16,-0.09741783,0.90811294
27,10000,-516281.6657,2.4680498,0.90811294
33,12000,-319744.2082,-0.0188039,0.90811294
38,14000,-176130.6457,0.19067639,0.90811294
44,16000,-204825.3559,0.013130225,0.90811294
50,18000,-232097.2961,0.2936083,0.90811294
55,20000,-212563.8227,-0.19797654,0.90811294
61,22000,-365799.0842,0.65019107,0.90811294
66,24000,-162035.9769,1.0483019,0.90811294
72,26000,-171033.3191,-0.060995154,0.90811294
77,28000,-230852.9966,2.3245378,0.90811294
83,30000,-793547.2025,0.6114128,0.90811294
89,32000,-189472.3531,-0.08163128,0.90811294
94,34000,-319440.8145,2.8395548,0.90811294
100,36000,-226850.4117,1.1646199,0.90811294
105,38000,-250759.5028,1.5241246,0.90811294
111,40000,-166388.6669,-0.1312752,0.90811294
116,42000,-1943537.2469,1.3976641,0.90811294
122,44000,-227664.7902,-0.088024706,0.90811294
128,46000,-281035.8112,0.6288829,0.90811294
133,48000,-528211.2319,1.3576763,0.90811294
139,50000,-243564.0907,0.11515878,0.90811294
144,52000,-156725.8787,0.56356925,0.90811294
150,54000,-313820.8155,-0.17645292,0.90811294
155,56000,-1627829.9138,2.0696547,0.90811294
161,58000,-195743.4572,0.43735468,0.90811294
167,60000,-158493.5469,2.5444157,0.90811294
172,62000,-225066.2949,0.21885312,0.90811294
178,64000,-126425.9494,-0.060009625,0.90811294
183,66000,-277128.9636,0.31761837,0.90811294
189,68000,-188672.7712,0.29946733,0.90811294
194,70000,-291286.493,-0.022312082,0.90811294
200,72000,-173828.2647,-0.15691285,0.90811294
206,74000,-246643.089,-0.045817636,0.90811294
211,76000,-264555.4074,-0.09775179,0.90811294
217,78000,-264610.8512,1.2609494,0.90811294
222,80000,-274297.3073,-0.074184805,0.90811294
228,82000,-288570.0826,0.2051298,0.90811294
233,84000,-570283.1993,-0.15341657,0.90811294
239,86000,-216918.1309,-0.07133389,0.90811294
245,88000,-223376.3036,-0.018277168,0.90811294
250,90000,-438900.0204,-0.034474194,0.90811294
