timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
1,0.07144782,0.006261010618160276,20210810,datas,25300.0,24850.0,0.0,-0.0010121951219512195,-0.0010121951219512195,-0.2088435773191363,-0.01,-0.20985365853658536,-0.01,2.7198338414634144,0.07130505309080137,-0.2088435773191363,-0.01,-0.6165,-0.01,-3787.8313253012047,0.0,buy
2,0.37976792,0.022949964223462436,20210811,datas,24850.0,23950.0,-0.4594558701020999,-0.08954878048780487,-0.08853748153792289,-1.7980535068924453,-0.01,-2.345036585365854,-0.01,4.100275914634146,0.15474982111731217,-2.257509376994545,-0.01,-7.398000000000001,-0.01,-48.75968319449516,-46.23918100354931,buy
3,-0.072711036,0.5388747442376074,20210812,datas,23950.0,23450.0,-3.093623961066599,-0.846270325203252,-0.7573997869881123,0.903955233018761,0.9831882177925139,-3.017408536585366,-0.01,5.381028963414634,0.2514031767067523,-2.189668728047838,-0.01,-3.8150000000000004,-0.01,-8.730460817168312,-8.194279569781102,sell
4,-0.03837566,0.5885278480430334,20210813,datas,23450.0,22450.0,-3.75371781951058,-2.244317073170732,-1.4099789816810493,1.4645364532223497,0.999977997074014,-4.482121951219512,-0.01,7.822565548780488,0.45769424753013177,-2.28918136628823,-0.01,-7.340000000000001,-0.01,-7.484611645055826,-7.322694041255639,sell
5,-0.12757443,0.5243550670897008,20210817,datas,22450.0,23400.0,-0.8393665009723512,-2.9975284552845527,-0.7705039334415008,0.772211226075324,0.9492858790978348,-3.0626707317073167,-0.01,5.531079268292683,0.263560637703917,-0.06715527489702719,-0.01,6.0895,0.30983191009458066,-9.35327455311034,-9.468250012724088,sell
6,0.030165449,0.5636612793234985,20210818,datas,23400.0,23100.0,-0.4700869242791903,-4.3006524390243905,-1.343392557929963,1.4143551555851483,0.9999546908940193,-3.3969939024390245,-0.01,6.368631097560975,0.33341966938244405,0.944268231305958,0.008876791493453107,-2.052,-0.01,-10.930755843445883,-11.33692778118548,buy
7,0.17282076,0.08238558448958544,20210819,datas,23100.0,22350.0,-0.145272035585532,-2.9815,1.3784340987109465,-1.8740813263644205,-0.01,-4.940646341463414,-0.01,7.754666158536586,0.45192792244792723,-2.0193533619499524,-0.01,-6.885000000000001,-0.01,-5.7208072799511065,-8.89380821991601,buy
8,0.16285758,0.40778306481890514,20210820,datas,22350.0,22850.0,-1.0577565229261656,-3.5424878048780486,-0.5782276626396499,0.47670537727662987,0.6789762219335815,-4.102955284552846,-0.01,6.639232215447154,0.356474769260572,-0.5810511456495357,-0.01,5.515000000000001,0.2622514643149295,-6.729333651757218,-10.630468140799008,buy
9,0.13121407,0.570506226923244,20210823,datas,22850.0,22850.0,-0.5810511456495357,-5.2247154471544714,-1.7440089465229816,1.9010326852090929,0.9999999857943541,-3.97369918699187,-0.01,6.76848831300813,0.367531170130335,1.319981539559557,0.01727260099278205,0.0,0,-8.258716921153132,-12.14601955756515,buy
10,0.19205737,0.0608792140464715,20210824,datas,22850.0,23100.0,1.9799723093393358,-3.9747540650406505,1.3188685088218945,-1.2439065630790525,-0.01,-3.26794512195122,-0.01,6.49767987804878,0.3443960702323575,0.7360657462602833,0.005403277327594491,3.4775000000000005,0.11390407124011637,-6.043757554733768,-10.097195068625638,buy
11,0.2976847,0.06718851972693954,20210825,datas,23100.0,22700.0,-0.44163944775617,-3.976079268292683,-0.0013800571288618397,-0.06382403463449199,-0.01,-4.461445121951219,-0.01,6.866679878048781,0.3759425986346977,-0.505463482390662,-0.01,-6.368,-0.01,-6.275052229058787,-9.669688245724736,buy
12,0.25878304,0.06512590032374554,20210826,datas,22700.0,22750.0,-0.33697565492710796,-3.167941056910569,0.8416009315429512,-0.9214893351561964,-0.01,-4.3865386178861785,-0.01,6.7462738821138215,0.36562950161872776,-1.2584649900833043,-0.01,0.8565,0.007309080298080972,-5.320528956387342,-8.33482757972973,buy
13,0.22128439,0.5697875413592309,20210827,datas,22750.0,22850.0,-0.8989035643452172,-4.561134146341463,-1.438772555946278,1.4710358717461878,0.9999799990878874,-4.01509756097561,-0.01,6.72708993902439,0.3639877090764362,0.5721323074009707,0.003268002190061292,1.7910000000000001,0.03156780605445908,-6.680561677357809,-10.546024769808046,buy
14,0.12553006,0.06592343519533664,20210830,datas,22850.0,22550.0,-0.5721323074009707,-4.379339430894309,0.19048289585283834,-0.20371883117559264,-0.01,-5.121213414634147,-0.01,6.792849085365853,0.3696171759766832,-0.7758511385765633,-0.01,-5.4750000000000005,-0.01,-6.6314666741069255,-10.208892001959814,buy
15,0.44062108,0.06499532587984702,20210831,datas,22550.0,23150.0,1.5516895235056631,-4.00910162601626,0.387194360167043,-0.3250784809021574,-0.01,-2.8316666666666666,-0.01,6.738645833333333,0.36497662939923514,1.2266110426035057,0.014933124787898322,11.586,0.738769980758444,-6.343633293874765,-9.606583957604046,buy
16,0.28781408,0.5699417438264222,20210901,datas,23150.0,22750.0,-0.40887599395962376,-5.186796747967479,-1.2268820710093575,1.253497819467786,0.9996126895216926,-4.385983739837399,-0.01,6.746828760162601,0.36567699532787945,0.8446218255081622,0.007108474701587042,-7.880000000000001,-0.01,-7.631064279326996,-11.889640779494226,buy
17,0.34961846,0.06439031835579834,20210902,datas,22750.0,22650.0,0.4223109127540811,-2.784581300813008,2.533629668400614,-2.5161814817314587,-0.01,-4.820146341463414,-0.01,6.703291158536586,0.3619515917789917,-2.0938705689773776,-0.01,-2.003,-0.01,-4.230032814517215,-7.881479319350911,buy
18,-0.03896743,0.5695815630759955,20210903,datas,22650.0,22850.0,-1.2563206687955126,-4.418947154471545,-1.6811796683360938,1.6656654980403807,0.9999990551198632,-4.0276910569105695,-0.01,6.7144964430894305,0.3629101775803194,0.4093448292448681,0.0016742288049712561,3.8500000000000005,0.13776291023016607,-5.581609580824135,-10.290746082428388,sell
19,0.052012444,0.3446285894100548,20210906,datas,22850.0,22350.0,-1.6374005818668607,-4.810256097560975,-0.4094001179520774,0.3998210568129854,0.5503493753159518,-5.988304878048781,-0.01,6.707007621951219,0.3622695087603943,-1.2375795250538753,-0.01,-9.66,-0.01,-6.099415192169113,-11.12689706471157,buy
20,0.35257244,0.0643266950678483,20210907,datas,22350.0,22700.0,0.20626325417564584,-4.025195121951219,0.8247327321464101,-0.8349258748956332,-0.01,-4.628552845528455,-0.01,6.699572154471545,0.3616334753392415,-0.6286626207199874,-0.01,6.926500000000001,0.38107057200606975,-5.413980855144207,-9.846759846453617,buy
21,0.3163142,0.5699605448010517,20210908,datas,22700.0,22800.0,-0.20955703059263264,-6.036560975609756,-2.095722784968718,2.1631624071173023,0.9999999999309616,-4.200886178861789,-0.01,6.736613821138211,0.36480272417785464,1.9536053765246697,0.03744660561376212,2.007,0.03948001488611641,-6.982092392761761,-12.102742561180106,buy
22,0.038399965,0.06360413498157255,20210909,datas,22800.0,22350.0,4.3261939884419665e-06,-4.6088252032520325,1.519458831202553,-1.4982211892442894,-0.01,-6.037991869918699,-0.01,6.657320630081301,0.3580206749078627,-1.498216863050301,-0.01,-9.040500000000002,-0.01,-5.572816031122255,-9.932853698228783,buy
23,0.3026793,0.059907379118781516,20210910,datas,22350.0,21400.0,-5.56480549132969,-4.200603658536585,0.4279447711858603,-0.4530201637066238,-0.01,-9.965644308943089,-0.01,6.440605691056911,0.33953689559390754,-6.017825655036313,-0.01,-19.247,-0.01,-5.315458089824635,-9.32832753282677,buy
24,0.31997526,0.5638720871353766,20210913,datas,21400.0,21250.0,-6.662592689504489,-6.053739837398374,-1.9343923340148685,1.810099610517108,0.9999999232185682,-10.612475609756098,-0.01,6.379711890243902,0.33436062763046237,-4.852493078987381,-0.01,-3.0585000000000004,-0.01,-6.7701551913921465,-11.784814657837192,buy
25,0.21329336,0.5649040418103312,20210914,datas,21250.0,21500.0,-3.749652759448188,-9.990865853658537,-4.190827830129489,4.2114396774606195,1.0,-9.575215447154472,-0.01,6.440409552845528,0.33952020905165603,0.46178691801243116,0.0021301994743133656,5.112500000000001,0.23000908468791392,-8.63021876004879,-11.894192094055677,buy
26,0.33388585,0.5280990183897554,20210915,datas,21500.0,21750.0,1.6162542130435091,-10.61439430894309,-0.6927390883138463,0.7178869081488184,0.9239837438195502,-8.5280081300813,-0.01,6.5110543699187,0.34553573239990143,2.3341411211923275,0.05302458563836554,5.1325,0.23158518081148616,-9.216323703228143,-12.754161742515768,buy
27,0.21469867,0.05858193728675542,20210916,datas,21750.0,21200.0,-0.23340910958590438,-9.571217479674797,1.1670523695658788,-1.1529399063411734,-0.01,-10.824876016260163,-0.01,6.362623983739837,0.33290968643377705,-1.3863490159270777,-0.01,-11.308000000000002,-0.01,-8.428625696131215,-11.719676167054624,buy
28,0.24826473,0.05781543893993079,20210917,datas,21200.0,21050.0,-2.0795235238906167,-8.526524390243903,1.1552661224827219,-1.123008642015578,-0.01,-11.4559918699187,-0.01,6.3174456300813,0.3290771946996539,-3.2025321659061947,-0.01,-3.0885000000000002,-0.01,-7.6687036740629475,-10.690724124540592,buy
29,0.7201622,0.5617862655210631,20210923,datas,21050.0,20850.0,-4.11754262586671,-10.828290650406505,-2.516320982469706,2.469356830310721,0.9999999999999426,-12.298006097560975,-0.01,6.256681402439025,0.3239313276054594,-1.6481857955559887,-0.01,-4.132000000000001,-0.01,-9.13259666246632,-12.807919709079476,buy
30,0.3533309,0.515178279568722,20210924,datas,20850.0,20650.0,-2.5900062501594108,-11.458168699186992,-0.7063653409525665,0.6920424908495573,0.9087921257990561,-13.138660569105692,-0.01,6.197276930894308,0.3189110833459694,-1.8979637593098535,-0.01,-4.134,-0.01,-9.765132191188409,-13.741234718527744,buy
31,0.090006344,0.5492121099705708,20210927,datas,20650.0,19950.0,-5.219392303683751,-12.298412601626016,-0.9489795841068278,0.9080659774668058,0.9838028357305835,-16.079514227642278,-0.01,5.990798272357722,0.3015534605263951,-4.311326326216945,-0.01,-14.469000000000001,-0.01,-10.518397507132338,-14.95260370277266,buy
32,0.47128052,0.5467530215844573,20210928,datas,19950.0,19500.0,-6.466987171784326,-13.138656504065041,-0.9580714869188363,0.9047815811107869,0.9833133878308974,-17.97006300813008,-0.01,5.858061991869921,0.2904816383450428,-5.562205590673539,-0.01,-9.3015,-0.01,-11.338587199652517,-16.2751244752386,buy
33,-0.09908049,0.5580856605785495,20210929,datas,19500.0,19450.0,-5.804040412880251,-16.09309756097561,-3.4013301406612877,3.54762459624104,1.0,-17.98638617886179,-0.01,6.037051321138211,0.30542830289274736,-2.2564158166392114,-0.01,-0.9315000000000001,-0.01,-12.812859086964544,-17.7763657317206,sell
34,0.08112787,0.557912365921683,20210930,datas,19450.0,19550.0,-1.8051316843706668,-17.79715243902439,-2.030887601037503,2.0375529644575705,0.9999999990342445,-17.606095528455285,-0.01,6.026716971544715,0.30456183202280374,0.23242128008690383,0.0005400506345043521,1.8800000000000001,0.03472669487923552,-13.993204838324868,-19.674492127452158,buy
35,0.2503068,0.13312915701570527,20211001,datas,19550.0,19050.0,-2.091791520782134,-17.988477642276422,-0.23274765890574922,0.180499509935651,0.1503241587198617,-19.555957317073172,-0.01,6.029980182926828,0.304835388278872,-1.911292010846483,-0.01,-9.64,-0.01,-14.3324546840571,-19.824199347121375,buy
36,0.17359087,0.05185097143123539,20211005,datas,19050.0,18400.0,-5.017141528472018,-17.596743902439023,0.47765695426150834,-0.5226190412149974,-0.01,-22.16168699186992,-0.01,5.963313008130079,0.29925485715617695,-5.539760569687015,-0.01,-12.694500000000001,-0.01,-14.173784191430501,-19.472947672794316,buy
37,-0.15315373,0.5581329986120876,20211006,datas,18400.0,18950.0,-2.890312221757359,-19.600510162601626,-2.4316590812749577,2.472176655886838,0.9999999999999465,-19.936689024390244,-0.01,6.039873475609756,0.30566499306057193,-0.4181355658705212,-0.01,9.097000000000001,0.5628828709773492,-15.511767504458682,-21.462587268407116,sell
38,0.23865293,0.5592374850505311,20211007,datas,18950.0,19100.0,0.2090677829352606,-21.786223577235774,-2.7185662733116582,2.98885926597161,1.0,-19.28500406504065,-0.01,6.105620934959351,0.3111874252526552,3.1979270489068705,0.09721186277052729,2.637,0.06717502545129883,-16.777230029072484,-23.258946030038963,buy
39,0.3415618,0.056085081057893275,20211008,datas,19100.0,18400.0,0.0,-19.821579268292684,2.5118903584500454,-2.604455616681931,-0.01,-21.909790650406507,-0.01,6.2152093495934935,0.3204254052894664,-2.604455616681931,-0.01,-13.076,-0.01,-14.755045008784766,-21.356100011122486,buy
