timestep,action,reward
1,0.0048203542828559875,-7.854406130268199e-07
2,-0.027996204793453217,0.00012258620689655173
3,0.3238545060157776,0.00013409961685823755
4,-0.25008314847946167,0.00654787356321839
5,-0.045610152184963226,0.005302681992337165
6,0.03637035936117172,0.01698446360153257
7,0.16888698935508728,0.007847758620689656
8,0.009547218680381775,0.02125685823754789
9,0.022538796067237854,0.025143716475095786
10,-0.04602900147438049,0.017064578544061303
11,-0.011038929224014282,0.01897028735632184
12,0.25636449456214905,0.02272153256704981
13,-0.004844196140766144,0.02534888888888889
14,0.3601759672164917,0.03317
15,0.4711056351661682,0.029769003831417624
16,-0.35895079374313354,0.02121243295019157
17,0.030606329441070557,0.016056877394636015
18,-0.12445895373821259,0.03981400383141762
19,0.3983520567417145,0.044420172413793105
20,-0.33359116315841675,0.034253831417624524
21,0.23865166306495667,0.03207022988505747
22,-0.2160942256450653,0.04015388888888889
23,0.06142103672027588,0.07478503831417624
24,0.381979763507843,0.07244812260536398
25,0.02473124861717224,0.07559818007662836
26,-0.335570752620697,0.062425613026819926
27,0.2572529911994934,0.053937452107279696
28,0.5530361533164978,0.05665367816091954
29,0.6579389572143555,0.04165547892720307
