timestep,action,reward,current_amt,order_qty
1,-0.45801258087158203,-1,38800000.0,0.0
2,-0.22945722937583923,-1,38800000.0,0.0
3,0.12540903687477112,-3.5567010309278354e-05,38799310.0,1030.0
4,-0.10276930779218674,-0.0064297992826060114,38674918.0,105.0
5,0.32601305842399597,-0.00832054826505332,38576200.0,2496.0
6,-0.4139423370361328,-0.005424625273331022,38582843.0,1416.0
7,-0.5428056120872498,-0.01481403605425085,38404531.0,1088.0
8,0.12539121508598328,-0.008798814657442373,38431430.0,969.0
9,0.7640485763549805,-0.015040568545075156,38324441.0,5229.0
10,1.2710015773773193,-1,37186041.0,0.0
11,-0.6195233464241028,-0.013262580897169557,37724051.0,4407.0
12,-0.1070084348320961,-0.025006465342689344,37776157.0,289.0
13,-0.38318055868148804,-0.024205592619177835,37817924.0,926.0
14,-0.10312042385339737,-0.02731684152951105,37779514.0,153.0
15,0.3018890917301178,-0.0403737660042233,37510144.0,2340.0
16,-0.23239406943321228,0.016601126153165998,38460789.0,855.0
17,-0.1618673950433731,-0.012568369294266852,38386894.0,457.0
18,0.15223076939582825,-0.010678467050383576,38386288.0,979.0
19,0.0625719502568245,-0.010673615311167105,38386077.0,341.0
20,0.6348576545715332,-0.02606252927970177,38089027.0,3308.0
21,0.25819092988967896,0.025338556413486334,38928249.0,477.0
22,-0.14366430044174194,-0.0067055184254465475,38733717.0,1073.0
23,-0.5332298874855042,-0.06400250741237312,37526243.0,3412.0
24,0.4687841534614563,-0.03134961926704681,37554460.0,2790.0
25,0.4075917601585388,-0.029114049656687995,37611472.0,1286.0
26,-0.24806122481822968,-0.08487656953282764,36575499.0,1752.0
27,0.4470115303993225,-0.07149006391437066,36308948.0,1667.0
28,0.26776424050331116,-0.05491699093962455,36483110.0,549.0
29,0.22349438071250916,-0.07974200478498782,36106518.0,339.0
30,-0.09357506036758423,-0.11804373007124751,35197130.0,736.0
31,0.07823875546455383,-0.11411338969513889,34804843.0,154.0
32,0.06447695940732956,-0.15061951973582302,33930580.0,121.0
33,0.034251537173986435,-0.08458768082438581,34671149.0,58.0
34,-0.14281873404979706,-0.09251215323077633,34925683.0,1065.0
35,0.5263813734054565,-0.1260061621458565,34444984.0,1453.0
36,0.5252143144607544,-0.10795945050710971,34523138.0,685.0
37,0.3413572609424591,-0.13126344703201095,34138861.0,214.0
38,0.0957501232624054,-0.16350256094823884,33351249.0,40.0
39,0.4838709235191345,-0.06201128890901785,34757715.0,177.0
40,0.6768578886985779,-0.13842671967712927,34129887.0,131.0
41,0.019563782960176468,-0.1629580990547909,33356471.0,1.0
