timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.24151461,-1.0,20210409, 000660.csv,140000.0,137500.0,0.0,77500000,77500000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,0.1858688,-0.06429278140333741,20210412, 000660.csv,137500.0,139500.0,102.0,63217973.0,77242973.0,102.0,0.0,-0.002615483870967742,-0.002615483870967742,-0.06580817281504898,-0.02142082235016385,-0.06842193548387096,-0.06580817281504898,-4.3306218351246706e-05,-1626.679091589846,0.0,buy
3,-0.4491969,1.4191134259584421,20210413, 000660.csv,139500.0,137000.0,57.0,69395314.0,77346814.0,45.0,-0.39484903689029394,-0.34475612903225805,-0.34214959402873674,0.3579476234573974,0.4730409859645789,-0.3815303225806452,-0.03690141343289654,-1.3617050420577925e-05,-16.049077110829703,-13.970650123666163,sell
4,-0.31298086,-0.15634132165731696,20210414, 000660.csv,137000.0,137500.0,40.0,71762921.0,77242921.0,17.0,0.0,-0.2026825806451613,0.1425650501352961,-0.10343545209522148,-0.05208881113808128,-0.3059083870967742,-0.10343545209522148,-0.00010698320439017639,-13.639366682315362,-12.915830928599794,sell
5,-0.8711182,1.0561099755834745e-07,20210415, 000660.csv,137500.0,137500.0,6.0,76413273.0,77238273.0,34.0,-0.10343545209522148,-0.3415832258064516,-0.13918274433933003,0,0,-0.33771225806451616,0.0038842356393302318,1.508728536547821e-07,-15.608842185005795,-16.92952482623874,sell
6,-0.7293926,-0.0006285661697944866,20210416, 000660.csv,137500.0,138000.0,2.0,76962370.0,77237370.0,4.0,0.0077684712786604635,-0.3388774193548387,0.002715080711891832,-0.006473761217973519,-0.00020952596790446698,-0.3375870967741936,0.0012947100606869448,1.676274130613109e-08,-16.677658716392457,-16.931633816905133,sell
7,0.41956162,1.1048792997194212,20210419, 000660.csv,138000.0,138500.0,236.0,44782802.0,77350802.0,234.0,0.0025894201213738895,-0.3447716129032258,-0.005914235557217963,0.3029802263094264,0.3680753317031932,-0.04025548387096774,0.30556964643080026,0.0009332922997735693,-17.45877024959679,-16.818922245137962,buy
8,-1.8937426,-1.0,20210420, 000660.csv,138500.0,132500.0,236.0,44782802.0,77468802.0,0,-1.527848232154001,-0.19251354838709678,0.15278482321540013,-0.1502209881237666,-0.10669903352932819,-1.867352258064516,-1.6780692202777676,-0.027766389210545195,-15.697017281534615,-15.876955180640085,wrong
9,0.51501524,-3.054322909399511,20210421, 000660.csv,132500.0,133000.0,402.0,21788538.0,75053538.0,166.0,-1.525517472979789,-0.044467096774193554,0.14833201083034667,-1.328654920426941,-0.9998532264283867,-2.897370322580645,-2.85417239340673,-0.07823318587764339,-14.421112806548516,-14.820813683242795,buy
10,-1.4466416,-1.0,20210422, 000660.csv,133000.0,132500.0,402.0,21788538.0,75254538.0,0,-3.11364261098916,-3.1567251612903227,-3.11364261098916,3.11364261098916,1.0,-3.1567251612903227,0.0,0,-5.691720766890481,-4.27795585780779,wrong
11,-0.14967456,-0.3072757472497503,20210423, 000660.csv,132500.0,131500.0,342.0,29755435.0,75070435.0,60.0,-0.5356176546933736,-2.9142774193548386,0.25035062304457917,-0.1461875235305664,-0.10134309689996757,-3.576212903225807,-0.68180517822394,-0.004637795071210871,-5.644609389080865,-4.121287731113397,sell
12,0.40241513,2.27633847443213,20210426, 000660.csv,131500.0,135000.0,432.0,17828742.0,74636742.0,90.0,0.9090735709652533,-3.1371070967741934,-0.2295184827349452,0.5296077912453989,0.7539995866432392,-1.7435587096774194,1.4386813622106522,0.020485306432017958,-6.193648139522411,-4.694681186052238,buy
13,-1.0487859,-1.0,20210427, 000660.csv,135000.0,130000.0,432.0,17828742.0,76148742.0,0,-1.4386813622106522,-3.6945264516129033,-0.5754725448842608,0.5704762629044686,0.8035241650693326,-4.530655483870968,-0.8682050993061836,-0.007509462969779834,-7.051468691816353,-5.592933779916675,wrong
14,-1.1278042,-1.0,20210428, 000660.csv,130000.0,130000.0,432.0,17828742.0,73988742.0,0,-0.8682050993061836,-1.7435587096774194,2.025811898381095,0,0,-4.530655483870968,-2.8365537542301094,-0.07730853272913285,-3.923856668026537,-3.7110395232726296,wrong
15,-0.46110266,-1.0,20210429, 000660.csv,130000.0,128000.0,233.0,43656266.0,73946266.0,199.0,-3.9711752559221534,-4.585463225806452,-2.892334058519312,3.3409879250297454,1.0,-5.186753548387097,-0.6301873308924077,-0.003963485296020863,-5.765178691169034,-5.475781980321316,sell
