timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,0.7726575,3.1092983917900225,20181101, 083650.csv,2300.0,2370.0,9510.0,6299462.0,28172462.0,9510.0,0.0,-0.010967509025270758,-0.010967509025270758,4.120307490763789,1.0,4.108888086642599,4.120307490763789,0.15614055970003227,-412.48518762343645,0.0,buy
2,1.2828099,-1.0,20181102, 083650.csv,2370.0,2420.0,9510.0,6299462.0,28838162.0,0,5.837102278582034,1.705638989169675,1.7167947878182452,-1.7863380961687252,-0.999999882287305,5.825494584837545,4.0507641824133085,0.15133173451369863,-0.7111213449302035,0.0,wrong
3,0.32424557,-2.915075919407547,20181105, 083650.csv,2420.0,2470.0,10371.0,4258603.0,29356423.0,861.0,5.738582591752187,4.107844765342961,2.3619199486363667,-2.1422702007516436,-0.9999999998917533,7.8518880866425995,3.5963123910005432,0.12132011466816162,1.745813702628829,0.0,buy
4,0.7444263,1.641642830017392,20181106, 083650.csv,2470.0,2430.0,11680.0,1090374.0,29939974.0,1309.0,2.157787434600326,5.978245487364621,1.796599215205643,0.39787472219453524,0.5468451922005169,6.399906137184115,0.39787472219453524,0.0015817905940592736,3.7298512062540174,0.0,buy
5,1.2518282,-1.0,20181107, 083650.csv,2430.0,2440.0,11680.0,1090374.0,29472774.0,0,0.7957494443890705,8.086548736462094,1.9893736109726765,-1.9660911420805915,-0.9999999959622244,6.8215667870036105,-1.170341697691521,-0.013603619846153103,6.124997373161117,0.0,wrong
6,-0.47264954,2.658061108838976,20181108, 083650.csv,2440.0,2480.0,6160.0,14481950.0,29512350.0,5520.0,0.39011389923050704,6.3203971119133575,-1.6340161150440544,0.6556998746122644,0.8834822465936795,7.432310469314079,1.0458137738427715,0.01087767008276852,2.9984680436443756,5.007116973385738,sell
7,-1.091947,-1.0,20181109, 083650.csv,2480.0,2375.0,6160.0,14481950.0,29758750.0,0,-1.1503951512270485,6.5427797833935015,0.20916275476855428,-0.20632500152256306,-0.191722655542664,5.097292418772563,-1.3567201527496116,-0.01823852347643551,3.3476840865037834,5.310721770637625,wrong
8,-0.5960963,2.979699400172976,20181112, 083650.csv,2375.0,2275.0,2489.0,23571082.0,29482457.0,3671.0,-3.4439819262105527,7.378346570397112,0.7842547272582495,1.7285152888250563,0.9999996748000193,5.536306859205776,-1.7154666373854963,-0.028999463181545004,4.258060472659374,6.36868982386754,sell
9,-0.3199069,2.994337955964588,20181113, 083650.csv,2275.0,2250.0,1693.0,25458479.0,29310054.0,796.0,-1.9246698858471423,6.423660649819494,-0.8890860690909657,1.2067945891225262,0.999312030396301,5.659671480144405,-0.7178752967246161,-0.005140193177592067,3.3480779441875317,6.3505845313211005,sell
10,0.50847703,-2.9437575295526384,20181114, 083650.csv,2250.0,2240.0,7381.0,12516442.0,29123692.0,5688.0,-0.7753053204625855,5.805841155234657,-0.5805283250101071,-0.8814456068260444,-0.9794466593450013,4.873220216606498,-0.8814456068260444,-0.007739359310906191,2.890233069798783,6.164421708921498,buy
11,1.0143666,-1.0,20181115, 083650.csv,2240.0,2290.0,7381.0,12516442.0,29049882.0,0,0.3777575286221769,5.139682310469315,-0.6296049797364002,0.6359875693550989,0.8676626509385605,6.205530685920578,1.0137450979772757,0.010224165446701794,2.349936253833123,5.516219049193735,wrong
12,-0.14031237,-1.040235381016914,20181116, 083650.csv,2290.0,2400.0,6346.0,14831036.0,29363376.0,1035.0,3.801544117414784,4.8594801444043325,-0.2665046725531914,-0.3058567825747871,-0.37358479265841915,8.525039711191337,3.495687334839997,0.11502713851191948,2.193261292146448,5.136950529148684,sell
13,0.464599,3.6993562080129467,20181119, 083650.csv,2400.0,3120.0,9354.0,7941738.0,30391338.0,3008.0,19.226280341619983,6.001436823104693,1.089035228028736,7.215088650108825,1.0,34.0296678700361,26.441368991728808,0.9990802971613526,3.236483667090129,7.396401897862956,buy
14,-0.939855,-2.9899009442778395,20181120, 083650.csv,3120.0,3050.0,563.0,29005494.0,30762054.0,8791.0,24.211374016522765,9.590953068592057,3.3862901797053495,-23.00587383919779,-1.0,10.912072202166065,1.2055001773249747,0.014427222460229094,5.454742181531203,14.372579636132647,sell
15,-0.67959845,-2.9605801181885862,20181121, 083650.csv,3050.0,2800.0,181.0,30195378.0,30747428.0,382.0,0.7418462629692153,11.047285198555956,1.328879883955743,-0.930142152013522,-0.9867773249294713,10.83818772563177,-0.1882958890443067,-0.0003544905716743596,6.685520577417617,17.201051473617017,sell
16,0.022185147,1.9701485591042005,20181122, 083650.csv,2800.0,3640.0,400.0,29527334.0,30647334.0,219.0,0.30598081969699836,11.001205776173286,-0.041495316432346864,0.4615654007330396,0.6553455974537191,11.853191335740073,0.767546220430038,0.005873952490061507,6.800684038456562,16.789247390925382,buy
17,0.08709873,3.2179027032328316,20181123, 083650.csv,3640.0,4220.0,1318.0,26956570.0,31754090.0,918.0,1.5220831828866854,10.638880866425993,-0.3264152918103404,4.584752174735944,1.0,17.395415162454874,6.1068353576226295,0.31128957604690255,6.640101997384703,17.038983886169795,buy
18,-1.4217361,-1.0,20181126, 083650.csv,4220.0,3970.0,1318.0,26956570.0,32518530.0,0,5.031688287618645,14.635703971119133,3.612494155213387,-3.661974968798928,-1.0,16.205884476534298,1.3697133188197173,0.018586250912857927,8.811006525579526,25.083475127433378,wrong
19,-0.24156746,-0.00412564726019421,20181127, 083650.csv,3970.0,3970.0,1000.0,28296328.0,32266328.0,318.0,1.3697133188197173,17.38746570397112,2.4004403842150728,0,0,16.484938628158847,-0.7688445017530885,-0.005893781800277442,10.682028828497607,30.653433819262727,sell
20,-0.6287799,1.5672206473466834,20181128, 083650.csv,3970.0,4170.0,372.0,30785395.0,32262235.0,628.0,-0.1537689003506177,16.470162454873645,-0.7814320239357901,0.38437908591277725,0.5222828263044048,16.738754512635378,0.23061018556215956,0.0005316691906699367,9.989749902080286,30.17535848034884,sell
21,-0.005470492,0.00020731326952828642,20181129, 083650.csv,4170.0,4125.0,370.0,30793323.0,32336223.0,2.0,0.1787228938106737,16.470119133574006,-3.719519121970316e-05,-0.0009608096542285671,-4.615765305637787e-06,16.677158844765344,0.17776208415644512,0.000315943664921714,10.192689269380308,29.796937001254562,sell
22,-0.5000532,-0.2491637517106521,20181130, 083650.csv,4125.0,4000.0,185.0,31563507.0,32326632.0,185.0,0.034405564675440994,16.732696750902527,0.2254463370363536,-0.13166872169773114,-0.08303251133028078,16.619158844765344,-0.09726315702229014,-9.459674258538442e-05,10.591507517725697,30.358536145317974,sell
