timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-1.1725726,-1.0,20200224, 039030.csv,101300.0,104000.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,-0.30974048,-1.0,20200225, 039030.csv,104000.0,101600.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
3,-0.16017336,-1.0,20200226, 039030.csv,101600.0,94200.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
4,-0.16416463,-1.0,20200227, 039030.csv,94200.0,88400.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
5,-0.15841112,-1.0,20200228, 039030.csv,88400.0,94200.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
6,-0.5099967,-1.0,20200302, 039030.csv,94200.0,91900.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
7,-0.63048446,-1.0,20200303, 039030.csv,91900.0,93500.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
8,-0.48208696,-1.0,20200304, 039030.csv,93500.0,96200.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
9,-1.042958,-1.0,20200305, 039030.csv,96200.0,93700.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
10,-0.78929234,-1.0,20200306, 039030.csv,93700.0,88300.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
11,-0.5160647,-1.0,20200309, 039030.csv,88300.0,90400.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
12,-0.4953497,-1.0,20200310, 039030.csv,90400.0,84500.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
13,-0.9723747,-1.0,20200311, 039030.csv,84500.0,72400.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
14,-0.96727115,-1.0,20200312, 039030.csv,72400.0,64200.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
15,-0.57419384,-1.0,20200313, 039030.csv,64200.0,61000.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
16,-0.7337256,-1.0,20200316, 039030.csv,61000.0,60400.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
17,-0.33749172,-1.0,20200317, 039030.csv,60400.0,54000.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
18,-0.31841543,-1.0,20200318, 039030.csv,54000.0,40300.0,0.0,16700000,16700000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
