timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,average_line,average_slope,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
1,-0.5715451,0.0,251270.csv,20190322,115500.0,115000.0,26800000.0,26800000,0,0.0,False,-0.4329004329004329,0.0,0.0,0.0,0,0.0,0.0,0,0,0.4329004329004329,0.0,0.0,0,-0.0,0.0,0.0,wrong
2,-0.35081157,0.0,251270.csv,20190325,115000.0,121000.0,26800000.0,26800000,0,0.0,False,4.761904761904762,0.0,0.0,0.0,0,0.0,0.0,0,0,-4.761904761904762,0.0,0.0,0,0.0,0.0,0.0,wrong
3,-0.6894291,0.0,251270.csv,20190326,121000.0,121000.0,26800000.0,26800000,0,0.0,False,4.761904761904762,0.0,0.0,0.0,0,0.0,0.0,1,0.9999546000702375,-4.761904761904762,0.0,0.0,0,0.0,0.0,0.0,wrong
4,0.77908236,2.25,251270.csv,20190327,121000.0,124500.0,26797044.0,5985044.0,172.0,172.0,True,7.792207792207792,0.0,-0.011029850746268657,-0.011029850746268657,0.0,0.0,0.0,2.2465164441271956,1.0,-5.556968986237643,2.235238805970149,2.2465164441271956,0.9999999999890116,60.2,-420.68335588633283,0.0,buy
5,0.6525171,2.81,251270.csv,20190328,124500.0,125000.0,27398496.0,2124996.0,31.0,203.0,True,8.225108225108226,0.31387956455706995,2.2331940298507464,2.2444714424471592,2.440062420201442,0.0,0.0,0.3704582908492495,0.7465005061473728,-5.613182851973898,2.611925373134328,0.3704582908492495,0.49651266763440094,10.15,0.5054288607263784,0.0,buy
6,0.8799217,1.48,251270.csv,20190329,125000.0,123500.0,27499748.0,374748.0,14.0,217.0,True,6.926406926406926,-1.107272888330602,2.611,0.36955313167554893,2.6626043184527766,0.0,0.0,-1.1836472101489803,-0.999999176915675,-5.5299591652128965,1.3964477611940298,-1.1836472101489803,-0.9990927600510008,-32.550000000000004,1.0036289429113796,0.0,buy
7,0.8575923,-1.0,251270.csv,20190401,123500.0,120500.0,27174213.0,127713.0,2.0,219.0,True,4.329004329004329,-2.3956504702540435,1.3963171641791046,-1.1837744840425446,1.4174025535744414,0.0,0.0,-2.417733312092608,-1.0,-5.384179702138657,-1.0551753731343283,-2.417733312092608,-0.9999999999997973,-65.7,-0.5282718400217693,-0.8009976298092125,buy
8,-0.25246173,2.05,251270.csv,20190402,120500.0,125500.0,26506331.0,6744331.0,55.0,164.0,True,8.658008658008658,4.129393236008625,-1.0957798507462686,-2.45777863005637,-1.0461780752573264,0.0,0.0,-1.0357926920480147,-0.9999780921384134,-6.694087016217614,1.9639216417910448,3.0936005439606107,1.0,82.0,-2.505019365179279,-2.954243382880794,sell
9,0.81757915,1.79,251270.csv,20190403,125500.0,124500.0,27325565.0,1347065.0,43.0,207.0,True,7.792207792207792,-0.6001537491440032,1.961063432835821,3.0907106683305208,2.5448308124122856,0.0,0.0,-0.7575323694130387,-0.9967805762886878,-6.6035324190734634,1.1886753731343285,-0.7575323694130387,-0.9432600342676151,-20.7,0.04886616688274279,0.07212357640732421,buy
10,0.6108709,1.3,251270.csv,20190404,124500.0,124000.0,27118459.0,599959.0,6.0,213.0,True,7.35930735930736,-0.3816573627697483,1.1882798507462686,-0.7579202845394047,1.6884066804827542,0.0,0.0,-0.3927214300783094,-0.7861116686825818,-6.5684155682625835,0.7908917910447762,-0.3927214300783094,-0.5375193719544371,-10.65,-0.4805863128540132,-0.7756777445279345,buy
