timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio
1,1.1805371,-1.0,67500000.0,0.0,0.0,0.0
2,0.4331724,-3.075555555555556e-05,67495848.0,6592.0,-69768.88341425688,0.0
3,1.3672752,-1.0,67067368.0,0.0,-64619.524084778415,0.0
4,1.1345379,-1.0,67199208.0,0.0,-66617.27759058964,0.0
5,0.41325438,-91.02792387127766,66801446.0,3651.0,-527.5116986709902,-455.1138991817192
6,1.6562243,-1.0,66801446.0,0.0,-431.7247270366596,-399.074023605761
7,1.280406,-1.0,66186862.0,0.0,-415.5759968709418,-403.3524757247218
8,1.2031351,-1.0,66238078.0,0.0,-413.76898723663686,-416.4718895635989
9,1.3014283,-1.0,65572286.0,0.0,-409.61997041191165,-424.07519080385794
10,0.44391376,-45.46811816722152,64649000.0,2418.0,-231.22959243477032,-227.2600369660611
11,1.3011287,-1.0,64965524.0,0.0,-192.098180648468,-190.36215561757865
12,1.2873263,-1.0,64015952.0,0.0,-177.8556332225754,-178.2434380638777
13,0.99705505,-37.180984913552386,63571049.0,3084.0,-183.58181163920392,-185.86323981625765
14,0.50971496,-37.21339670040925,63807219.0,4.0,-180.3006234226363,-186.0762711417704
15,1.1438608,-1.0,63807219.0,0.0,-176.14975846531772,-183.69145087748538
16,1.865411,-1.0,64594671.0,0.0,-176.11317271414927,-184.4864515324443
17,0.868384,-37.017030862829,64830905.0,4.0,-163.88391944891103,-185.12526286361808
18,1.4614494,-1.0,63806957.0,0.0,-157.23929797999398,-186.84315110656533
19,1.0475916,-1.0,62074129.0,0.0,-152.60399613479868,-187.83724009025377
20,0.44810832,-28.290646880111282,61207713.0,0.0,-126.72255188413044,-141.3135173936752
21,1.4755015,-1.0,61207713.0,0.0,-112.35265557349288,-122.88770430359799
22,0.9032384,-24.301203684722726,61050185.0,0.0,-112.57929275408452,-121.49958426718631
23,0.23605847,-24.310899604533972,61050185.0,0.0,-114.4888225645292,-121.55449802266985
24,0.6705117,-24.41684230938604,61522773.0,0.0,-115.62208582273877,-122.10356398623895
25,1.4836173,-1.0,61286477.0,0.0,-115.88409304373563,-121.63683448733624
26,0.16540211,-25.25471660624831,60105005.0,0.0,-117.50088453390276,-126.21597151883458
27,1.0480536,-1.0,62546717.0,0.0,-116.96604175638976,-128.306943153169
28,1.1022325,-1.0,62074129.0,0.0,-118.22433101952285,-132.19675228296694
29,1.2183303,-1.0,61995365.0,0.0,-118.34128424190092,-134.67300049690905
30,0.65120345,-26.92202155363867,63334369.0,0.0,-102.44492692368733,-134.74442952725485
31,1.3371291,-1.0,63098073.0,0.0,-94.92306578081276,-137.84633271883934
32,0.6949401,-27.552427944719597,63649429.0,0.0,-96.03646142450653,-137.77457609917786
33,1.1318536,-1.0,64200785.0,0.0,-97.52834622480293,-138.25562644974505
34,1.2588503,-1.0,64515845.0,0.0,-98.16311797170444,-137.53897022345157
35,0.4075057,-27.33540141525961,63964489.0,0.0,-98.6811580574804,-136.68938189273197
36,1.4428341,-1.0,63570665.0,0.0,-99.29471208907249,-136.0035591008076
37,0.7731887,-27.49630776860696,62940545.0,0.0,-98.8847356791932,-137.44151882505264
38,1.2260246,-1.0,63334369.0,0.0,-98.98393722948565,-139.47179361789395
39,0.40375423,-27.50266122031624,64122021.0,0.0,-97.43794349710562,-137.56023435744552
40,0.6876203,-28.097129592943627,63649429.0,0.0,-99.68946012561986,-140.46722246936451
41,1.1758512,-1.0,63885725.0,0.0,-100.47959387930416,-141.4033890410728
42,0.8141189,-27.82213870388413,64515845.0,0.0,-99.21380089887066,-139.14472430389162
43,0.62036186,-27.70404991645702,65067197.0,0.0,-99.52500269839811,-138.54161456634444
44,0.47807765,-28.04387505785653,64752141.0,0.0,-101.30042150165463,-140.2072702649952
45,1.57604,-1.0,66563733.0,0.0,-99.28471809095039,-136.77829238016386
46,0.9618881,-27.021011510948743,65854849.0,0.0,-98.0989184846474,-135.14763174545655
47,1.9135339,-1.0,65854849.0,0.0,-100.26633357547091,-138.0764024425717
48,1.267004,-1.0,65224729.0,0.0,-100.36262702026971,-138.0987084335376
49,1.0758537,-1.0,66484969.0,0.0,-100.49284235328741,-138.1206594219948
50,2.1981707,-1.0,65382261.0,0.0,-103.36971207517465,-141.87057853313465
51,0.9961043,-28.773476173282603,65854849.0,0.0,-105.83905228242965,-143.86738086641301
52,1.265829,-1.0,65067197.0,0.0,-106.03655434722484,-142.78033557334112
53,1.6332717,-1.0,65224729.0,0.0,-106.0598362132645,-141.49341992337563
54,0.7920136,-28.935037226740125,64752141.0,0.0,-106.74783589250949,-144.63332482748154
55,0.79283065,-29.843420607354084,63728193.0,0.0,-108.57545417275982,-149.17756967215163
56,0.75197774,-29.66952120608464,63728193.0,0.0,-108.91862458139369,-148.34760603042318
57,0.8480334,-29.95042917127494,64358313.0,0.0,-110.56784207612762,-149.77686490026787
58,1.3893332,-1.0,63334369.0,0.0,-107.84082711435958,-145.29295456178926
59,1.1565373,-1.0,62310425.0,0.0,-107.29806056380119,-143.78308060617093
60,1.0295873,-1.0,61837833.0,0.0,-109.84852636591066,-146.4113930724531
61,0.71126294,-29.112653480796265,62389189.0,0.0,-107.77098818357973,-145.48677674146194
62,1.0359329,-1.0,64043253.0,0.0,-106.22522389077473,-145.21096630039148
63,0.38409817,-28.77119765616508,63491901.0,0.0,-105.24585044582865,-143.9001751030006
64,1.8618612,-1.0,63806957.0,0.0,-105.8284544007681,-144.68897535418847
65,0.01895684,-29.316312430421377,62783013.0,0.0,-106.4117038832075,-146.55364961567173
66,0.4318266,-28.78582341720629,62861781.0,0.0,-105.27668716969188,-143.93225360322919
67,0.539912,-28.241145182589513,62074129.0,0.0,-102.33172216642538,-141.17440115617683
68,0.46831596,-28.0202624177408,62074129.0,0.0,-102.28989221053328,-140.101312088704
69,0.42606282,-28.969513446482715,61601541.0,0.0,-105.5935206799608,-144.82853402133136
70,1.4596388,-1.0,61601541.0,0.0,-104.5348243018136,-143.60386210091355
71,1.0036607,-1.0,60498829.0,0.0,-104.74553514892976,-144.14298314958808
72,1.4306531,-1.0,60262533.0,0.0,-105.86621078287482,-145.9551569612603
73,1.3104548,-1.0,59474885.0,0.0,-106.8358326091808,-147.57857551300327
74,1.2027245,-1.0,65776085.0,0.0,-103.8969250358733,-143.80846912718928
75,0.52255833,-28.41162291749789,66169909.0,0.0,-93.38074691536781,-142.24351449493656
76,1.7577875,-1.0,64909669.0,0.0,-88.87459033477664,-146.12466483375832
77,1.2293855,-1.0,65854849.0,0.0,-82.12270335852155,-143.79593456973473
78,1.4555373,-1.0,67272621.0,0.0,-76.04455518777779,-140.41550775263738
79,0.10174346,-28.18254300894444,67587677.0,0.0,-76.50950331860152,-140.96628048033432
80,1.8704929,-1.0,66484969.0,0.0,-78.24719718209862,-143.84587694709268
81,1.1102941,-1.0,67351381.0,0.0,-78.47405633253341,-143.93332952177636
82,1.0511017,-1.0,65382261.0,0.0,-79.93700039368677,-146.27479019571467
83,1.201377,-1.0,62940545.0,0.0,-82.3562558140769,-150.34397670112358
84,0.98757875,-25.060344197303888,62704249.0,0.0,-78.23826190927123,-125.12108791046327
85,0.23504633,-24.682627457861543,64594609.0,0.0,-77.1156026009002,-123.4885053875685
86,1.8260403,-1.0,60183769.0,0.0,-78.0998057943363,-125.20523934758816
87,0.71274,-20.575402629956223,58687233.0,0.0,-73.76293343268928,-102.648380447631
88,0.96242714,-19.871881255198453,54748986.0,1.0,-73.30264492390353,-99.19164206226625
89,0.47124612,-19.901519748985663,52070802.0,0.0,-73.34070837516525,-99.38530497313133
90,1.274373,-1.0,53409894.0,0.0,-73.13417188056762,-99.32693677578213
91,1.5883458,-1.0,56245614.0,0.0,-72.69822643835357,-99.01824158457815
92,0.44598484,-19.840928020222556,55536682.0,0.0,-71.29483575969584,-99.37104237776677
93,1.1689394,-1.0,55615454.0,0.0,-69.50923031184827,-98.93998104593365
94,0.9469503,-19.867369986381213,55772994.0,0.0,-70.15980932283644,-99.34748758577238
95,0.2609796,-19.484804479709474,56718234.0,0.0,-69.08468271839105,-97.46639236706653
96,0.7283459,-19.738986031270226,56088074.0,0.0,-69.66801451507415,-98.66715425627639
97,1.3817458,-1.0,57427162.0,0.0,-70.31401783586922,-99.95904832321357
98,1.5507803,-1.0,56481922.0,0.0,-71.05779343053312,-101.39284800602985
99,1.0146377,-1.0,57584706.0,0.0,-70.8769408685859,-101.50558749268515
100,0.9353225,-20.56209065760093,57505934.0,0.0,-71.9322125448769,-102.8736512148937
101,1.514244,-1.0,57899786.0,0.0,-72.0072855010177,-102.83310303090221
102,1.2273993,-1.0,57348394.0,0.0,-73.78869000044908,-105.22121779992435
103,1.0176637,-1.0,57348394.0,0.0,-73.35520834585628,-104.44410183756585
104,0.77265966,-21.257445521192967,56639466.0,0.0,-74.16516768876764,-106.24955897162877
105,1.5282753,-1.0,57427162.0,0.0,-75.07578221314273,-108.20122555270297
106,0.8634131,-21.738490282733068,58214866.0,0.0,-75.51707973980062,-108.7619877330932
107,1.5902755,-1.0,58214866.0,0.0,-74.37031612546812,-107.02976024867651
108,0.4864924,-21.869943116695087,57505934.0,0.0,-75.62399216133716,-109.31927095443514
109,1.1452417,-1.0,57899786.0,0.0,-76.56062984279681,-111.156675323944
110,1.2483621,-1.0,56718234.0,0.0,-78.52126303813161,-114.4911382951689
111,0.30028176,-23.6606713982498,56639466.0,0.0,-80.65419847006122,-118.26568835691293
112,1.002586,-1.0,57742242.0,0.0,-80.89213008342207,-119.2686110168977
113,1.6765454,-1.0,55379146.0,0.0,-85.45769518402493,-126.67830623181494
114,0.8513336,-25.239388494348926,54827754.0,0.0,-84.48007740772391,-126.1169756161249
115,0.8048938,-25.266450648582307,55457914.0,0.0,-84.95381002690151,-126.36098686566763
116,1.384758,-1.0,54276362.0,0.0,-86.62230966728592,-128.37533677719884
117,0.8132099,-24.511599116066467,50731714.0,0.0,-86.72640195037235,-122.34494212866446
118,0.9634142,-25.913057957575383,49550162.0,0.0,-91.16153173033821,-129.5070642763162
119,1.0152578,-1.0,51046794.0,0.0,-90.14166021549046,-128.93821383804573
120,1.3309795,-1.0,50968026.0,0.0,-89.8866248391233,-129.43603473512422
121,0.7968747,-26.7794314948782,49786474.0,0.0,-93.36209601167386,-133.90908034156547
122,0.78437096,-26.253163191253627,50259094.0,0.0,-91.86299398586617,-131.2895483057412
123,1.415123,-1.0,51834494.0,0.0,-89.64398984160206,-127.66486726355548
124,1.1108549,-1.0,52700962.0,0.0,-89.68721623699756,-127.27755709033252
125,1.0806289,-1.0,52622194.0,0.0,-91.57991168545058,-129.5098638880908
126,1.2607073,-1.0,51992034.0,0.0,-91.48949620292025,-128.9333738323873
127,0.5215256,-26.008803834530617,51283106.0,0.0,-92.48466822609981,-130.09495582503286
128,0.79052734,-26.151888271086253,50889254.0,0.0,-92.8854212742777,-130.7402414653154
129,1.8680677,-1.0,51046794.0,0.0,-93.95189326094409,-132.33069229450174
130,0.41474032,-26.626538287593792,50968026.0,0.0,-94.88524141856863,-133.13656121369803
131,0.92593145,-26.61379108036006,53016042.0,0.0,-94.53069352429398,-133.16941132293013
132,0.42760885,-26.920585640938615,53094814.0,0.0,-95.91111408571807,-134.60664274075745
133,1.1458473,-1.0,54040054.0,0.0,-92.56222419186243,-129.4224045689256
134,1.7464528,-1.0,52149574.0,0.0,-100.27742581151922,-139.69118743299353
135,1.7304621,-1.0,51676954.0,0.0,-98.42044961033803,-136.60077818195145
136,1.3718853,-1.0,51913266.0,0.0,-97.7172176688155,-135.1302535727605
137,1.000807,-1.0,50416634.0,0.0,-98.51255578701563,-135.73700433592506
138,0.92499137,-26.590093571358267,50574174.0,0.0,-96.24235832147905,-132.8317820657459
139,1.8981227,-1.0,49707706.0,0.0,-93.28684956457109,-129.00458400632306
140,0.08555561,-25.474381933560505,50495402.0,0.0,-92.44885158665893,-127.36801578314906
141,0.8012538,-25.368309762115828,49865242.0,0.0,-91.75972122498419,-126.81034993033258
142,1.0146042,-1.0,48289842.0,0.0,-93.44240394775498,-129.53005527553876
143,0.56529814,-26.358719973343355,47974762.0,0.0,-94.51021431431975,-131.6988204209457
144,0.6028526,-26.23222848221223,48841234.0,0.0,-94.32933047183641,-131.20629490186454
145,1.6848099,-1.0,50022786.0,0.0,-92.21234881355211,-128.02658815388682
146,0.75063133,-26.081133696894053,49156314.0,0.0,-94.23662633159664,-130.42179625061146
147,1.5965885,-1.0,48289842.0,0.0,-95.94430890817878,-132.36636899999948
148,0.8289174,-26.329669901196592,48683694.0,0.0,-95.2574153607091,-131.62431291935036
149,0.008772314,-26.491223279897476,49786474.0,0.0,-95.98907288513047,-132.51274624355796
150,0.8602428,-26.54314389939829,50416634.0,0.0,-96.40426214362465,-132.74736262962222
151,1.1630166,-1.0,49865242.0,0.0,-97.46097497550575,-133.86246262700325
152,0.65856826,-26.985181513655505,49392626.0,0.0,-97.64920817419214,-134.87513027917885
153,0.63288057,-26.670923088403406,48998774.0,0.0,-96.46675358870975,-133.3346806849543
154,1.3726804,-1.0,47895994.0,0.0,-93.92777885827412,-129.92020503848227
155,1.3972306,-1.0,47502146.0,0.0,-94.83146623763642,-131.27006589942212
156,1.0824286,-1.0,48762466.0,0.0,-92.45262709795814,-128.07818404137703
157,0.70788234,-25.35392001629324,48762466.0,0.0,-91.58563493458325,-126.7575432491871
158,0.6529001,-25.536683856111924,48683694.0,0.0,-92.51598624602418,-127.67938072352683
159,1.2278275,-1.0,48920002.0,0.0,-94.02396159207697,-129.4122926536746
160,1.0888153,-1.0,48998774.0,0.0,-93.48385516280415,-128.34439346838005
161,0.7649247,-25.815775010109732,49786474.0,0.0,-94.12606070318772,-129.13550489461923
162,0.3029797,-25.289947903754122,49707706.0,0.0,-92.38467443691636,-126.44578422762063
163,0.9940877,-25.217382721628887,50337866.0,0.0,-92.35645133043545,-126.11860688322737
164,1.3300719,-1.0,50337866.0,0.0,-93.05973948866117,-126.78993017674344
165,1.2190881,-1.0,65382934.0,0.0,-83.5882932494147,-113.62735135631279
166,1.0681578,-1.0,70896834.0,0.0,-80.66731681673943,-109.40899294250283
167,0.97024935,-1.0,71054378.0,0.0,-80.64573171549006,-109.13354459618864
168,1.0797346,-1.0,74047634.0,0.0,-78.40431943759748,-105.86241684668313
169,0.6631347,-1.0,77355978.0,0.0,-76.93117694392168,-103.64124025831833
170,1.2279344,-1.0,76489506.0,0.0,-75.82881750175233,-101.9286750280187
171,-0.014744639,-18.850037433199226,83813088.0,232.0,-32.67935266709452,-95.91271403990056
172,0.7657557,-19.332847092169757,85986038.0,173.0,-33.03871872367936,-96.72905081522399
173,1.4130561,-1.0,85515182.0,0.0,-34.39240468057811,-100.44589132917677
174,0.697158,-19.999411660136843,85829059.0,36.0,-34.30117701798292,-99.99249421668723
175,0.8681694,-19.67504997197271,88188697.0,13.0,-33.849700831244675,-98.44398060290945
176,0.35351062,-20.051860850993755,83465493.0,1.0,-34.85770217147447,-100.12540943168999
177,0.9605161,-19.46995888116143,85827248.0,2.0,-33.993676926707,-97.42053486737728
178,0.9314135,-19.930990242637165,87401944.0,0.0,-34.880563190119375,-99.7008193971453
179,1.109744,-1.0,92283520.0,0.0,-35.05534182961716,-99.93973282338106
180,1.2292379,-1.0,100786896.0,0.0,-32.79507611988433,-93.25393504896184
181,0.76809627,-20.00084328347529,95275448.0,0.0,-35.116957884455736,-100.22942605344586
182,0.35930932,-21.09302227552329,86929536.0,0.0,-39.04212529980435,-105.2461170780567
183,0.24724662,-1.0,108187984.0,0.0,-32.878615733834025,-84.48785195185283
184,0.70934546,-1.0,103148944.0,0.0,-34.51317844242927,-85.14152367122922
185,1.3861558,-1.0,95905328.0,0.0,-36.27333386001226,-86.38416962256028
186,0.16706043,-1.0,99684608.0,0.0,-34.15065922699721,-78.86441478841421
