timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,0.57728744,0.88,095720.csv,20201215,2880.0,2910.0,11499058.0,4863538.0,2304.0,2304.0,True,1.0416666666666665,0.0,-0.008191304347826087,-0.008191304347826087,0.6010927155946165,0.9730325454589258,-0.44881449275362306,0.5928521739130435,0.6010927155946165,0.8357822952874017,-409.9936305732484,0.0,buy
2,-1.1345499,-0.03,095720.csv,20201216,2910.0,2960.0,11557170.0,11557170.0,2304.0,0.0,True,2.7777777777777777,0.9958352992147942,0.49713043478260865,0.5053631349628813,-0.1,-0.09516258196404048,-2.2806473429951692,0.49713043478260865,0.0,0,-4.9747997152793735,0.0,sell
3,0.92811793,-0.5,095720.csv,20201217,2960.0,2945.0,11555648.0,834528.0,3622.0,3622.0,True,2.256944444444444,0.0,0.48389565217391306,-0.013169313941042659,-0.1,-0.09516258196404048,-2.245483574879227,0.01146086956521739,-0.47015970026085946,-0.6688721481263065,-5.6230641531936065,-501.44714446788225,buy
4,-0.677764,-0.02,095720.csv,20201218,2945.0,2950.0,11489452.0,8049692.0,2454.0,1168.0,True,2.430555555555556,0.15746021455975742,-0.09172173913043478,-0.572845417236662,-0.1,-0.09516258196404048,-2.4714946859903386,-0.04093913043478261,0.05082923014953194,0.012834973267278782,-5.274145945417378,-6.791019270965202,sell
5,0.9023466,-0.73,095720.csv,20201221,2950.0,2850.0,11494262.0,788712.0,2461.0,3629.0,True,-1.0416666666666665,-1.0160681433755663,-0.04989565217391305,0.04186448579096723,-0.1,-0.09516258196404048,-2.1638811594202902,-3.2055478260869568,-3.1572274931613706,-1.0,-5.5360972800088195,-6.523766111239972,buy
6,-1.0315133,-0.03,095720.csv,20201222,2850.0,2870.0,11114381.0,11114381.0,3629.0,0.0,True,-0.3472222222222222,0.6520316202096383,-3.353208695652174,-3.3049620758601113,-0.1,-0.09516258196404048,-3.0059864734299517,-3.353208695652174,0.0,0,-4.212270028471373,-3.6711257420486985,sell
7,1.2773485,1.0,095720.csv,20201223,2870.0,2925.0,11112804.0,164.0,3872.0,3872.0,True,1.5625,0.0,-3.3669217391304342,-0.014188824370875893,1.9163480252148781,0.9999999999999999,-3.077595652173913,-1.5150956521739132,1.9163480252148781,0.9999999893950904,-4.457832530094116,-3.912494561165441,buy
8,-0.8282191,0.07,095720.csv,20201224,2925.0,2955.0,11310367.0,9362317.0,3206.0,666.0,True,2.604166666666667,1.0256261740929795,-1.648982608695652,1.7777961349808742,-0.1,-0.09516258196404048,-4.079410144927536,-1.4752434782608694,0.1766520927216597,0.1444663128820205,-2.634401292985303,-2.602886967057286,sell
9,0.45279014,-0.73,095720.csv,20201228,2955.0,2825.0,11329746.0,5127201.0,1433.0,2099.0,True,-1.9097222222222223,-0.7641425280267232,-1.4804695652173914,0.17133838362627846,-0.1,-0.09516258196404048,-1.9435299516908215,-3.853252173913044,-2.4084388123087668,-0.9999999999997463,-2.6256711558752794,-2.4704265661942046,buy
10,-0.9947286,0.3,095720.csv,20201229,2825.0,2755.0,11047196.0,11013296.0,2087.0,12.0,True,-4.340277777777778,-1.3288563605126802,-3.937426086956522,-2.4938776209104776,1.321252621066037,0.9999999737889533,0.3955473429951688,-3.944730434782609,-0.007603739446643293,-0.0002890424870314323,-4.229614794563918,-4.234114760818838,sell
11,1.1156772,-0.72,095720.csv,20201230,2755.0,2730.0,11044793.0,2753.0,3996.0,4008.0,True,-5.208333333333334,-0.0027158277354088533,-3.958321739130435,-0.021752126059861706,-0.1,-0.09516258196404048,0.37870724637681175,-4.829626086956522,-0.9072148296486859,-0.9836772222012378,-4.4342474958386155,-4.411926897841565,buy
12,-1.0699278,-0.03,095720.csv,20210104,2730.0,2745.0,10926628.0,10926628.0,4008.0,0.0,True,-4.6875,0.5493123408060949,-4.985843478260869,-1.0698706621301097,-0.1,-0.09516258196404048,-0.29834347826086915,-4.985843478260869,0.0,0,-5.39028423683052,-5.574568145348426,sell
13,0.42992914,0.73,095720.csv,20210105,2745.0,2775.0,10925962.0,6232012.0,1710.0,1710.0,True,-3.6458333333333335,0.0,-4.9916347826086955,-0.0060952015571501105,0.4695238735042278,0.889697278333937,-0.8997144927536227,-4.545547826086956,0.4695238735042278,0.6678814644346645,-5.5535762995711355,-5.7029646703375185,buy
14,-0.7880722,0.21,095720.csv,20210106,2775.0,2735.0,10971126.0,9963801.0,1347.0,363.0,True,-5.034722222222222,-0.6231061989774864,-4.598904347826087,0.41336405892680206,0.4907587990843487,0.910044663126311,0.30955700483091775,-4.725165217391305,-0.13234739989313768,-0.08385366370988823,-5.372032401126162,-5.401944298409796,sell
15,1.125387,-0.57,095720.csv,20210107,2735.0,2720.0,10955192.0,1517.0,3642.0,4005.0,True,-5.555555555555555,-0.049696046385167086,-4.737460869565218,-0.14523577616372285,-0.1,-0.09516258196404048,0.29570338164251186,-5.2598521739130435,-0.5483701244122422,-0.7776603178487707,-5.660215571910305,-5.714643498774864,buy
16,-1.3363488,-1.0,095720.csv,20210108,2720.0,2665.0,10877231.0,10877231.0,4005.0,0.0,True,-7.465277777777778,-2.02177727875708,-5.415382608695652,-0.7116351771835674,2.02177727875708,1.0,2.0498951690821254,-5.415382608695652,0.0,0,-6.4260921190132185,-6.626366784397409,sell
