timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,0.869153,-0.08,067990.csv,20210318,6720.0,6710.0,73990868.0,9687188.0,9569.0,9569.0,True,-0.1488095238095238,0.0,-0.012340540540540542,-0.012340540540540542,-0.1,-0.09516258196404048,0.007158172458172463,-0.14165135135135135,-0.1293267704333459,-0.08022579439663591,-350.4450284713096,0.0,buy
2,-1.5073154,0.3,067990.csv,20210319,6710.0,6610.0,73789753.0,73789753.0,9569.0,0.0,True,-1.636904761904762,-1.2949424115332668,-0.28411756756756756,-0.2718105699206016,1.2949424115332668,0.9999999478300142,1.3527871943371945,-0.28411756756756756,0.0,0,-19.01544842382254,-18.369116257946494,sell
3,0.7950929,-0.68,067990.csv,20210322,6610.0,6550.0,73781424.0,15124284.0,8874.0,8874.0,True,-2.5297619047619047,0.0,-0.295372972972973,-0.01128747510511385,-0.1,-0.09516258196404048,1.5148754182754183,-1.0148864864864864,-0.7216450579755684,-0.9260124134003561,-20.56461547518913,-19.19296895536954,buy
4,-0.70718443,0.11,067990.csv,20210323,6550.0,6520.0,73181494.0,56158044.0,6275.0,2599.0,True,-2.976190476190476,-0.3634453141356882,-1.106089189189189,-0.8131179468696619,0.2569019850257359,0.4831415841321862,1.7647364221364217,-1.2114540540540542,-0.10654332910995232,-0.05517674893246194,-10.028946708437914,-9.592330748744894,sell
5,0.41026866,0.96,067990.csv,20210324,6520.0,6610.0,73100254.0,33126134.0,3532.0,6131.0,True,-1.636904761904762,0.31997089497354464,-1.215872972972973,-0.11101167188524465,0.7548400584216848,0.9966467831426834,1.1666939510939511,-0.47021081081081084,0.7548400584216848,0.9420930327394308,-11.115132962383628,-10.690822460096546,buy
6,-1.1160572,-0.03,067990.csv,20210325,6610.0,6630.0,73585506.0,73585506.0,6131.0,0.0,True,-1.3392857142857142,0.16648553568995314,-0.560127027027027,0.6638171188844296,-0.1,-0.09516258196404048,0.7791586872586872,-0.560127027027027,0.0,0,-6.250716090756905,-8.422112286765158,sell
7,1.2079648,0.88,067990.csv,20210326,6630.0,6670.0,73575061.0,1949.0,11097.0,11097.0,True,-0.744047619047619,0.0,-0.5742418918918919,-0.01419437137525425,0.6032995337917558,0.9737398651447329,0.7696408622908621,0.025593243243243243,0.6032995337917558,0.8379502087157555,-6.809041600968361,-8.987473554128632,buy
8,-1.4288386,-0.03,067990.csv,20210329,6670.0,7000.0,73897404.0,73897404.0,11097.0,0.0,True,4.166666666666666,4.947395963079125,-0.13864324324324326,0.4381144855591761,-0.1,-0.09516258196404048,-4.3053099099099095,-0.13864324324324326,0.0,0,-5.413444120218882,-7.382498779637562,sell
9,1.1858423,1.0,067990.csv,20210330,7000.0,7070.0,73886913.0,1913.0,10555.0,10555.0,True,5.208333333333334,0.0,-0.15282027027027026,-0.014196709805935808,0.999974109082078,0.9999545765555372,-4.3627076576576584,0.8456256756756757,0.999974109082078,0.9932603082813216,-5.968003555772264,-8.08670416231308,buy
10,-0.6541465,-0.08,067990.csv,20210331,7070.0,6990.0,74545615.0,48733045.0,6904.0,3651.0,True,4.017857142857143,-1.1315127190056335,0.7373175675675676,0.8915002309001595,0.7396989282145856,0.9957952693572004,-3.6752422779922784,0.34261486486486487,-0.3918137907910479,-0.5358698327679925,-3.0025952798075752,-4.81622158731363,sell
