episode,timestep,reward,loss,policy_loss,value_loss,dist_entropy
12,2000,-25.9747,0.27595528960227966,-0.02314271777868271,0.6163582801818848,-0.9081129431724548
23,4000,-31.019,0.32386475801467896,0.16204409301280975,0.34180018305778503,-0.9079462289810181
39,6000,-20.2217,0.03201021999120712,-0.18838217854499817,0.4589403569698334,-0.9077794551849365
52,8000,-24.35,-0.14825087785720825,-0.41749048233032227,0.5566314458847046,-0.9076128005981445
63,10000,-32.4165,0.07696608453989029,-0.18337711691856384,0.5388352870941162,-0.907446026802063
78,12000,-23.7322,0.4639085531234741,0.3634052574634552,0.21915218234062195,-0.9072791934013367
96,14000,-16.6438,0.3639588952064514,0.18419939279556274,0.37766122817993164,-0.9071123600006104
109,16000,-22.2846,0.3308337926864624,0.23030684888362885,0.21919278800487518,-0.9069455862045288
120,18000,-33.7727,0.2889617383480072,0.1467038244009018,0.3026513457298279,-0.9067786931991577
137,20000,-21.343,-0.08237572014331818,-0.19994264841079712,0.2532661259174347,-0.9066118597984314
154,22000,-20.8187,-0.07854156196117401,-0.17652954161167145,0.21410483121871948,-0.9064449071884155
169,24000,-21.8274,-0.16299186646938324,-0.23907285928726196,0.17028751969337463,-0.9062777757644653
186,26000,-18.6779,-0.03668031841516495,-0.1380031704902649,0.22076790034770966,-0.9061107635498047
201,28000,-22.6663,0.2260129302740097,0.12350015342235565,0.22314435243606567,-0.9059438705444336
214,30000,-25.0355,0.33811959624290466,0.2867349088191986,0.12088488042354584,-0.9057767987251282
232,32000,-20.5198,0.09123781323432922,0.03108416497707367,0.13841944932937622,-0.905609667301178
240,34000,-34.5992,0.08326464891433716,0.010481812059879303,0.16367453336715698,-0.9054426550865173
250,36000,-30.1638,0.14180009067058563,0.012236610054969788,0.27723246812820435,-0.9052755236625671
262,38000,-23.2625,0.3164115846157074,0.1526380479335785,0.34564924240112305,-0.9051083326339722
287,40000,-15.8677,-0.02281637117266655,-0.13626736402511597,0.24500082433223724,-0.904941201210022
295,42000,-35.1017,0.1967112272977829,0.07418287545442581,0.263152152299881,-0.9047739505767822
315,44000,-17.9899,0.09897668659687042,-0.03386952728033066,0.28378456830978394,-0.9046066999435425
335,46000,-20.3337,-0.14044404029846191,-0.1851593255996704,0.10751934349536896,-0.9044394493103027
350,48000,-21.4734,0.350593626499176,0.24112536013126373,0.23702198266983032,-0.904272198677063
362,50000,-27.0519,0.17896056175231934,0.015850547701120377,0.3443021774291992,-0.9041048288345337
384,52000,-16.4033,0.2122560292482376,0.09668627381324768,0.24921831488609314,-0.9039374589920044
398,54000,-24.6194,-0.40642163157463074,-0.46482378244400024,0.1348797231912613,-0.9037701487541199
423,56000,-14.9125,0.038707807660102844,-0.12269404530525208,0.3408757746219635,-0.9036027193069458
430,58000,-52.5711,0.12736260890960693,0.08797197043895721,0.09685002267360687,-0.903435230255127
445,60000,-23.5929,0.1326257288455963,0.046897970139980316,0.18952089548110962,-0.9032677412033081
461,62000,-19.5983,0.1692582368850708,0.12175484746694565,0.1130688488483429,-0.9031004905700684
483,64000,-18.5192,-0.0845477432012558,-0.12094418704509735,0.09085157513618469,-0.9029328227043152
492,66000,-37.0913,0.22931420803070068,0.17264999449253082,0.1313837319612503,-0.9027653336524963
507,68000,-18.5741,-0.05411884933710098,-0.12811940908432007,0.16605305671691895,-0.9025976657867432
522,70000,-22.9299,0.27295050024986267,0.10696694254875183,0.3500157594680786,-0.9024301171302795
535,72000,-27.6772,0.2765478789806366,0.1772356629371643,0.21666976809501648,-0.9022625684738159
554,74000,-17.6716,0.14090433716773987,0.06962930411100388,0.16059193015098572,-0.9020947217941284
569,76000,-18.9831,0.05252733826637268,-0.06760630756616592,0.25830578804016113,-0.9019270539283752
590,78000,-17.7168,0.10757103562355042,0.07409168779850006,0.084993876516819,-0.9017593860626221
602,80000,-27.4417,0.29209333658218384,0.23939144611358643,0.12343563884496689,-0.9015917181968689
621,82000,-18.2729,-0.10863605886697769,-0.16192024946212769,0.12459688633680344,-0.9014238119125366
633,84000,-24.6605,0.07775785028934479,0.04223497956991196,0.08907090127468109,-0.9012562036514282
647,86000,-24.859,0.1710745096206665,-0.14440768957138062,0.6489861607551575,-0.9010883569717407
659,88000,-28.2352,0.08182322978973389,0.037758756428956985,0.1061473935842514,-0.9009203910827637
673,90000,-28.2585,0.014894828200340271,-0.08814424276351929,0.22409316897392273,-0.9007525444030762
685,92000,-26.2607,0.1498343050479889,0.06466804444789886,0.18834428489208221,-0.9005845785140991
698,94000,-22.3203,0.025225263088941574,-0.018771136179566383,0.1060011088848114,-0.9004167318344116
707,96000,-41.0272,0.10609190911054611,0.07567887753248215,0.0788310170173645,-0.900248646736145
721,98000,-21.3058,0.23611943423748016,0.1818361133337021,0.12656818330287933,-0.9000807404518127
740,100000,-18.6718,0.04512491077184677,-0.010363306850194931,0.12897463142871857,-0.8999126553535461
758,102000,-20.1014,0.3867586851119995,0.3019735813140869,0.18756505846977234,-0.8997445702552795
773,104000,-22.5897,-0.1022304892539978,-0.2505173683166504,0.3145653009414673,-0.8995764851570129
786,106000,-23.8074,-0.05527234077453613,-0.10140063613653183,0.11024481058120728,-0.8994084596633911
797,108000,-28.0563,0.10129532217979431,0.05345528572797775,0.1136648952960968,-0.8992403745651245
812,110000,-27.376,0.13510529696941376,-0.1397426277399063,0.5676773190498352,-0.8990720510482788
833,112000,-14.864,0.05425266921520233,-0.01037692278623581,0.14723733067512512,-0.8989038467407227
846,114000,-22.3541,0.2930004298686981,0.21195761859416962,0.18006035685539246,-0.8987357020378113
