,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol.1,acml_tr_pbmn,bstp_nmix_prpr.1,bstp_nmix_hgpr.1,bstp_nmix_lwpr.1,bstp_nmix_prdy_ctrt.1,acml_vol.2,acml_tr_pbmn.1,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr.1,ovrs_nmix_hgpr.1,ovrs_nmix_lwpr.1
0,47850,48500,47700,52514,-250,49090.0,49547.5,48183.333333333336,37.85714285714285,51878.910517262026,49547.5,47216.08948273797,2058.78,2068.2,2056.48,0.33,355678,3938556,666.9,670.68,660.62,1.38,774833,3861176,8141.73,8146.98,8061.32,2979.63,2981.9,2963.44
1,49200,49350,47950,52365,1350,48810.0,49582.5,48184.16666666666,44.936708860759495,51870.57233277272,49582.5,47294.42766722728,2080.58,2088.24,2070.21,1.06,376675,5057466,677.09,677.11,668.42,1.53,791145,4152967,8202.53,8228.6,8160.56,2993.07,3002.98,2984.62
2,48650,49200,48300,54011,-550,48480.0,49632.5,48185.0,39.130434782608695,51789.41330377464,49632.5,47475.58669622536,2086.66,2090.43,2077.35,0.29,403935,3775268,681.17,682.65,673.76,0.6,735656,4135928,8196.04,8226.18,8171.63,2999.91,3002.33,2988.8
3,48050,48950,47550,54422,-600,48370.0,49667.5,48175.0,37.72455089820359,51693.89458151664,49667.5,47641.10541848336,2082.48,2088.34,2073.1,-0.2,463520,3740179,674.79,682.36,671.71,-0.94,715663,4212000,8244.15,8245.66,8201.52,3013.77,3013.92,3001.87
4,48000,48800,47550,60819,-50,48350.0,49637.5,48169.16666666666,37.49999999999999,51742.46437024478,49637.5,47532.53562975522,2091.87,2096.67,2078.74,0.45,682803,5284192,674.42,679.69,672.77,-0.05,824277,4586564,8258.19,8264.78,8236.27,3014.3,3017.8,3008.77
5,47200,48150,47050,41838,-800,48220.0,49510.0,48150.833333333336,31.249999999999996,51866.18335449514,49510.0,47153.816645504856,2072.92,2080.01,2063.49,-0.91,761626,4643511,666.28,673.34,661.93,-1.21,901091,4235393,8222.8,8259.75,8204.23,3004.04,3015.02,3001.15
6,48150,48450,47000,65465,950,48010.0,49440.0,48140.833333333336,37.94871794871795,51869.32089275995,49440.0,47010.67910724005,2066.55,2073.2,2061.33,-0.31,446644,3939883,665.15,669.47,661.82,-0.17,837117,4258998,8185.21,8230.67,8184.66,2984.42,3005.26,2984.25
7,48500,48650,47800,43695,350,47980.0,49365.0,48135.0,33.51648351648352,51813.0808810168,49365.0,46916.9191189832,2094.36,2096.73,2076.51,1.35,394904,4198431,674.06,674.06,668.2,1.34,756215,3949977,8207.24,8215.58,8135.13,2995.11,2998.28,2973.09
8,48300,49000,47650,74793,-200,48030.0,49260.0,48122.5,35.46511627906976,51701.6387939251,49260.0,46818.3612060749,2093.34,2099.34,2087.51,-0.05,332630,3206206,674.78,675.48,671.44,0.11,644965,3357187,8146.49,8245.78,8144.63,2976.61,3006.02,2975.86
9,47550,48100,47250,73960,-750,47940.0,49132.5,48093.333333333336,34.857142857142854,51650.4902700368,49132.5,46614.5097299632,2101.45,2106.39,2095.38,0.39,648124,4601029,668.65,678.27,666.79,-0.91,894111,4590940,8204.14,8218.42,8171.54,2985.03,2990.71,2976.65
