,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol.1,acml_tr_pbmn,bstp_nmix_prpr.1,bstp_nmix_hgpr.1,bstp_nmix_lwpr.1,bstp_nmix_prdy_ctrt.1,acml_vol.2,acml_tr_pbmn.1,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr.1,ovrs_nmix_hgpr.1,ovrs_nmix_lwpr.1
0,155000,162600,150700,404496,-12800,163520.0,159450.0,126795.0,42.5,172079.09339580635,159450.0,146820.90660419365,2519.14,2526.37,2502.05,-0.73,577384,8302851,899.38,902.81,890.08,-0.26,1163467,10987194,13463.97,13834.69,13462.84,4376.31,4458.3,4375.55
1,154500,157000,152000,173281,-500,160820.0,159120.0,127826.66666666669,50.52447552447552,171903.3641894456,159120.0,146336.6358105544,2543.41,2543.41,2525.64,0.96,483588,8221906,909.38,909.48,901.84,1.11,1072274,9798808,13590.65,13633.42,13376.35,4405.71,4418.46,4356.29
2,158200,158700,154500,184413,3700,159560.0,159030.0,128928.33333333331,54.60636515912897,171812.66013003554,159030.0,146247.33986996446,2552.16,2556.98,2545.27,0.34,441366,8275017,916.24,918.39,907.82,0.75,1312285,12119877,13705.13,13735.98,13626.64,4433.31,4439.56,4414.98
3,168700,172000,162500,354085,10500,160840.0,159530.0,130216.66666666669,61.39601139601139,172986.46313115003,159530.0,146073.53686884997,2561.22,2578.62,2561.22,0.35,364003,7765445,923.81,926.44,921.05,0.83,1275515,12229250,13943.76,13959.81,13677.06,4497.63,4500.14,4431.68
4,169400,173000,167600,162707,700,161160.0,160305.0,131506.66666666666,64.03508771929826,174154.83393402246,160305.0,146455.16606597754,2556.27,2568.06,2547.72,-0.19,473169,11334961,928.4,930.42,923.4,0.5,1277535,17037702,14019.31,14050.82,13924.2,4514.87,4521.65,4493.59
5,181000,182400,168700,444194,11600,166360.0,160760.0,132961.66666666666,67.2,176563.72108080878,160760.0,144956.27891919122,2563.71,2568.42,2551.04,0.29,493367,10029746,919.74,928.0,919.74,-0.93,1071432,14041355,14034.97,14114.68,14010.48,4507.66,4532.26,4507.39
6,169900,182900,169400,339708,-11100,169440.0,160995.0,134130.0,62.60869565217391,177190.7370934453,160995.0,144799.2629065547,2584.55,2584.55,2560.32,0.81,342073,8699609,919.16,921.63,913.04,-0.06,1113978,13183977,14031.82,14149.62,13982.42,4515.77,4541.25,4501.35
7,168200,171500,164500,199774,-1700,171440.0,161710.0,135308.33333333334,57.20053835800808,177852.23032917074,161710.0,145567.76967082926,2582.18,2586.65,2575.19,-0.09,384579,7590069,921.48,922.65,913.02,0.25,1084504,12885819,14031.82,14149.62,13982.42,4515.77,4541.25,4501.35
8,167600,171800,166600,170933,-600,171220.0,162455.0,136418.33333333334,53.24675324675325,178236.44163249986,162455.0,146673.55836750014,2563.34,2585.98,2560.09,-0.73,422126,7626693,917.95,927.28,916.08,-0.38,1091541,13524716,14020.95,14060.85,13945.65,4496.83,4514.29,4496.01
9,163900,165700,160800,204270,-3700,170120.0,163015.0,137498.33333333334,48.721590909090914,178153.860591207,163015.0,147876.139408793,2548.26,2562.42,2539.24,-0.59,377271,8325827,906.36,921.79,902.95,-1.26,1282929,14635136,13872.47,14001.95,13802.42,4465.48,4490.35,4442.38
10,157100,163100,154100,296442,-6800,165340.0,163360.0,138405.0,42.72363150867824,177602.94913281658,163360.0,149117.05086718342,2547.68,2550.96,2530.05,-0.02,396289,7718993,914.18,914.18,902.77,0.86,1252895,12406453,13748.83,13774.63,13642.47,4451.14,4457.81,4430.46
11,155400,156700,152800,158595,-1700,162440.0,163370.0,139300.0,43.775649794801645,177590.28129117002,163370.0,149149.71870882998,2556.88,2556.89,2540.44,0.36,411070,8340733,912.55,918.43,907.9,-0.18,975186,12312930,13761.53,13843.37,13733.18,4457.49,4473.53,4448.38
12,157500,159700,153500,140612,2100,160300.0,163765.0,140190.0,46.71232876712329,176824.90428755127,163765.0,150705.09571244873,2536.58,2568.55,2535.15,-0.79,359410,8927207,898.04,918.96,895.96,-1.59,1178572,13214420,13917.89,13937.47,13805.13,4487.46,4490.77,4467.89
13,152900,166500,152000,394619,-4600,157360.0,163535.0,140996.66666666666,39.66712898751734,177177.1809106902,163535.0,149892.8190893098,2534.7,2549.38,2528.18,-0.07,417576,9270999,882.72,899.8,882.27,-1.71,1077222,10593923,13773.62,13913.6,13763.69,4461.9,4487.11,4456.83
14,152500,158400,151600,269087,-400,155080.0,163005.0,141813.33333333334,47.90619765494137,177472.26995669882,163005.0,148537.73004330118,2572.89,2572.89,2541.11,1.51,412509,9577503,899.47,899.47,886.46,1.9,1020176,10239899,13813.59,13868.57,13733.82,4467.44,4479.39,4453.52
15,152400,153900,148800,154279,-100,154140.0,162340.0,142635.0,48.229342327150086,177458.6507334484,162340.0,147221.3492665516,2601.28,2611.0,2572.37,1.1,441730,11995227,899.03,902.4,897.11,-0.05,941816,9637189,13926.05,13957.57,13810.66,4505.1,4511.99,4478.69
16,145300,147800,142700,296606,-7100,152120.0,161205.0,143311.66666666666,39.71291866028708,177790.71373200443,161205.0,144619.28626799557,2574.72,2596.55,2573.26,-1.02,416290,8772091,891.29,896.37,889.99,-0.86,906665,8284956,13708.34,13895.75,13684.24,4450.32,4497.98,4447.21
17,143000,148800,142700,111583,-2300,149220.0,160130.0,143935.0,26.42201834862385,178421.4296871513,160130.0,141838.5703128487,2559.21,2583.25,2555.46,-0.6,462342,7827325,883.89,894.26,882.42,-0.83,1045779,8723087,13710.24,13751.28,13663.46,4453.53,4466.36,4442.11
