,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol.1,acml_tr_pbmn,bstp_nmix_prpr.1,bstp_nmix_hgpr.1,bstp_nmix_lwpr.1,bstp_nmix_prdy_ctrt.1,acml_vol.2,acml_tr_pbmn.1,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr.1,ovrs_nmix_hgpr.1,ovrs_nmix_lwpr.1
0,55400,56000,54700,63150,600,55060.0,56790.0,58473.333333333336,38.46153846153847,59689.58617737083,56790.0,53890.41382262917,3156.42,3198.01,3149.46,-0.19,797262,14789457,965.63,979.37,965.55,-0.57,1533585,9504922,13535.74,13563.52,13355.71,4159.12,4172.8,4121.97
1,55100,55400,54600,43279,-300,55040.0,56555.0,58406.66666666666,38.46153846153847,59190.50754125273,56555.0,53919.49245874727,3144.3,3163.27,3137.81,-0.38,587968,11604047,948.37,965.23,948.37,-1.79,1540417,9572310,13470.99,13616.58,13463.27,4155.86,4188.72,4151.72
2,55500,55900,54700,77983,400,55180.0,56385.0,58333.333333333336,43.58974358974359,58824.89753883232,56385.0,53945.10246116768,3171.32,3173.1,3148.3,0.86,612977,11728027,962.07,963.4,949.78,1.44,1681868,9513732,13661.17,13708.85,13551.01,4197.05,4209.52,4170.16
3,56200,56700,55600,94025,700,55400.0,56255.0,58311.66666666666,52.56410256410257,58428.91352173908,56255.0,54081.08647826092,3168.43,3183.97,3160.3,-0.09,1269999,13173015,966.06,967.49,962.69,0.41,1939820,9619792,13657.17,13751.14,13631.8,4188.13,4213.42,4182.52
4,56700,56700,55600,64474,500,55780.0,56175.0,58300.0,48.61111111111111,58150.72771403349,56175.0,54199.27228596651,3165.51,3173.86,3142.37,-0.09,1082006,20682335,974.08,974.29,960.64,0.83,1846140,9837962,13738.0,13750.16,13679.59,4195.99,4202.61,4184.11
5,56900,56900,56300,48512,200,56080.0,56150.0,58296.66666666666,48.61111111111111,58075.0974001333,56150.0,54224.9025998667,3188.73,3198.66,3171.85,0.73,966368,13533299,977.46,979.59,973.76,0.35,1577408,8791949,13736.28,13776.52,13701.63,4200.88,4213.38,4197.78
6,56800,57900,56100,86617,-100,56420.0,56130.0,58306.66666666666,42.42424242424242,58019.02091041894,56130.0,54240.97908958106,3203.92,3204.29,3179.87,0.48,1123525,14017446,981.78,983.41,979.0,0.44,1639881,9035639,13748.74,13820.87,13747.61,4204.11,4218.36,4203.57
7,57400,57700,56400,66523,600,56800.0,56155.0,58345.0,47.22222222222222,58096.62303241386,56155.0,54213.37696758614,3221.87,3233.17,3199.18,0.56,1472571,15270803,984.59,984.61,979.13,0.29,1779135,9307165,13748.74,13820.87,13747.61,4204.11,4218.36,4203.57
8,57900,58300,57100,95864,500,57140.0,56225.0,58401.66666666666,63.934426229508205,58307.18635093019,56225.0,54142.81364906981,3224.23,3241.07,3216.1,0.07,1495671,17740841,981.1,986.0,977.74,-0.35,1608838,9639646,13736.48,13836.17,13678.77,4202.04,4234.12,4197.59
9,57600,58300,57600,77046,-300,57320.0,56315.0,58393.333333333336,73.58490566037736,58470.24940552132,56315.0,54159.75059447868,3247.43,3258.5,3224.96,0.72,1584799,16890461,990.19,992.01,981.52,0.93,1704638,8903653,13756.33,13775.89,13689.74,4208.12,4217.37,4198.27
10,57000,57600,57000,68106,-600,57340.0,56320.0,58353.333333333336,65.51724137931035,58481.11082547842,56320.0,54158.88917452158,3240.08,3246.19,3218.67,-0.23,1392320,16051031,987.58,990.16,983.02,-0.26,2145264,9881302,13614.51,13684.13,13548.93,4192.85,4204.39,4167.93
11,59700,59800,57200,239841,2700,57920.0,56450.0,58361.66666666666,80.24691358024691,59051.153590236456,56450.0,53848.84640976354,3252.12,3264.41,3233.4,0.37,1733348,19023221,985.86,993.06,982.14,-0.17,1954563,9593189,13814.49,13826.82,13692.01,4229.89,4233.45,4206.05
12,59000,60200,58800,208520,-700,58240.0,56510.0,58350.0,72.94117647058823,59282.652159936406,56510.0,53737.3478400636,3247.83,3264.67,3242.56,-0.13,1951319,19352173,986.12,988.35,982.75,0.03,1870820,10590624,13881.72,13889.11,13784.89,4226.52,4232.34,4215.66
13,57900,59400,57700,100537,-1100,58240.0,56515.0,58291.66666666666,66.66666666666666,59297.28323504276,56515.0,53732.71676495725,3216.18,3246.49,3216.18,-0.97,1964923,17164709,978.79,989.15,978.79,-0.74,1687026,10707179,13924.91,13981.72,13831.98,4227.26,4236.74,4208.41
14,57200,58100,57100,96674,-700,58160.0,56565.0,58223.333333333336,59.57446808510638,59358.76090601898,56565.0,53771.23909398102,3224.64,3235.39,3210.31,0.26,1896766,19170539,987.77,993.08,979.47,0.92,1822082,11158583,13911.75,14003.5,13906.45,4219.55,4237.09,4218.74
15,57900,58400,57400,80106,700,58340.0,56705.0,58181.66666666666,64.28571428571429,59471.56827134267,56705.0,53938.43172865733,3249.32,3251.58,3226.98,0.77,1645509,17956256,991.13,993.9,989.15,0.34,1548048,9302576,14020.33,14031.19,13904.4,4239.18,4249.74,4220.34
16,57500,57900,57100,66887,-400,57900.0,56820.0,58143.333333333336,60.20408163265307,59517.109563959166,56820.0,54122.890436040834,3252.13,3254.49,3238.51,0.09,1664527,15262485,997.41,998.85,991.93,0.63,1410030,8648789,14069.42,14069.42,14006.59,4247.44,4248.38,4232.25
17,57900,58100,57200,71766,400,57680.0,56975.0,58116.66666666666,58.94736842105262,59543.17055508391,56975.0,54406.82944491609,3258.63,3262.8,3247.9,0.2,1734497,14838275,997.37,999.53,993.64,-0.0,1643387,9272013,14174.14,14175.45,14056.67,4255.15,4255.59,4234.07
18,57900,58100,57500,73245,0,57680.0,57115.0,58113.333333333336,56.66666666666668,59561.44640243763,57115.0,54668.55359756237,3278.68,3281.96,3256.68,0.62,2345811,16297981,998.49,1000.43,995.35,0.11,1435444,8458793,14072.86,14171.02,14052.16,4246.59,4257.16,4238.35
19,56400,57400,56200,158310,-1500,57520.0,57195.0,58096.66666666666,47.57281553398058,59428.808407182674,57195.0,54961.191592817326,3264.96,3276.2,3251.32,-0.42,1848671,14672132,1003.72,1004.7,994.76,0.52,1879605,10138783,14039.68,14129.69,13903.73,4223.7,4251.89,4202.45
20,56800,56800,56400,65464,400,57300.0,57265.0,58080.0,50.0,59352.36676221502,57265.0,55177.63323778498,3267.93,3275.76,3262.58,0.09,1627658,17492731,1015.88,1016.33,1004.57,1.21,1849424,11630309,14161.35,14196.21,13998.93,4221.86,4232.29,4196.05
21,55600,57000,55600,113306,-1200,56920.0,57290.0,58031.66666666666,41.96428571428571,59282.88735256161,57290.0,55297.11264743839,3240.79,3264.18,3225.56,-0.83,1508634,17291259,1010.99,1014.59,1006.83,-0.48,1506151,11060016,14030.38,14129.22,14009.04,4166.45,4204.78,4164.4
22,56200,56200,55800,45658,600,56580.0,57325.0,57975.0,42.477876106194685,59212.72349670178,57325.0,55437.27650329822,3263.88,3267.63,3245.79,0.71,1666697,15512033,1011.56,1016.7,1008.11,0.06,1611178,11361988,14141.48,14150.78,13960.04,4224.79,4226.24,4173.4
23,55400,56400,55400,100331,-800,56080.0,57285.0,57888.333333333336,40.67796610169492,59296.24339650874,57285.0,55273.75660349126,3276.19,3281.88,3263.07,0.38,1069175,17865268,1016.46,1020.85,1012.78,0.48,1861226,15440030,14253.27,14269.77,14121.0,4246.44,4255.84,4217.27
24,55500,55800,55100,95002,100,55900.0,57225.0,57798.333333333336,43.36283185840708,59369.64449268404,57225.0,55080.35550731596,3286.1,3292.27,3277.85,0.3,1301271,21426510,1012.62,1019.35,1010.18,-0.38,1862769,12802686,14271.73,14317.66,14246.3,4241.84,4256.6,4241.43
25,55800,56200,55400,77342,300,55700.0,57170.0,57713.333333333336,28.08988764044944,59399.88788955857,57170.0,54940.11211044143,3302.84,3316.08,3289.18,0.51,1198188,18618608,1012.13,1018.98,1011.31,-0.05,1340335,9845816,14369.71,14414.46,14333.7,4266.49,4271.28,4256.97
26,55800,56000,55500,50716,0,55740.0,57120.0,57623.333333333336,30.48780487804878,59424.43051533345,57120.0,54815.56948466655,3301.89,3311.69,3291.3,-0.03,1428764,13796055,1017.91,1018.76,1013.47,0.57,1587502,9860923,14360.39,14409.08,14337.65,4280.7,4286.12,4271.16
27,55300,55900,55200,99531,-500,55560.0,57015.0,57538.333333333336,32.89473684210527,59446.68665744582,57015.0,54583.31334255418,3286.68,3305.42,3276.63,-0.46,1213047,15509502,1022.52,1026.83,1019.28,0.45,2061942,11864825,14500.51,14505.19,14417.2,4290.61,4292.14,4274.67
28,55900,55900,55400,63437,600,55660.0,56915.0,57453.333333333336,41.33333333333333,59357.35542049064,56915.0,54472.64457950936,3296.68,3305.73,3288.63,0.3,1610376,15646662,1029.96,1030.94,1023.74,0.73,2086090,10424600,14528.34,14535.97,14471.38,4291.8,4300.52,4287.04
29,56300,56400,55600,79367,400,55820.0,56850.0,57396.66666666666,38.88888888888889,59285.15913237719,56850.0,54414.840867622814,3282.06,3300.12,3278.1,-0.44,1159231,16075974,1035.64,1036.47,1028.48,0.55,1686830,11193236,14503.95,14526.81,14478.06,4297.5,4302.43,4287.96
