timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio
1,0.5165067,-92651.19735599622,57795764.0,416.0,-92651.19735599622,0.0
2,1.0345283,-1.0,58045364.0,0.0,-98209.64872521246,0.0
3,1.1128743,-1.0,58045364.0,0.0,-97199.92256846081,0.0
4,0.6443969,-356378.1384145739,57793209.0,251.0,-115997.05788799074,-240381.0805265832
5,0.84177685,-915.0339405896252,56791523.0,119.0,-476.6783429805083,-438.35559760911684
6,1.0324095,-1.0,58127723.0,0.0,-485.209448270145,-446.2008412887902
7,0.9982119,-565.175643830568,60406911.0,20.0,-127.25600924283147,-437.9196345877365
8,1.3358171,-1.0,58875511.0,0.0,-130.41411897034098,-448.78747702667306
9,1.3045112,-1.0,59439711.0,0.0,-131.95717817483597,-454.09752821404163
10,0.828083,-593.4412482948558,59439711.0,0.0,-138.779661866714,-454.66158642814173
11,0.5664923,-453.10348481576824,57666511.0,0.0,-130.69695815682917,-322.4065266589391
12,0.7374737,-453.01694849963405,57988911.0,0.0,-136.73394333609204,-316.283005163542
13,1.1820481,-1.0,53958911.0,0.0,-138.39751865922676,-320.13106651304656
14,1.1894159,-1.0,54120111.0,0.0,-138.3675016306042,-320.06163330731
15,1.3027256,-1.0,54926111.0,0.0,-134.18433905405445,-310.3854461183928
16,1.2280638,-1.0,54926111.0,0.0,-133.61362054932283,-309.0653016145861
17,1.0555958,-1.0,59439711.0,0.0,-128.9303058160313,-298.23219886166385
18,1.1405419,-1.0,63550311.0,0.0,-126.03418916849117,-291.5331126345033
19,0.9564352,-351.9645381465916,64759311.0,0.0,-72.12939802067625,-279.83514012591536
20,0.9224353,-364.14324856106356,65242911.0,0.0,-77.73966626614985,-286.4035822949137
21,1.3767672,-1.0,65323511.0,0.0,-79.16357134515586,-291.64944370727244
22,1.2532651,-1.0,62341311.0,0.0,-77.84001578234127,-286.77328366230046
23,1.0616915,-1.0,60971111.0,0.0,-75.65910833984188,-278.7385218195236
24,0.8519019,-233.74324480112224,61454711.0,0.0,-71.71749858594362,-162.02574621517863
25,1.4535971,-1.0,60245711.0,0.0,-71.06889391950673,-160.56040432303016
26,0.9229732,-231.59457514774806,62663711.0,0.0,-73.04119234314898,-158.55338280459907
27,1.4096622,-1.0,62583111.0,0.0,-74.28052433596257,-161.2436494004043
28,0.5705805,-242.42188273570494,62260711.0,0.0,-76.04946253355743,-166.3724202021475
29,0.80813944,-244.24173914737233,64920511.0,0.0,-77.1859647577065,-167.05577438966583
30,0.938551,-241.97692153819855,65242911.0,0.0,-78.26761565638489,-163.70930588181366
