timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,sortino_data_exp,reward_log
1,0.08894014,-0.05852889359189217,20221028, 083650.csv,5150.0,5070.0,1368.0,72067482.0,79112682.0,1368.0,0.0,-0.0012616940581542352,-0.0012616940581542352,-0.12106347435331738,-0.07066111698986521,-0.12232364096080911,-0.01,1.2395440633193466,0.01524726014396982,-0.12106347435331738,-0.01,-1.0944,-0.01,-6607.404809619238,0.0,0,buy
2,0.6841588,0.9546116864255814,20221031, 083650.csv,5070.0,6030.0,10940.0,22764682.0,78230482.0,9572.0,1.539235602492178,0.00718331226295828,0.008445112872599834,10.630813067336621,1.0,12.178106194690265,0.7730584321279063,-5.137068902585998,-0.01,12.1700486698288,0.7726127678318963,105.02400000000002,1.0,-982.7059633191471,0.0,0,buy
3,1.6207561,-1,20221101, 083650.csv,6030.0,5500.0,10940.0,22764682.0,88732882.0,0,4.840360266409181,-1.0992642225031606,-1.1063680608935271,1.1728968166802467,0.99897024535401,4.847891276864728,0.209445355581813,-2.1559997737189294,-0.01,6.013257083089428,0.30343391413668697,-57.982000000000006,-0.01,-10.901928843987275,-9.472869543756607,0,wrong
4,1.6459079,-1,20221102, 083650.csv,5500.0,5720.0,10940.0,22764682.0,82934682.0,0,9.089807218623553,12.178106194690265,13.424946045967095,-12.911840182683033,-1.0,7.890621997471555,0.4634626787739493,-3.39342469513545,-0.01,-3.822032964059479,-0.01,24.068,0.9969502212744664,1.4618061294459688,14.541778847406189,0,wrong
5,0.5655529,0.9090166225511426,20221103, 083650.csv,5720.0,5740.0,13280.0,9892855.0,85854455.0,2340.0,-3.575450192184674,4.845581542351454,-6.536502443367048,7.41855917474653,1.0,8.874911504424778,0.5450831127557128,-2.7982402465479836,-0.01,3.8431089825618567,0.1373056882962479,2.656,0.06811266798494442,0.10745381593199131,0.22708452989301842,0,buy
6,0.85845613,-0.7217634152869413,20221104, 083650.csv,5740.0,5640.0,14764.0,1403170.0,86148530.0,1484.0,2.241813573161083,8.537610619469028,3.521396918024829,-3.6175564833013514,-1.0,7.044412136536031,0.3911829235652935,-2.683214322607939,-0.01,-1.3757429101402685,-0.01,-14.764000000000001,-0.01,0.7696349167551292,1.5250076132804802,0,buy
7,0.59738314,-0.2246022164203902,20221107, 083650.csv,5640.0,5790.0,14909.0,570752.0,84657512.0,145.0,1.2037750463727348,8.910766118836916,0.3438029428122989,-0.33847068604648123,-0.4360626000066714,9.853175726927939,0.6212393179247346,-2.7927386699592205,-0.01,0.8653043603262536,0.0074595547405929,22.363500000000002,0.9932705463675051,0.8772432935936065,1.6290491446420314,0,buy
8,2.1292171,-1,20221108, 083650.csv,5790.0,6880.0,14909.0,570752.0,86893864.0,0,19.72904063610409,7.025931731984829,-1.7306226501018893,2.108548921217178,0.9999999997783436,30.39781542351454,0.9999029487943278,-3.454324654306472,-0.01,21.83758955732127,0.9915094642478077,162.5081,1.0,0.5486576357619779,1.1165654402102418,0,wrong
9,0.2930041,-0.6000000012470668,20221109, 083650.csv,6880.0,7570.0,14937.0,408609.0,103175169.0,28.0,33.98915148841133,9.853149178255373,2.6416190922312954,-3.39105881116393,-1.0,43.466117572692795,0.9999999937646665,-3.810147018746889,-0.01,30.5980926772474,0.9999141091071403,103.06530000000001,1.0,1.1696368446771972,2.2716656229465677,0,buy
10,0.30991977,-0.6000000000000001,20221110, 083650.csv,7570.0,9250.0,14955.0,284752.0,113494104.0,18.0,59.47719355621533,30.436348925410872,18.737013823568923,-25.124590906305983,-1.0,75.24462958280658,1.0,-4.71645991135685,-0.01,34.35260264990935,0.9999925030410144,251.24400000000003,1.0,3.8359652257812016,10.552141350675281,1.0,buy
11,0.65299416,-0.6000000000000001,20221111, 083650.csv,9250.0,9100.0,14979.0,103047.0,138658791.0,24.0,32.178387292320146,43.48176864728192,10.001368352721206,-11.985379690575567,-1.0,72.45505309734513,1.0,-4.587748459075115,-0.01,20.19300760174458,0.9830514934815087,-22.468500000000002,-0.01,5.748834164929368,15.84351825524665,0,buy
12,1.0784699,-1,20221114, 083650.csv,9100.0,8490.0,14979.0,103047.0,136411943.0,0,12.142199946835994,75.29556384323641,22.172709115512536,-20.352306149189943,-1.0,60.90361188369153,0.9999999999999999,-4.271485392573062,-0.01,-8.210106202353948,-0.01,-91.37190000000001,-0.01,8.583598962546056,28.562188252063333,0,wrong
13,0.8022324,0.9999955834729606,20221115, 083650.csv,8490.0,8750.0,14987.0,30237.0,127269869.0,8.0,-5.401384179096152,72.45503539823008,-1.6204223214379536,1.5560856889706587,0.9999944793412007,65.82362452591656,1.0,-4.409838509102897,-0.01,-3.8452984901254936,-0.01,38.9662,0.9999997454191639,8.38851679519912,30.438502642307057,0,buy
14,1.0623966,-1,20221116, 083650.csv,8750.0,8090.0,14987.0,30237.0,131166485.0,0,-11.09643831526088,60.89743236409608,-6.701806652061737,6.386130960422634,1.0,53.31866877370417,0.9999999999995497,-4.074327335245243,-0.01,-4.710307354838245,-0.01,-98.91420000000001,-0.01,6.817572465760139,21.471091728180575,0,wrong
