timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
1,0.9240684,16.48,003240.csv,20200803,679000.0,688000.0,12998361.0,1455361.0,17.0,17.0,True,1.3254786450662739,0.0,-0.01260769230769231,-0.01260769230769231,0.0,1.1770714784733245,0.9999990386936097,-0.16116326045088925,1.1643153846153846,1.1770714784733245,0.999019537665036,15.3,-209.1751067724222,0.0,buy
2,0.70870507,1.25,003240.csv,20200804,688000.0,688000.0,13151264.0,767264.0,1.0,18.0,True,1.3254786450662739,0.0,1.1635692307692307,1.1763252305425278,1.2509197939661516,-1,-0.9999546000702375,-0.1619094142970432,1.1635692307692307,0.0,0,0.0,-0.25547182804188695,0.0,buy
3,-0.22444561,3.01,003240.csv,20200805,688000.0,690000.0,13146746.0,3514746.0,4.0,14.0,True,1.6200294550810017,0.27373794640575994,1.1288153846153846,-0.03435411227392287,0,-0.060757487210762184,-0.036241681276041215,-0.27582945508100165,1.3442,0.21298045919499775,0.2029225117360518,2.8000000000000003,-0.31800951054583537,-15.09992133321929,sell
4,1.133359,-2.88,003240.csv,20200806,690000.0,688000.0,13174257.0,64257.0,5.0,19.0,True,1.3254786450662739,-0.21252781647555105,1.3404384615384615,0.20926090760405655,1.2052802754926275,-0.288441313995924,-0.5648149413591592,-0.2773478758355046,1.0481307692307693,-0.288441313995924,-0.34031442441050685,-3.8000000000000003,0.07442827985502919,3.1672764153308908,buy
5,0.77932376,18.4,003240.csv,20200807,688000.0,697000.0,13136257.0,64257.0,0,19.0,False,2.6509572901325478,1.3017406708775567,1.0481307692307693,-0.288441313995924,0,0,0,-0.28744190551716287,2.363515384615385,1.3017406708775567,0.9997908886914729,17.1,-0.5756978729965672,-2.1631699759208107,wrong
6,-0.93343174,0.86,003240.csv,20200810,697000.0,701000.0,13287802.0,11893802.0,17.0,2.0,True,3.2400589101620034,0.571116947692526,2.2138615384615385,1.153639122620698,0,-0.5109113546230326,-0.9264878163700195,-0.9646589101620036,2.2754,0.06020559306949336,0.017960323017019664,0.8,1.5355985758631516,6.795006315183394,sell
7,0.17367756,8.18,003240.csv,20200811,701000.0,714000.0,13295603.0,10491603.0,2.0,4.0,True,5.154639175257731,0.19555044517058842,2.2738692307692308,0.05870797894188971,2.5873675583913833,0.39110674408674806,0.783387416969293,-2.4807699444885007,2.6738692307692307,0.39110674408674806,0.5345834306444313,5.2,1.7686659199202008,7.417978135982898,buy
8,0.9881818,-8.06,003240.csv,20200812,714000.0,708000.0,13346285.0,1208285.0,13.0,17.0,True,4.270986745213549,-0.17980756544826812,2.6637307692307695,0.38119369238085704,2.9091598710411612,-0.7642576192550962,-0.9970937656857621,-2.3918713605981647,1.8791153846153845,-0.7642576192550962,-0.9460904988500374,-10.200000000000001,2.6017058150771697,10.307815468992493,buy
9,-0.16430792,8.07,003240.csv,20200813,708000.0,713000.0,13241960.0,2621960.0,2.0,15.0,True,5.007363770250368,0.6417862496918482,1.8612307692307692,-0.7816781973410578,0,-0.07540483787667873,-0.05527263499366153,-2.569209924096522,2.4381538461538463,0.5663814118151694,0.7988972923804605,7.5,0.8749005801410724,1.612119800712902,sell
10,0.20636417,-27.88,003240.csv,20200814,713000.0,694000.0,13316960.0,2621960.0,0.0,15.0,True,2.2091310751104567,-2.140128077278898,2.4381538461538463,0.5663814118151694,2.7650293950313,0,0,-1.9632849212643029,0.24584615384615383,-2.140128077278898,-0.9999999998866727,-28.5,1.877996748818824,3.3653311340613876,wait
