timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,-0.43735886,-1,120500.0,21900000.0,0,0.0,0.0,0.0
2,-0.34346187,-1,116500.0,21900000.0,0,0.0,0.0,0.0
3,-0.68159884,-1,115500.0,21900000.0,0,0.0,0.0,0.0
4,-0.6976621,-1,117000.0,21900000.0,0,0.0,0.0,0.0
5,0.7024939,-0.2183817153067302,117500.0,21897831.0,130.0,-455.40075891633063,0.0,0.0
6,0.6286582,0.07463338397560582,117500.0,21897248.0,35.0,-496.15803347508097,-470.7611506258976,1.5070386927160893
7,0.35616052,-0.999603018493467,119500.0,22227130.0,7.0,-0.4776271108652765,-65.80063037063512,-0.7738290998432996
8,-0.64823395,1.1493403432403666,118500.0,22033533.0,111.0,-1.906964800541418,-2.6941959185977375,-0.6921268595463106
9,-0.44111255,0.5621342989941644,116000.0,21876081.0,26.0,-3.0063263530758997,-4.502813413193546,-0.5599723277674826
10,0.034751356,-0.01027927135036559,112500.0,21753502.0,5.0,-3.949933085868554,-6.443348775891176,0.6435745380215103
11,-0.3632443,-0.3678940213661923,116000.0,21890836.0,14.0,-2.825587489133098,-4.659066581853939,0.2375423213622358
12,-0.3759759,0.05737781058897577,118000.0,21941093.0,9.0,-2.5980736551846104,-4.139696096128489,-0.1937004687961534
13,-0.1851421,-0.09144243793798024,115500.0,21898025.0,3.0,-3.034420187854722,-4.955923679834675,0.03196635313001972
14,-0.048674643,-0.286071570379194,116000.0,21905025.0,0.0,-3.1127906756320747,-4.912043789047463,0.15978068959063046
15,-0.13156626,-0.9276514518029295,118500.0,21939832.0,1.0,-2.9309444431094835,-4.489955928994212,0.44439720413538264
16,-0.7466652,-1.459682890688475,126000.0,22035470.0,9.0,-2.1383107971131383,-3.238662662505534,0.081686480932787
17,-0.17325091,-1.3203134802461785,130500.0,22053470.0,0.0,-1.9724028437050272,-2.9037989735196934,0.009068867620379015
18,-1.1551226,-1,131000.0,22055470.0,0,-2.0894109762048836,-2.9943171492052456,0.06347631675951589
19,-0.9390846,-1.968421344022711,134500.0,22068808.0,3.0,-2.0010299870367754,-2.7951905529597063,0.015859488197097007
20,-0.31930202,-1.4888210442723846,138000.0,22072308.0,0.0,-2.026703091665605,-2.7629869712254234,-0.022652819088968858
21,0.036505103,-1.259667829179692,133000.0,22067214.0,5.0,-2.0433347574628185,-2.7215829622595904,-0.10875863169677875
22,-0.6184523,-1.5485255035037724,129000.0,22042580.0,3.0,-2.3954167628361525,-3.253806009562959,0.05444008822923632
23,-0.48959866,-1.2684018658442853,133000.0,22054363.0,1.0,-2.325693782872179,-3.092774208523055,-0.022671251035452714
24,-0.35933143,-1.0214939646615049,130500.0,22049363.0,0.0,-2.461472333500096,-3.2652140329355004,-0.027211670468666148
25,-1.5017947,-1,127500.0,22043363.0,0,-2.567608639849676,-3.418700174039542,0.022682564361889788
26,0.019536793,-1.2722287645972898,130000.0,22048308.0,3.0,-2.5203031591284737,-3.292989420416374,0.011338738555357627
27,-0.509176,-1.279159420289855,130500.0,22050380.0,2.0,-2.535631482163477,-3.2534111270802386,0.0
28,-0.90334165,-1.3748341047558787,130500.0,22049952.0,2.0,-2.565082647529027,-3.297411682572895,0.004535157264741438
29,-0.38797593,-1.1063550526106811,131500.0,22050952.0,0.0,-2.6048128240222903,-3.292339992668532,-0.013604854792663828
30,0.20681694,-0.5434605975114333,128500.0,22047314.0,35.0,-2.826075512759301,-3.5991359380396855,1.061353777607558
31,-0.58617514,-0.5267385616035745,135000.0,22276660.0,21.0,-0.1439564266612024,-0.19927227686968776,-0.4040102959779428
32,-1.347822,-1,129000.0,22186660.0,0,-1.1016989466531388,-1.5673796316831972,-0.03380409669594252
33,-0.2811764,-0.49800232869209665,128500.0,22178317.0,4.0,-1.1785360323207785,-1.690025636450291,-0.27278895869330394
34,-0.040715694,-0.5552255112169943,123000.0,22117817.0,0.0,-1.8772853902913533,-2.764792210672428,-0.02486683021204127
35,-0.6384442,-0.8470402206279778,122500.0,22110910.0,7.0,-1.9912575811493547,-2.9461119620215164,0.04522654201025648
36,-0.951443,-1.268603828556635,125000.0,22120295.0,3.0,-1.998990401745161,-2.917366471417387,0.022603676849698433
37,-0.66386247,-1.2014733968632123,130000.0,22125295.0,0.0,-1.853424501228152,-2.669102365066032,0.0
38,-0.16689968,-0.7689738931903911,130000.0,22125295.0,0.0,-1.9032798217100706,-2.7057027281026844,-0.022598568742247277
39,0.019813687,-0.9482566210505456,125000.0,22120242.0,3.0,-2.052449191962987,-2.9316466807717014,0.0452074620160123
40,-0.058472753,-0.7689980941036332,127500.0,22130242.0,0.0,-1.9520936686787873,-2.7541751537083696,-0.045187034104733244
41,-0.51612246,-0.8166824043641754,125000.0,22119832.0,2.0,-2.184560425824909,-3.108591823950341,0.0045208299954538535
42,-0.56292206,-0.8577881952007415,125500.0,22120627.0,1.0,-2.176214405604,-3.0606061276066168,0.002260333759978865
43,-1.1667725,-1,126000.0,22121127.0,0,-2.24423523220266,-3.1203193477133047,0.027123392040559236
44,-0.72659945,-1.4177998610283902,132000.0,22127127.0,0.0,-2.304419272596803,-3.168200953609429,0.0022596697709558046
45,-0.77090704,-1.2015501091919794,132500.0,22127627.0,0.0,-2.2647449544091796,-3.079741421557133,-0.011298093555174263
46,-0.6148832,-0.8555505062537225,130000.0,22125127.0,0.0,-2.3551253299560444,-3.217844840322944,-0.01807899226973929
47,0.20140049,-0.2529684708299904,126000.0,22120501.0,35.0,-2.4171215482511323,-3.3229554781862194,1.1392147040430955
48,-0.55895984,-1.9399415102750888,133000.0,22368134.0,20.0,0.6909785044060941,1.0300490316400013,0.2503561539822678
49,-1.4236565,-1,136500.0,22424134.0,0,1.24906400548802,1.8487113469153418,0.14270339269289062
50,0.17154714,-2.0710632123481933,138500.0,22455643.0,25.0,1.6884229327689886,2.475832436567594,-0.4564554219177781
51,0.3711193,0.2757874097415405,136000.0,22352274.0,45.0,0.5684296449291473,0.8355019435660476,4.80935407287867
52,-0.81964827,0.40442078069766296,148500.0,23410206.0,70.0,6.7765918801846725,19.551333296610785,-0.4784238122466757
53,-1.1671416,-1,141500.0,23298206.0,0,6.001211098471341,17.15935730424452,0.20602444668915712
54,-2.1585126,-1,144500.0,23346206.0,0,6.347498810077675,17.986116710772666,0.1713340488814328
