timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,0.4303367,-0.002929017806740809,1270000.0,49497116.0,16.0,-72398.32454923716,0.0,-0.0032220961040105513
2,0.5692284,-0.0029794586007936574,1280000.0,49654935.0,12.0,-1396.7795303032462,0.0,-0.0050493984453262855
3,-0.33887458,0.002890918338348436,1289000.0,49887887.0,9.0,-1020.7436443294961,0.0,-0.001141257963002299
4,-0.2686773,0.0028752192518415264,1292000.0,49934280.0,5.0,-1109.0697436107382,0.0,-0.0016793860164723777
5,0.13448578,0.002181021736560899,1298000.0,50017728.0,3.0,-1194.5689990114497,0.0,-0.003387282245572065
6,-0.08091317,0.0020734606056563064,1308000.0,50185581.0,1.0,-1197.0050518462738,0.0,-0.005390666667115889
7,0.81154424,-0.017201219839517827,1325000.0,50454383.0,17.0,-1049.8652074083686,0.0,-0.029823835736389057
8,-0.32603687,0.02072026861877853,1372000.0,51982855.0,10.0,-230.081197453601,0.0,-0.004843416461738781
9,-0.35076952,0.03553793043002028,1383000.0,52217688.0,8.0,-242.64876526804764,0.0,0.00898504054514038
10,0.2512035,0.03046227111733818,1352000.0,51751729.0,5.0,-231.8023792269781,-475.4606454597127,0.008575037492889783
11,-0.029685553,0.01411032676928305,1330000.0,51311729.0,0.0,-227.02846810855124,-521.2329706800067,-0.0046555179555665335
12,-1.2607224,-1.0,1342000.0,51551729.0,0.0,-222.2646240056584,-568.5309990012339,-0.0031085025334975634
13,0.5255725,0.016866895053068796,1338000.0,51470020.0,9.0,-236.3148242612828,-582.6802908897351,-0.003369218740136806
14,-0.05707889,0.03299967787420944,1344000.0,51641814.0,1.0,-255.14775467052553,-608.0840292316817,0.012627992250805103
15,0.07034595,0.009238580412339336,1321000.0,50997814.0,0.0,-241.23722043685956,-547.6218438236425,-0.006545393256772232
16,-0.291252,0.023993973149369626,1333000.0,51316304.0,8.0,-249.7095026510972,-554.3497439787442,0.006274964554293974
17,0.83656967,0.02571116492532422,1317000.0,50993499.0,15.0,-254.3807336565155,-607.922857397154,0.011805907156084152
18,1.1853474,-1.0,1300000.0,50398499.0,0.0,-258.73216501864675,-657.3150286491358,0.03849012877880658
19,0.7698398,-0.008730919265221597,1263000.0,49103141.0,2.0,-190.79574043919553,-220.61839504866776,-0.005246936108383143
20,0.5060258,-0.008752497514883648,1270000.0,49362141.0,0.0,-195.55667075133692,-222.13677706212695,-0.008177758181520552
21,0.64051044,-0.0026024716471046787,1281000.0,49769141.0,0.0,-195.82174305406087,-220.18943510764566,-0.0059122973407784865
