timestep,action,reward,current_amt,order_qty
1,-0.11991521716117859,-1,24300000.0,0.0
2,0.12269798666238785,1.732540304504864e-05,24299579.0,58.0
3,0.5290704369544983,-0.0006497534194204178,24315378.0,219.0
4,0.19277790188789368,-0.0045250317429371915,24425906.0,37.0
5,0.0012508705258369446,-0.0176791093653996,24865506.0,0.0
6,0.047220420092344284,-0.01737020184895827,25305060.0,6.0
7,0.08163248002529144,3.359023275067452e-06,25304975.0,11.0
8,-0.44229111075401306,-0.024983563799755894,25953383.0,146.0
9,0.22864820063114166,0.0028786012752943634,25878888.0,62.0
10,-0.2060331106185913,0.0030502487365306713,25800191.0,50.0
11,0.29938945174217224,2.403140734394382e-05,25799571.0,78.0
12,0.21274274587631226,0.005370129660611017,25661764.0,39.0
13,-0.09483528882265091,0.006259002673735771,25502146.0,29.0
14,-0.07111235707998276,-0.004379619265421262,25614327.0,20.0
15,0.2304573357105255,-0.011238821571070269,25905474.0,44.0
16,0.3453781306743622,0.008436062430723599,25688762.0,52.0
17,0.35079145431518555,0.008514249120442113,25471888.0,35.0
18,0.15150447189807892,-0.004639590962594182,25590618.0,9.0
19,0.21224886178970337,3.3606179035277577e-06,25590532.0,11.0
20,0.14485561847686768,-0.004851317027985496,25715285.0,6.0
21,0.063775435090065,-0.016144915522734987,26137269.0,2.0
22,-0.2908070385456085,-0.027943627484251245,26888635.0,123.0
23,-0.13480249047279358,-0.009831958222435511,27155628.0,40.0
24,-0.04475250840187073,-0.004743147757315409,27285045.0,11.0
25,0.177505761384964,1.1215060550881575e-05,27284739.0,36.0
26,-0.15874233841896057,0.010756275935954076,26994380.0,45.0
27,-0.16583757102489471,-0.01481062506345758,27400194.0,39.0
28,-0.38375124335289,-0.0041234087349534656,27513644.0,77.0
29,-0.3268713653087616,-0.004825180961466914,27647046.0,40.0
30,-0.21413293480873108,0.003149937085074716,27560233.0,18.0
31,0.610897958278656,-0.002109998121549506,27618508.0,229.0
32,0.2417568564414978,0.01635043654278224,27174198.0,36.0
33,0.6408042311668396,0.025071170519086465,26509572.0,75.0
34,0.08145616948604584,-0.004583832160286594,26631647.0,3.0
35,0.15474970638751984,0.030134223642272872,25852599.0,6.0
36,0.24709676206111908,0.01304339563087156,25519735.0,8.0
37,0.4627046585083008,-0.013113620960075623,25858838.0,12.0
38,-0.08253156393766403,-0.027740933126400035,26596654.0,35.0
39,0.15816031396389008,-0.008962970981132716,26837195.0,7.0
40,0.3816365599632263,-0.023742204627050734,27489865.0,15.0
41,0.07936789840459824,0.01088915731660086,27193748.0,2.0
42,0.10225754231214523,0.01106162379919983,26896232.0,2.0
43,0.19581641256809235,-0.0031638600500978483,26981598.0,4.0
44,0.3168805241584778,-0.009491468603308198,27240147.0,6.0
45,0.1100851446390152,-0.0031979462182818584,27327539.0,1.0
46,0.0344943031668663,-0.017325115134883284,27809339.0,0.0
47,0.06203578785061836,0.004747463313652075,27677939.0,0.0
48,0.1369623839855194,0.027646339028766995,26933331.0,1.0
49,0.1723051220178604,-0.006477276873005984,27108923.0,1.0
50,0.36118757724761963,0.0032576637534400227,27020898.0,3.0
51,0.3338891863822937,0.013290692038042364,26666482.0,2.0
52,-0.1921764612197876,0.04204391034113954,25590555.0,85.0
53,0.23212486505508423,-0.01523243454622075,25986391.0,20.0
54,0.13829658925533295,0.020903014533604297,25454319.0,9.0
55,0.20303353667259216,0.009258024242189708,25220824.0,12.0
56,0.04261321946978569,0.027780756016854563,24539109.0,2.0
57,0.4245733618736267,-0.012961643720677632,24861353.0,20.0
58,0.03018806129693985,-0.00675973878803237,25030553.0,0.0
59,0.12492355704307556,-0.032692792762120455,25876529.0,3.0
60,-0.12007465213537216,-0.006357439053470746,26042090.0,51.0
61,0.15291914343833923,0.019080317041592125,25554502.0,11.0
62,0.26546525955200195,0.035997636314486284,24666564.0,18.0
63,-0.17359644174575806,-0.006257581765835791,24821889.0,70.0
64,0.03782690688967705,0.03481193453415745,23986860.0,4.0
65,0.052984483540058136,0.018662046881829968,23547417.0,6.0
66,0.35456177592277527,0.012586563071926904,23254720.0,42.0
67,0.2964877188205719,0.01774526205538264,22849254.0,24.0
68,0.4856744408607483,0.02956725312311512,22193066.0,28.0
69,0.10119882225990295,0.034716686014609824,21448447.0,3.0
70,0.004353128373622894,0.05762631647644205,20279797.0,0.0
71,0.1361626386642456,-0.05058143574122898,21360228.0,3.0
72,0.38311767578125,0.06415023727905667,20072568.0,10.0
73,-0.04279986768960953,-0.0913855905219967,22091404.0,19.0
74,-0.10098576545715332,-0.032244747227791776,22827470.0,43.0
75,0.36339420080184937,0.014821232964406635,22494080.0,28.0
76,0.4355752468109131,-0.009243155019464466,22703936.0,21.0
77,-0.23545387387275696,0.009180662916751028,22497395.0,103.0
78,0.12577885389328003,0.0015094717930479804,22463487.0,16.0
79,-0.18420983850955963,0.031935750609831726,21768300.0,65.0
80,0.20654694736003876,-0.013091276237920248,22057055.0,37.0
81,0.49787619709968567,-0.0029259396914769345,22121782.0,71.0
82,-0.12252356857061386,-0.029441827029491052,22792845.0,48.0
83,0.11502446979284286,-0.01358943108395457,23106854.0,13.0
84,0.05974886566400528,0.01591751930429149,22744813.0,6.0
85,-0.19117680191993713,-0.00778064290410096,22923170.0,70.0
86,0.27977436780929565,-0.0019319437839713104,22967542.0,47.0
87,0.4661882221698761,0.014494199095894847,22639402.0,57.0
88,0.019641026854515076,-0.01227679876388237,22920796.0,1.0
89,0.4626065194606781,8.769405855301749e-06,22920595.0,29.0
90,-0.10176235437393188,-0.04313192158878393,23953767.0,43.0
91,0.21463444828987122,0.02157173286846264,23447954.0,16.0
92,0.0611085444688797,0.014901086770404234,23103684.0,3.0
93,-0.29165536165237427,-0.010075142597146917,23338826.0,118.0
94,-0.12849724292755127,0.0001297148642735567,23335799.0,37.0
95,0.20298585295677185,0.005463744632414223,23208991.0,44.0
96,0.40645161271095276,-0.006336943142919492,23357003.0,69.0
97,0.2727990448474884,-0.003894011811767594,23448311.0,27.0
98,0.1900816559791565,0.0016830769409530866,23408912.0,14.0
99,0.04145529866218567,0.026778766351093337,22798399.0,2.0
100,0.366149365901947,-0.01239590820753601,23084553.0,21.0
101,-0.004460066556930542,0.00751027584362998,22912474.0,1.0
102,0.13607844710350037,1.4839100506100616e-06,22912440.0,5.0
103,-0.07361684739589691,0.00774366997873056,22736377.0,31.0
104,0.045490968972444534,0.008942590583113086,22534857.0,3.0
105,-0.21366649866104126,-0.01127795252550873,22791903.0,86.0
106,0.23777469992637634,0.007792740120619933,22615665.0,35.0
107,-0.08918093144893646,0.002468308925805785,22559980.0,31.0
108,0.4674500823020935,-0.013439968206150647,22867316.0,67.0
109,0.024368837475776672,-0.025006300682332665,23453809.0,1.0
110,-0.06527594476938248,0.005127761847149653,23334157.0,25.0
111,0.13466289639472961,0.0007909686664123318,23315715.0,13.0
112,-0.155999094247818,0.020158483531366646,22854993.0,59.0
113,-0.2207132875919342,-0.0011575300704993764,22881479.0,70.0
114,0.25682568550109863,-0.004352023225643067,22981495.0,55.0
115,0.38472050428390503,-0.008562349304162171,23179970.0,60.0
116,-0.43199288845062256,-0.007277377166904726,23349896.0,158.0
117,0.2596120238304138,-0.0026453721321815565,23411829.0,65.0
118,0.17904376983642578,-0.0057864990324056,23548090.0,33.0
119,0.1408146172761917,-0.002585736191881982,23609137.0,21.0
120,0.38831913471221924,-0.04115465120349846,24622466.0,48.0
121,0.33738547563552856,-0.00151286875187375,24659773.0,25.0
122,0.30402952432632446,-0.014383971321746843,25019655.0,15.0
123,0.06663338840007782,0.010052828671362549,24770640.0,2.0
124,-0.02503293752670288,-0.009963656972661394,25019930.0,10.0
125,0.611373245716095,0.0016375338253781391,24979026.0,26.0
126,0.38208186626434326,0.019440567317534244,24502680.0,6.0
127,0.30495399236679077,0.03716549039567049,23624658.0,3.0
128,0.1047167256474495,0.047013561647787874,22563851.0,1.0
129,-0.14973142743110657,-0.04117464785117423,23532806.0,66.0
130,0.2690448760986328,-0.0015935263796921948,23570366.0,19.0
131,-0.020123064517974854,-0.001651886797807277,23609366.0,7.0
132,0.18965554237365723,-0.00978572714380646,23842684.0,11.0
133,0.04222165048122406,0.015331050515124558,23482670.0,2.0
134,-0.08387897163629532,0.010499044567321921,23238686.0,33.0
135,0.27731436491012573,-0.023257166761915686,23792021.0,22.0
