timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,sortino_data_exp,reward_log
1,1.5252458,-0.5,20181017, 000660.csv,70400.0,68700.0,0.0,68500000,68500000.0,0.0,0.0,0.0,0.0,0,0.0,0,1.4347202295552368,0.02037381246047465,0.0,0,-0.0,0,0.0,0.0,0,wrong
2,0.4761271,0.24420206615236587,20181018, 000660.csv,68700.0,70800.0,462.0,35970582.0,67709982.0,0.0,-0.006741605839416058,-0.006741605839416058,0.2697992106971533,0.3050796681808996,0.26303941605839415,0.0006916580382309023,-1.3151528364523661,-0.01,0.2697992106971533,0.0007276512742447894,9.702,0.6098749850226353,-723.6389622298412,0.0,0,buy
3,0.10799146,0.7977296950621375,20181019, 000660.csv,70800.0,70000.0,518.0,32122836.0,68797236.0,-0.2697992106971533,-1.1541080291970802,-1.1474437794945067,1.2643430140157927,0.9996621188276719,-0.17104233576642336,-0.01,-0.6014584046329944,-0.01,0.9945438033186393,0.009842416994269354,-4.144,-0.01,-7.001738110760523,-6.087667945913685,0,buy
4,0.5638262,-0.8019999999827057,20181022, 000660.csv,70000.0,69100.0,773.0,14066273.0,68176273.0,0.3060134779441967,0.4301795620437956,1.6027854670064006,-2.2161904476057863,-0.9999999999783821,-1.488214598540146,-0.01,-0.627382460807004,-0.01,-1.9101769696615898,-0.01,-6.957000000000001,-0.01,-2.182320366087358,-3.3555129150387297,0,buy
5,1.0773635,-0.5,20181023, 000660.csv,69100.0,66700.0,773.0,14066273.0,67480573.0,-4.606897397419129,-0.4725941605839416,-0.898906809252513,0.8652730936089159,0.9763285981539018,-4.196535766423358,-0.01,0.1076249222423531,0.00011582453069780563,-3.741624303810213,-0.01,-18.552000000000003,-0.01,-3.1540742737018577,-5.675227581390884,0,wrong
6,1.4261518,-0.5,20181024, 000660.csv,66700.0,64700.0,773.0,14066273.0,65625373.0,-6.0092753970285235,-1.488214598540146,-1.0204429919482398,0.9690099564846211,0.990858232018813,-6.453470072992701,-0.01,0.7201310747834819,0.005172464147616296,-5.0402654405439025,-0.01,-15.46,-0.01,-4.312981706543736,-8.467810857164501,0,wrong
