timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,sortino_data_exp,reward_log
1,0.63745725,0.8287092972081852,20201230, 010120.csv,63100.0,65000.0,217.0,7617715.0,21310415.0,0.0,-0.009019138755980862,-0.009019138755980862,3.9458104235716953,1.0,3.9364354066985645,0.143546486040926,-2.2727149200988213,-0.01,3.9458104235716953,0.1441791387548883,4.123,0.15632783505106174,-381.85888594164453,0.0,0,buy
2,0.5206101,-0.7416363039231828,20210104, 010120.csv,65000.0,66000.0,279.0,3704960.0,21839960.0,4.98418158766951,1.9610526315789474,1.9702494698684545,-1.1873476338096536,-0.9991316989030492,5.8323444976076555,0.2883452759962831,-2.010792757294305,-0.01,3.7968339538598563,0.13425033334158465,2.79,0.07488849242000772,0.25571825730491515,0.0,0,buy
3,0.5880394,-0.7717698984356917,20210105, 010120.csv,66000.0,64600.0,311.0,1624665.0,22150665.0,1.9638796313068223,4.496004784688995,2.486196530620098,-2.5334854379892966,-0.9999999999999885,3.90078947368421,0.14115050782149607,-1.6547660818713452,-0.01,-0.5696058066824743,-0.01,-4.354,-0.01,2.4797245682469162,0.0,0,buy
4,0.22419298,-0.6093954439666283,20210106, 010120.csv,64600.0,73600.0,316.0,1294619.0,21708219.0,12.246524843673196,5.9838229665071765,1.423803890764808,-1.404389912816411,-0.9999478588000698,17.47473205741627,0.9528142153671381,-2.7867058510804625,-0.01,10.842134930856785,0.6913412244763597,28.44,0.9996928996528179,4.171806791760238,0.0,0,buy
5,0.9094256,0.9771803019168234,20210107, 010120.csv,73600.0,71400.0,334.0,131654.0,24714054.0,7.703622187714032,3.866287081339713,-1.997980282176313,2.7588540895239007,1.0,14.733272727272729,0.8859015095841165,-1.9333939393939357,-0.01,10.462476277237933,0.6653379621158457,-7.348000000000001,-0.01,1.4238769654440242,2.1541769062976392,0,buy
6,1.3639275,-0.5,20210108, 010120.csv,71400.0,69000.0,334.0,131654.0,23979254.0,6.769837591153956,18.249062200956935,13.84739507281491,-12.986543276105522,-1.0,10.897866028708133,0.6950583523310343,-1.8472320105075521,-0.01,-6.216705684951567,-0.01,-8.016,-0.01,3.423762286477909,16.611749561429928,0,wrong
7,0.44464868,0.9231397592709768,20210111, 010120.csv,69000.0,68300.0,334.0,131654.0,23177654.0,-7.162726115270283,14.733272727272729,-2.973207066715967,2.8448269846301057,1.0,9.779205741626793,0.6156987963548839,-1.8221014479156903,-0.01,-4.3178991306401775,-0.01,-2.338,-0.01,2.6796346074754376,10.57267519465587,0,buy
8,0.7082051,0.9324493013992436,20210112, 010120.csv,68300.0,68700.0,334.0,131654.0,22943854.0,-3.760750855718864,10.897866028708133,-3.3428896495278795,3.328437904632443,1.0,10.41844019138756,0.6622465069962179,-1.8364617693967524,-0.01,-0.4323129510864214,-0.01,1.336,0.017690610835747966,1.8852306201013003,7.099133765180869,0,buy
9,1.1825377,-0.5,20210113, 010120.csv,68700.0,68200.0,334.0,131654.0,23077454.0,-1.152834536230457,9.779205741626793,-1.0087302192016498,1.0072617828473507,0.9937356565707353,9.619397129186604,0.6035986263779629,-1.8185113675454225,-0.01,-0.14557275338310643,-0.01,-1.6700000000000002,-0.01,1.7260778521366054,6.534330111639321,0,wrong
10,0.6529726,-0.5743483686447904,20210114, 010120.csv,68200.0,65800.0,334.0,131654.0,22910454.0,-3.639318834577661,10.41844019138756,0.5822910135324257,-0.5578512691954844,-0.7890196320477298,5.783990430622009,0.2843366849669675,-1.7323494386590363,-0.01,-4.1971701037731455,-0.01,-8.016,-0.01,1.9496793656846942,7.040390886332539,1.0,buy
11,1.1694827,-0.5,20210115, 010120.csv,65800.0,65600.0,334.0,131654.0,22108854.0,-4.486630110929914,9.619397129186604,-0.7236500178919217,0.6962207196537746,0.9113993825448913,5.4643732057416265,0.2581392673788091,-1.7251692779185035,-0.01,-3.7904093912761394,-0.01,-0.668,-0.01,1.8383055643258155,6.552470074390399,0,wrong
12,0.95328915,0.9280585288358003,20210118, 010120.csv,65600.0,68500.0,335.0,65845.0,22041845.0,0.4373549297626315,5.783947368421052,-3.4988787214779773,3.6537678765169366,1.0,10.1116985645933,0.6402926441790012,-1.8164060105700983,-0.01,4.091122806279568,0.15411584228001984,9.715000000000002,0.6108585006644653,0.9502837895361299,3.169211994125165,0,buy
13,2.2427206,-0.5,20210119, 010120.csv,68500.0,69800.0,335.0,65845.0,23013345.0,6.0609226759697306,5.463373205741627,-0.30304613379848655,0.3223905176399704,0.40528812196875985,12.19543062200957,0.7740146897152685,-1.856856959689777,-0.01,6.383313193609701,0.3346665086488364,4.355,0.17275985895750257,0.9080114411056285,2.8489036705333404,0,wrong
14,1.4992535,-0.5,20210120, 010120.csv,69800.0,71500.0,335.0,65845.0,23448845.0,8.96703520054696,10.1116985645933,4.407525776540031,-4.600003810716407,-1.0,14.92031100478469,0.892057521993338,-1.909754354692435,-0.01,4.367031389830553,0.17362749421849466,5.695,0.27698857157637846,2.0449284315610536,6.384112371451511,0,wrong
15,1.9699259,-0.5,20210121, 010120.csv,71500.0,69900.0,335.0,65845.0,24018345.0,2.0379479819209245,12.19543062200957,1.8923802689265727,-1.8950838024698684,-0.9999999840962848,12.355717703349283,0.782735027659492,-1.85996857116052,-0.01,0.14286417945105612,0.00020408091035950537,-5.36,-0.01,2.627983558530293,7.963860672259989,0,wrong
16,1.4865143,-0.5,20210122, 010120.csv,69900.0,69400.0,335.0,65845.0,23482345.0,-0.5714567178042245,14.92031100478469,2.428691050667954,-2.3575544193078457,-0.9999999999991472,11.554282296650719,0.7368456123910041,-1.8444105138067979,-0.01,-2.92901113711207,-0.01,-1.675,-0.01,3.3825421049734734,9.993184067313814,0,wrong
17,0.4499969,-0.5,20210125, 010120.csv,69400.0,67300.0,335.0,65845.0,23314845.0,-5.85802227422414,12.355717703349283,-2.2316275330377677,2.14885268319735,0.9999999999060106,8.188253588516746,0.4885344098557328,-1.7790666729211626,-0.01,-3.7091695910267903,-0.01,-7.035,-0.01,2.7478319304361127,8.449207177043423,0,wrong
