timestep,action,reward
1,-1.0342729091644287,0.0
2,-0.4806726574897766,0.0
3,-0.5778834819793701,0.0
4,-0.8635634183883667,0.0
5,-0.49840784072875977,0.0
6,-0.10635876655578613,0.0
7,-1.4275217056274414,0.0
8,-1.0712006092071533,0.0
9,-0.32081013917922974,0.0
10,-0.3427164852619171,0.0
11,-1.4870554208755493,0.0
12,-0.48132553696632385,0.0
13,-1.163810133934021,0.0
14,-0.7070739269256592,0.0
15,-0.5469706058502197,0.0
16,-0.929173469543457,0.0
17,-1.3510265350341797,0.0
18,0.15838736295700073,-2.263157894736842e-05
19,-0.8120675086975098,-0.0030056045519203413
20,-0.1744006872177124,-0.002496543385490754
21,-0.29365572333335876,-0.002247140825035562
22,-0.19424021244049072,-0.0021176813655761025
23,-0.3576851189136505,-0.001938918918918919
24,-0.8957688808441162,-0.0016533001422475108
25,-1.2114136219024658,-0.0016533001422475108
26,-0.3047514855861664,-0.0016533001422475108
27,-0.632310152053833,-0.0016533001422475108
28,-0.6809989809989929,-0.0016533001422475108
29,-0.4085119068622589,-0.0016533001422475108
