timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,-0.02589798,-1.0,18400000.0,0.0,0.0,0.0,0.0
2,0.13687243,-0.05003095652173913,18399644.0,78.0,-152403.49521607786,0.0,-1.9347826086956523e-05
3,0.2159212,-0.155485807158242,18336758.0,109.0,-956.8532961800144,-831.8162786407116,-0.003417783517985457
4,0.43370193,-0.16455993892431744,18205091.0,176.0,-476.57025747157326,-464.85198458020363,-0.007180495047161554
5,-0.10721715,-0.18348158972462614,17930973.0,38.0,-233.35804028926617,-228.55574213099953,-0.015057216687354102
6,0.27247995,-0.1772567093015563,17881910.0,74.0,-251.7504505621242,-246.21670824146307,-0.0027362151512915667
7,0.12148807,-0.21224255397937014,17462858.0,25.0,-162.96037907388393,-159.7277302885481,-0.023434409411522594
8,0.2658186,-0.1713280291384957,17738262.0,47.0,-127.06364444202397,-160.22244498448313,0.01577084346674525
9,-0.08000192,-0.14090577838762627,18207416.0,37.0,-97.02159060425075,-159.0572423863184,0.026448701682273045
10,0.18999468,-0.14805709532170847,18337486.0,30.0,-99.47347132835891,-158.0672929159227,0.007143792397559324
11,0.7521599,0.05298544814330054,20703454.0,85.0,-29.190732246863206,-135.42142032975227,0.12902357498732378
12,-0.2345311,0.009714482373054653,21272160.0,128.0,-29.36163409376136,-131.87484483975248,0.02746913630933273
13,0.39108646,0.0025163947066310227,21419194.0,60.0,-28.552509781821936,-123.65604390022482,0.006912039021895285
14,0.757982,0.04474384120197743,21996024.0,68.0,-28.804269801400004,-121.28215213794985,0.026930518487296953
15,0.06106952,0.025892074575985816,21996019.0,1.0,-30.045465262940453,-123.32403320317935,-2.2731380907749509e-07
16,1.0216336,-1.0,22298519.0,0.0,-32.783526548083636,-133.32037023873826,-2.2731380907749509e-07
17,0.46989578,-0.0029755171384683726,21638466.0,10.0,-32.71418298385584,-129.4465009622367,-0.016255350570482777
18,-0.47922432,0.041156866544487705,22041524.0,268.0,-33.861788568427016,-130.68745506256587,0.018626921150510393
19,0.4365953,0.03042013814389309,22070061.0,121.0,-32.34092889966239,-121.89158773915435,0.001294692690033593
20,1.0944304,-1.0,22111361.0,0.0,-34.57541266818613,-127.39344354786263,0.001294692690033593
21,0.034741774,0.04782683050611451,22297184.0,5.0,-35.24798383798404,-126.88953769399477,0.010291000101902753
22,0.9264359,0.03552563457143289,22233709.0,140.0,-36.16676818308505,-132.50651198146028,-0.002846772040810176
23,0.5762079,0.0330295821750433,22177876.0,6.0,-37.92732346132059,-140.9526016424167,-0.002511186954907074
24,0.4887287,0.037055951851535554,22206065.0,2.0,-41.06248700380017,-149.70295682521763,0.0012710414649265782
25,-0.3381039,0.10343602522659325,23042380.0,191.0,-38.872616497721495,-142.00790072643346,0.037661557777120803
26,-0.5293752,0.1369330481453418,23797314.0,198.0,-38.07463539984499,-138.31794562394734,0.032762848282165295
27,0.053666115,0.09804572955679354,23593641.0,21.0,-39.7118267288814,-148.77349714694301,-0.008558654980978105
28,0.45910317,0.12496318921470818,23859941.0,165.0,-40.39350797942976,-148.7086482509961,0.011286939561384358
29,0.1498919,0.1085271906867973,23750867.0,29.0,-40.067581252727635,-151.07114354514894,-0.004571427900848539
30,0.13949926,0.11632544932231288,23809529.0,23.0,-41.220178622335,-153.03554510739605,0.002469888783428411
31,0.30095464,0.103201432089105,23664022.0,43.0,-43.02219543340764,-163.92897990604567,-0.006111292667738198
32,0.050103277,0.0715268939091455,23205993.0,5.0,-49.28853745081232,-175.18581136360154,-0.019355500937245577
33,-0.37675762,0.09878116918311954,23379309.0,174.0,-48.247272650128835,-168.94420814067215,0.007468587963462714
34,-0.2511431,0.09316543225394021,23374392.0,72.0,-47.627240427160345,-164.92817983975075,-0.0002103141713897532
35,-0.23689552,0.10415697500115025,23511905.0,51.0,-47.79795486231314,-163.21045550601053,0.0058830621134444904
36,0.4490971,0.09538483828860823,23452758.0,176.0,-48.162616709167814,-165.6923564180352,-0.002515619215031704
37,0.40114123,0.1051860148571462,23554843.0,86.0,-48.86222609323982,-165.89616055179397,0.004352792963625003
38,-0.4386219,0.12129819199026427,23798502.0,187.0,-48.59810751895689,-162.91436456014762,0.010344327066837168
39,1.2011597,-1.0,23678002.0,0.0,-48.210356030529105,-159.6225253792783,0.010344327066837168
40,0.9213887,0.11486330102317312,23808794.0,289.0,-48.844211187274645,-159.88806961614438,0.0004324641945951052
41,0.43480808,0.0356935000210349,22801731.0,11.0,-49.47850483393271,-112.16356548528141,-0.042297942516534015
42,-0.470671,0.11558696588477925,23433352.0,254.0,-48.91443529764733,-110.63590650923781,0.027700572381982754
43,0.8698775,0.10852295069598834,23589808.0,230.0,-50.88139433345733,-113.77005306999962,0.006676637640231751
44,-0.20915885,0.09106966382788483,23427190.0,108.0,-51.616159885959036,-117.55010701595741,-0.006893570307990637
45,-0.28963482,0.10813232362406673,23582498.0,118.0,-46.53830755704959,-104.82856169262857,0.006629390891523909
46,0.40310195,0.05083772517782044,22912566.0,110.0,-48.086925188928184,-103.47217196177068,-0.02840801682671615
47,-0.410725,0.12717533215458388,23622976.0,164.0,-48.19216647181666,-103.87043698724881,0.031005257115244097
48,0.029076084,0.10639817149176035,23634772.0,9.0,-49.91523557461811,-106.5334442879467,0.0004993443671110701
49,0.2582084,0.08572652770479168,23375992.0,82.0,-52.01334519643348,-113.12770477911069,-0.010949121912409394
50,0.40662354,0.10110632993535863,23473831.0,95.0,-52.3003429765816,-112.63365493107626,0.004185448044301179
51,0.65454745,0.08814279973455101,23346392.0,92.0,-53.48204681843242,-116.57591198922242,-0.005428981745672447
52,-0.5241895,0.09050394022030771,23328151.0,269.0,-55.36424724249877,-120.52460882353228,-0.00078131987161014
53,-0.09840904,0.10062808637002353,23449505.0,24.0,-57.71729670852865,-124.47835443795532,0.0052020410876112725
54,0.060622603,0.09435450822541584,23416087.0,20.0,-58.68995174571289,-126.79586676169633,-0.0014251047090333036
55,0.33874184,0.07623034572273758,23173447.0,111.0,-62.84618220828922,-137.83282614152256,-0.010362107042051903
56,0.35059434,0.07925983961330828,23120060.0,76.0,-63.25702024492527,-139.24385563095146,-0.002303800552416738
57,0.5263671,0.05875685295734524,22840786.0,75.0,-64.14794883892483,-143.01765082806605,-0.01207929391186701
58,0.02678588,0.06921687226087435,22865981.0,1.0,-64.0299794666196,-141.5628967644742,0.0011030706211248597
59,-0.028381407,0.0583321704298191,22738821.0,14.0,-66.44326497874552,-148.31228223597958,-0.005561099696531717
60,0.3638934,0.07003815464214765,22836857.0,29.0,-70.83756136918856,-156.8199933437986,0.004311393277602211
61,0.5905165,0.029770037860078827,22368686.0,31.0,-72.41948179232482,-159.45718398390954,-0.02050067572783768
62,0.5130193,-0.01333674637158723,21652322.0,12.0,-72.15530157519677,-150.4808785485207,-0.032025305375559386
63,0.8177176,0.015937966460954286,21736724.0,9.0,-71.35965922746288,-147.6562591695897,0.003898057677139662
64,0.95159763,-0.033190185017614726,21164714.0,2.0,-72.53189069695033,-147.68990179017246,-0.02631537300653033
65,-0.38458502,0.02646854158090882,21667696.0,220.0,-75.6742692261876,-154.00779770853242,0.023765121513099587
66,0.33226758,-0.0002615343123217456,21543409.0,73.0,-76.00672211590162,-155.7179119495605,-0.005736050570397517
67,1.0020995,-1.0,21820959.0,0.0,-75.92396703881872,-156.55232707153536,-0.005736050570397517
68,0.52323943,-0.004969720847263784,21436249.0,78.0,-77.48230586633265,-160.5773079597113,-0.004974143135842614
