timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,-0.32832864,-1.0,16100000.0,0.0,0.0,0.0,0.0
2,-0.1490334,-1.0,16100000.0,0.0,0.0,0.0,0.0
3,0.038416468,-0.05000586335403727,16099941.0,2.0,-1236439.9889411265,0.0,-3.6645962732919256e-06
4,-0.05909522,-0.049506402930053796,16104941.0,0.0,-16025.004194313207,0.0,0.00031056014428872754
5,0.17823757,-0.04916396956266114,16110575.0,12.0,-12749.475281451258,0.0,0.000349830527165545
6,-0.22751099,-0.15159952599057197,16088525.0,3.0,-3709.8153575849356,-2919.722114619646,-0.001368666233203967
7,-0.004416883,-0.15720251253084871,16022525.0,0.0,-1423.6261871923812,-1182.3497045423921,-0.004102302728186705
8,1.00256,-1.0,16017025.0,0.0,-1164.1070908056208,-1134.2112143163736,-0.004102302728186705
9,-0.06321042,-0.1581650815836122,15984025.0,0.0,-1191.6754462867298,-1271.8943818776715,-0.0024028672135009933
10,-0.12901889,-0.15596815323492486,15989190.0,1.0,-1204.3551666771464,-1266.0232138023061,0.0003231351302315906
11,0.55766666,-0.15829391187227937,15968127.0,37.0,-1245.582162098578,-1325.303156424551,-0.0013173275194052981
12,0.18451366,-0.14801087751674213,16061982.0,5.0,-829.766171999841,-1322.7568611194338,0.005877646138460697
13,-0.094400525,-0.13674156429143486,16216620.0,4.0,-579.8305739951414,-1342.967065694938,0.009627578962546466
14,-0.010137178,-0.13159292400984435,16336620.0,0.0,-528.5214951991196,-1339.3410057194405,0.0073998157445879596
15,0.2743175,-0.13205347479512763,16384411.0,7.0,-537.2196212394155,-1332.047958371684,0.0029253909315390824
16,-0.5527317,-0.1568041352957128,16154215.0,30.0,-397.3952723792201,-458.1761712074093,-0.014049696385179791
17,-0.15077852,-0.1495507941783642,16128201.0,3.0,-401.6142605724315,-474.2557078100626,-0.0016103537064475124
18,-0.7242477,-0.1511094902865615,16101153.0,15.0,-414.59440552736373,-500.7303886322716,-0.0016770624324436432
19,0.20527448,-0.14719426600925578,16128738.0,14.0,-424.37775700799614,-501.55908090666037,0.001713231344363972
20,0.29526877,-0.15156829342284167,16096767.0,16.0,-428.1952252656434,-519.2481675380446,-0.0019822381639530632
21,0.09711854,-0.15570538603528467,16041180.0,3.0,-436.74577650232686,-548.808186888167,-0.0034533021444616797
22,-0.33759606,-0.16566387152147904,15916848.0,13.0,-426.730035760351,-544.8554799435351,-0.007750801374961194
23,0.85130227,-0.16575433790454336,15861621.0,43.0,-434.51636041204785,-569.4397098112087,-0.0034697196329323493
24,0.52500826,-0.1493325155630877,16001506.0,4.0,-404.72510723933624,-562.7246876188194,0.008819086019014072
25,0.081689894,-0.17025355829984834,15853506.0,0.0,-391.2849142352594,-540.4485393269125,-0.009249129425692807
26,0.46778876,-0.16748400024668564,15816478.0,1.0,-388.70581398755235,-542.500994006145,-0.0023356347800921762
27,0.028337784,-0.1733609255347744,15741478.0,0.0,-392.87507736637843,-561.3005782887743,-0.004741890071860499
28,0.47674114,-0.1813359395572442,15628950.0,1.0,-381.7515101519072,-553.7049342780024,-0.007148502828006367
