timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.22760308,-1.0,20160907, 010120.csv,43600.0,43450.0,0.0,2800000,2800000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,-0.37538195,-1.0,20160908, 010120.csv,43450.0,42750.0,0.0,2800000,2800000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
3,-0.043056756,-1.0,20160909, 010120.csv,42750.0,42200.0,0.0,2800000,2800000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
4,0.10285959,-0.02022612282915528,20160912, 010120.csv,42200.0,41200.0,6.0,2543464.0,2796664.0,6.0,0.0,-0.0012857142857142856,-0.0012857142857142856,-0.11785865818274806,-0.06709631646316871,-0.11914285714285713,-0.11785865818274806,-0.00013889698600666467,-2942.5,0.0,buy
5,0.027471393,-0.08111763476373611,20160913, 010120.csv,41200.0,41400.0,7.0,2501259.0,2789659.0,1.0,-0.21454132495001185,-0.11932142857142858,-0.11803723190726738,-0.25029865993673167,-0.2689307539137672,-0.3693214285714286,-0.25029865993673167,-0.0006262979851513473,-38.41580064167731,-28.88735774788974,buy
6,0.050280422,0.0007290967626617407,20160919, 010120.csv,41400.0,41200.0,10.0,2377642.0,2791642.0,3.0,0.05018534523395154,-0.36992857142857144,-0.2509065281108637,0.021508441997528348,0.002310392311461462,-0.2985,0.07169378723147989,5.1398670319002804e-05,-21.46238532472286,-19.042611948978813,buy
7,-0.28074452,0.00028468513451496147,20160920, 010120.csv,41200.0,42000.0,8.0,2460307.0,2789907.0,2.0,-0.07164242406440367,-0.3033214285714286,0.06685445659335498,0.014325713054902357,0.0010256039810188078,-0.3604642857142857,-0.057316711009501316,-3.285151398668695e-05,-20.17605840764741,-18.48752054611841,sell
8,-0.27965367,-0.004684525046477472,20160921, 010120.csv,42000.0,42000.0,6.0,2542573.0,2794573.0,2.0,0.22939832761450474,-0.36525,-0.06211698555654706,-0.057341317958163524,-0.016305732261391204,-0.19382142857142856,0.17205700965634121,0.0002959923313426982,-21.941851929556986,-21.039959872295135,sell
9,-0.22614625,0.0,20160922, 010120.csv,42000.0,41700.0,5.0,2584505.0,2794505.0,1.0,0.0,-0.19624999999999998,0.16961953535287638,0,0,-0.19624999999999998,0.0,0,-17.038623443946676,-19.391680578086213,sell
10,0.0014292598,-0.004310980530004815,20160923, 010120.csv,41700.0,41500.0,5.0,2584505.0,2793005.0,0.0,-0.053676769231044495,-0.19624999999999998,0.0,-0.053676769231044495,-0.014302708172205136,-0.24982142857142858,-0.053676769231044495,-2.881154049039214e-05,-17.113685702538557,-18.600072759156927,wait
