timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.30032593,-1.0,20160407, 000660.csv,26900.0,27800.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,-0.19030452,-1.0,20160408, 000660.csv,27800.0,27150.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
3,-0.051151402,-1.0,20160411, 000660.csv,27150.0,27150.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
4,-0.30697173,-1.0,20160412, 000660.csv,27150.0,27250.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,wrong
5,-0.121053234,-1.0,20160414, 000660.csv,27250.0,27650.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
6,-0.11485636,-1.0,20160415, 000660.csv,27650.0,27200.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
7,-0.017598197,-1.0,20160418, 000660.csv,27200.0,27450.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
8,-0.82922983,-1.0,20160419, 000660.csv,27450.0,27550.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
9,-0.13853677,-1.0,20160420, 000660.csv,27550.0,27550.0,0.0,54100000,54100000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
10,0.5007697,0.0,20160421, 000660.csv,27550.0,27500.0,983.0,27014504.0,54096154.0,983.0,0.0,-0.007109057301293901,-0.007109057301293901,0,0,-0.007109057301293901,0.0,0,-886.1867918956158,0.0,buy
11,0.18519329,-0.01695078190750967,20160422, 000660.csv,27500.0,27500.0,1164.0,22027246.0,54037246.0,181.0,-0.09085673632177252,-0.008417744916820702,-0.0013087806574936917,-0.10758761467647387,-0.056232536443016845,-0.11599630314232902,-0.10758761467647387,-0.00011574424943516792,-932.9172000320002,-632.1828621317646,buy
12,-0.56000185,0.0,20160425, 000660.csv,27500.0,29150.0,513.0,39900350.0,54007850.0,651.0,0.0,-0.17033271719038817,-0.16192860301031625,0,0,-0.17033271719038817,0.0,0,-46.46900967171027,-26.863834680198742,sell
13,-0.34326243,-0.22187819690261826,20160426, 000660.csv,29150.0,29150.0,337.0,44732403.0,54555953.0,176.0,1.5672721650648935,-0.18502218114602587,-0.014714527610338125,-0.5375480931531347,-0.7642043555121184,0.8427966728280962,1.0297240719117589,0.010547299644310337,-48.64760911425322,-30.113580592370376,sell
14,0.33440834,0.0,20160427, 000660.csv,29150.0,27900.0,849.0,29805484.0,54553834.0,512.0,0.0,0.8388798521256932,1.0257999907888722,0,0,0.8388798521256932,0.0,0,-3.7258991840950513,-14.595368342978812,buy
