timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.7731658,-1.0,20170208, 000660.csv,54600.0,52700.0,0.0,37400000,37400000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,-0.94139034,-1.0,20170209, 000660.csv,52700.0,50000.0,0.0,37400000,37400000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
3,-0.42697212,-1.0,20170210, 000660.csv,50000.0,50700.0,0.0,37400000,37400000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
4,0.7274399,0.3054814009331643,20170213, 000660.csv,50700.0,48450.0,543.0,10246144.0,37776244.0,543.0,0.0,-0.010310160427807488,-0.010310160427807488,1.0164149544402226,0.9942897746945684,1.006,1.0164149544402226,0.010277812178276835,-524.0728734439833,0.0,buy
5,0.6913975,-0.4064823640035898,20170214, 000660.csv,48450.0,47900.0,682.0,3197844.0,36240744.0,139.0,-3.2341754251693207,1.0033262032085561,1.0137408819476148,-4.06218421779089,-1.0,-3.0996149732620317,-4.06218421779089,-0.15211766286227113,-3.028832160631,0.0,buy
6,0.1039727,-0.30630244445471644,20170215, 000660.csv,47900.0,49600.0,688.0,2907103.0,35862303.0,6.0,-1.0350229012958454,-3.0997245989304814,-4.062292754482274,-1.0441298558695178,-0.995708143030134,-4.111489304812834,-1.0441298558695178,-0.010842859350966072,-3.4417132420564567,-2.5837843462661803,buy
7,0.09540877,0.07245005884009284,20170216, 000660.csv,49600.0,50400.0,693.0,2667569.0,37040369.0,5.0,3.261363331852949,-4.111580213903744,-1.0442236730341572,0.023704882877134015,0.002805664108193384,-0.9615802139037433,3.285068214730083,0.10229765658233547,-4.359981878290513,-3.6442047694690776,buy
8,-0.25095063,-0.1417157900440826,20170217, 000660.csv,50400.0,49900.0,520.0,11234280.0,37442280.0,173.0,1.4967453482982311,-0.9992513368983957,3.245781799249791,-0.37321903131472633,-0.5016547787094794,0.11304812834224601,1.1235263169835048,0.01254377652680172,-1.7488363699295055,-1.8284787044696929,sell
9,0.06709991,-0.2799509837914192,20170220, 000660.csv,49900.0,50900.0,534.0,10528580.0,37175180.0,14.0,-0.6944021571335933,0.1127807486631016,1.123256238541922,-0.7130995043557827,-0.9213348085505983,-0.6011229946524064,-0.7130995043557827,-0.005072201751771033,-1.1596290277080563,-1.176356721281715,buy
10,0.3001183,0.05795967665087311,20170221, 000660.csv,50900.0,50600.0,597.0,7384434.0,37771734.0,63.0,1.436442271429486,-0.6023155080213903,-0.7142906743143695,0.16948717516722667,0.13379139212004032,0.9939411764705882,1.6059294465967127,0.025460370021230028,-1.6621994881295552,-1.7983284521144038,buy
11,0.0073479675,-0.2044662907319577,20170222, 000660.csv,50600.0,50200.0,598.0,7333527.0,37592327.0,1.0,-0.474164093181425,0.9939224598930482,1.6059106166032016,-0.474958425914706,-0.6762965731923232,0.5142433155080214,-0.474958425914706,-0.002253312534658214,-0.7241802004100665,-0.7797107709016969,buy
12,-0.33443716,0.05889221731560303,20170223, 000660.csv,50200.0,47500.0,399.0,17386394.0,37416194.0,199.0,-0.6363000619780733,0.4700374331550802,-0.5187292601156415,0.21155853821945358,0.20051305473674164,0.04329946524064171,-0.42474152375861973,-0.0018024272934563657,-1.1023179095401578,-1.23689672865063,sell
13,0.54164505,-0.41462494602442046,20170224, 000660.csv,47500.0,46000.0,586.0,7997661.0,35832661.0,187.0,-2.8792345902418615,0.039735294117647056,-0.42828902031983673,-4.228800956924577,-1.0,-4.190745989304813,-4.228800956924577,-0.16374992289202928,-1.3909743607813119,-1.607342453471045,buy
14,0.39090174,-1.0,20170227, 000660.csv,46000.0,46700.0,651.0,4909723.0,34855723.0,65.0,-2.453069282239463,-4.191917112299466,-4.229971614754897,-2.7252007222661008,-0.9999999999999999,-6.802879679144384,-2.7252007222661008,-0.07157640458549319,-3.4606050758420683,-3.8507231593828433,buy
