timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,0.027013607,0.0003212563504306502,5260.0,73299720.0,376.0,-1420974.857142857,0.0,0.0003590736772255065
2,-0.056553088,0.00017638472032742157,5330.0,73325858.0,21.0,-16163.015771836272,0.0,0.0
3,0.7823483,-0.053768794142909006,5330.0,73317923.0,10485.0,-15457.195690678245,-52123.920202998765,-0.05987894665264863
4,-0.20040894,-0.023151842134756597,4925.0,68910160.0,2172.0,-115.10661326500303,-97.86369759179294,0.007547218000944999
5,0.1551352,-0.05528825967889141,4985.0,69429665.0,815.0,-117.71703804865011,-96.23595934358893,-0.03209734628562589
6,-0.36334798,-0.05715562490193833,4750.0,67174291.0,3445.0,-118.92034284135659,-108.89800943278486,-0.017078259895590114
7,-0.25811842,-0.04297183437662703,4560.0,66015407.0,1558.0,-126.07865928186507,-120.45005674054686,0.007464924059318456
8,-0.5098148,-0.05150360334284535,4670.0,66490702.0,2283.0,-127.38723654677055,-120.07426250390068,-0.0056171763685093894
9,-0.41813076,-0.049564440593130046,4500.0,66110430.0,918.0,-133.00510240354976,-125.30873048510216,-0.0005803925341281248
10,-0.8187916,-0.049182404205278925,4470.0,66064376.0,1047.0,-138.9104516547357,-129.34623222144444,0.00019314494092852703
11,-0.067453876,-0.049432505712039214,4525.0,66077026.0,15.0,-143.53222211059565,-129.1946235548761,-0.0001806225358871327
12,-0.28426406,-0.049620055448317706,4470.0,66064644.0,61.0,-149.02855404728186,-133.72576098103008,-0.00029516544431844663
13,-0.16846314,-0.049798699583202315,4345.0,66044959.0,26.0,-151.3679616712596,-135.97959217108544,-0.000344462323006363
14,-0.5077076,-0.0495335269098854,4170.0,66021758.0,66.0,-154.85898333222093,-139.53883825348484,0.0001260190617765737
15,-0.13718104,-0.04988824893417057,4300.0,66030023.0,8.0,-159.00429237019392,-139.42789399891987,-0.00033075863081253205
16,-0.51184237,-0.049715948811214376,3910.0,66008004.0,28.0,-161.69266950854288,-142.5195259979347,2.7572413793939292e-05
17,-0.51066154,-0.04973850721201817,3975.0,66009734.0,14.0,-168.70875203480344,-145.06567585925174,-1.0604496603485783e-05
18,0.041237697,-0.05137278617446251,3925.0,66008649.0,692.0,-170.81932641093042,-147.77344922162334,-0.0018182465755358817
19,0.68279326,-0.028090345713250572,3755.0,65882499.0,11498.0,-175.01982963059672,-152.65694104085324,0.02500724813125258
20,-0.68621624,-0.04483181768470916,3890.0,67476553.0,8374.0,-164.3630023822169,-151.979266247161,-0.005676045722134028
21,0.34029117,-0.02801638571246436,3790.0,67091013.0,4720.0,-168.70382791195513,-157.98396026175288,0.015929853376934405
22,0.950243,-0.03397459768407261,3915.0,68155084.0,8418.0,-165.59516479868145,-156.81723257349725,0.0012448080909121908
