episode,timestep,reward,loss,policy_loss,value_loss,dist_entropy
5,2000,1152.102,0.43547242879867554,0.04132002592086792,0.8064670562744141,-0.9081129431724548
11,4000,1269.08,0.30350351333618164,-0.047034285962581635,0.7192378044128418,-0.9081129431724548
16,6000,-469.924,0.2304115891456604,0.008392125368118286,0.4621978998184204,-0.9079462289810181
22,8000,920.9367,0.5996513366699219,-0.4403552711009979,2.0981688499450684,-0.9077794551849365
27,10000,592.132,0.6872506141662598,-0.2261771559715271,1.8450112342834473,-0.9077794551849365
33,12000,-264.1617,0.7794645428657532,-0.0027409493923187256,1.5825634002685547,-0.9076127409934998
38,14000,-291.322,0.19548681378364563,-0.24761010706424713,0.9043461084365845,-0.9076127409934998
44,16000,729.975,0.28292176127433777,-0.005654547363519669,0.5953015089035034,-0.907446026802063
50,18000,-1211.835,0.19858121871948242,-0.22967253625392914,0.8746530413627625,-0.9072791934013367
55,20000,20.282,0.17491401731967926,-0.05662226304411888,0.4812181293964386,-0.9072791934013367
61,22000,-131.4683,0.9267617464065552,0.12692593038082123,1.6178139448165894,-0.9071123600006104
66,24000,-349.174,0.37082144618034363,0.03569212555885315,0.6884008646011353,-0.9071123600006104
72,26000,-342.9033,0.49516212940216064,0.1618761420249939,0.6847109198570251,-0.9069454669952393
77,28000,-66.24,0.4564598500728607,-0.5007871985435486,1.9326297044754028,-0.9067786931991577
83,30000,61.1233,0.6361089944839478,-0.05496334284543991,1.400280237197876,-0.9067786931991577
89,32000,19.995,0.4180693030357361,0.14515438675880432,0.5639621019363403,-0.9066117405891418
94,34000,-205.436,0.3506387770175934,-0.07101963460445404,0.8614456653594971,-0.906444787979126
100,36000,-445.6433,0.6168543696403503,0.0033367015421390533,1.2451642751693726,-0.906444787979126
105,38000,-110.388,0.3826620578765869,-0.16648602485656738,1.1164216995239258,-0.9062778949737549
111,40000,1584.93,0.1653042733669281,0.09142506122589111,0.16588397324085236,-0.9062778949737549
116,42000,483.226,0.4771885573863983,0.06282542645931244,0.8468484282493591,-0.9061108827590942
122,44000,-379.3317,0.3884012699127197,0.12626950442790985,0.5423824191093445,-0.9059438705444336
