timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.9280207,-10.0,010140.csv,20240312,8070.0,7960.0,66900000.0,66900000,0,0.0,False,-1.3630731102850062,0.0,0.0,0.0,0,0,0,1.3630731102850062,0.0,0.0,0,0.0,0.0,wrong
2,-0.109397024,-10.0,010140.csv,20240313,7960.0,9010.0,66900000.0,66900000,0,0.0,False,11.648079306071871,0.0,0.0,0.0,0,0,0,-11.648079306071871,0.0,0.0,0,0.0,0.0,wrong
3,-1.8560023,-10.0,010140.csv,20240314,9010.0,8850.0,66900000.0,66900000,0,0.0,False,9.66542750929368,0.0,0.0,0.0,0,0,0,-9.66542750929368,0.0,0.0,0,0.0,0.0,wrong
4,-0.3022128,-10.0,010140.csv,20240315,8850.0,9000.0,66900000.0,66900000,0,0.0,False,11.524163568773234,0.0,0.0,0.0,0,0,0,-11.524163568773234,0.0,0.0,0,0.0,0.0,wrong
5,-0.8683386,-10.0,010140.csv,20240318,9000.0,8690.0,66900000.0,66900000,0,0.0,False,7.68277571251549,0.0,0.0,0.0,0,0,0,-7.68277571251549,0.0,0.0,0,0.0,0.0,wrong
6,-0.8443452,-10.0,010140.csv,20240319,8690.0,8810.0,66900000.0,66900000,0,0.0,False,9.169764560099132,0.0,0.0,0.0,0,0,0,-9.169764560099132,0.0,0.0,0,0.0,0.0,wrong
7,-0.9381883,-10.0,010140.csv,20240320,8810.0,8850.0,66900000.0,66900000,0,0.0,False,9.66542750929368,0.0,0.0,0.0,0,0,0,-9.66542750929368,0.0,0.0,0,0.0,0.0,wrong
8,-0.16342011,-10.0,010140.csv,20240321,8850.0,9080.0,66900000.0,66900000,0,0.0,False,12.51548946716233,0.0,0.0,0.0,0,0,0,-12.51548946716233,0.0,0.0,0,0.0,0.0,wrong
9,0.045203984,-0.12,010140.csv,20240322,9080.0,8960.0,66899572.0,63885012.0,332.0,332.0,True,11.028500619578686,0.0,-0.0006397608370702541,-0.0006397608370702541,0.0,-0.05955195049678345,-0.034842856677840595,-11.088691949922483,-0.06019133034379671,-0.05955195049678345,-0.017575884191476376,-17520.295950155763,0.0,buy
10,-0.075475246,0.04,010140.csv,20240325,8960.0,9060.0,66859365.0,64108645.0,25.0,307.0,True,12.267657992565056,0.049656196647632385,-0.06073991031390135,-0.06010053397651035,0,-0.0037389193896147574,-0.00013978541112924514,-12.282508515733964,-0.014850523168908818,0.04591727725801763,0.010486609811781067,-198.76517033740217,-115.39506566013033,sell
11,-1.8228164,0.17,010140.csv,20240326,9060.0,8700.0,66885499.0,66885499.0,307.0,0.0,True,7.806691449814126,-0.1652263306964943,-0.021675635276532136,0.03908801706387729,0,0.1652263306964943,0.2389052362323839,-7.828367085090658,-0.021675635276532136,0.0,0,-165.80918815836583,-114.98927628335656,sell
12,0.03928405,-0.07,010140.csv,20240327,8700.0,8620.0,66885128.0,64266428.0,301.0,301.0,True,6.815365551425032,0.0,-0.02223019431988042,-0.0005546792736045821,0.0,-0.03600202424670548,-0.012877819554881875,-6.873589766671668,-0.05822421524663677,-0.03600202424670548,-0.006459774118270478,-171.3719029215258,-121.04141577458343,buy
13,-0.49756047,-0.0,010140.csv,20240328,8620.0,8560.0,66858940.0,65548700.0,149.0,152.0,True,6.071871127633209,-0.02701124277920382,-0.06137518684603886,-0.039153696468966916,0,0.013370583803754913,0.0017861280838178395,-6.146878601474763,-0.07500747384155457,-0.013640658975448907,-0.00092990525630543,-160.7557760676356,-134.2634144293967,sell
14,-0.2753588,-1.0,010140.csv,20240329,8560.0,8560.0,66849245.0,65899085.0,41.0,111.0,True,6.071871127633209,0.0,-0.07586696562032884,-0.014500678592870301,0,-1,-0.9999546000702375,-6.147738093253538,-0.07586696562032884,0.0,0,-167.59609849976576,-149.76568781862818,sell
15,-1.2168487,-0.01,010140.csv,20240401,8560.0,8650.0,66847686.0,66847686.0,111.0,0.0,True,7.187112763320942,0.014944073040765081,-0.07819730941704037,-0.002332113100155432,0,-0.014944073040765081,-0.002230761335896725,-7.265310072737983,-0.07819730941704037,0.0,0,-171.52866495949505,-152.95053793870323,sell
16,0.28039837,0.39,010140.csv,20240402,8650.0,8710.0,66845026.0,48109126.0,2166.0,2166.0,True,7.930607187112764,0.0,-0.08217339312406577,-0.003979195330710475,0.0,0.19441985107463344,0.31476318485034926,-7.818520490550731,0.11208669656203288,0.19441985107463344,0.17220967923655284,-179.24918658050518,-162.10051681500335,buy
17,0.43875647,0.74,010140.csv,20240403,8710.0,8740.0,66971991.0,27010511.0,2422.0,4588.0,True,8.302354399008674,0.0970212968764189,0.10760986547085202,0.1899393381939892,0.32627426721350267,0.2055187518615058,0.3445148127486931,-7.989004623223921,0.31334977578475337,0.2055187518615058,0.19037960299205225,-68.9593744297593,-154.57672275372323,buy
18,-1.3459797,0.55,010140.csv,20240404,8740.0,8660.0,67043787.0,67043787.0,4588.0,0.0,True,7.311028500619579,-0.5469259695378149,0.21492825112107622,0.10720302461965031,0,0.5469259695378149,0.9497768981309992,-7.096100249498503,0.21492825112107622,0.0,0,-61.947039597221924,-149.8475972345529,sell
19,-0.840216,-10.0,010140.csv,20240405,8660.0,8480.0,67043787.0,67043787.0,0,0.0,False,5.080545229244114,0.0,0.21492825112107622,0.0,0,0,0,-4.865616978123038,0.21492825112107622,0.0,0,-63.012255721074894,-148.73832433370706,wrong
20,-0.67194635,-10.0,010140.csv,20240408,8480.0,8670.0,67043787.0,67043787.0,0,0.0,False,7.434944237918216,0.0,0.21492825112107622,0.0,0,0,0,-7.220015986797139,0.21492825112107622,0.0,0,-65.60273378184031,-151.2804080648121,wrong
21,-0.54577446,-10.0,010140.csv,20240409,8670.0,8500.0,67043787.0,67043787.0,0,0.0,False,5.328376703841388,0.0,0.21492825112107622,0.0,0,0,0,-5.113448452720312,0.21492825112107622,0.0,0,-67.38981726722751,-151.97370362784076,wrong
22,-0.63581926,-10.0,010140.csv,20240411,8500.0,8910.0,67043787.0,67043787.0,0,0.0,False,10.408921933085502,0.0,0.21492825112107622,0.0,0,0,0,-10.193993681964425,0.21492825112107622,0.0,0,-70.56127087738575,-155.7637193723974,wrong
23,-0.5418411,-10.0,010140.csv,20240412,8910.0,9060.0,67043787.0,67043787.0,0,0.0,False,12.267657992565056,0.0,0.21492825112107622,0.0,0,0,0,-12.05272974144398,0.21492825112107622,0.0,0,-71.01702085823275,-153.5913932749076,wrong
24,-0.37074813,-10.0,010140.csv,20240415,9060.0,8760.0,67043787.0,67043787.0,0,0.0,False,8.550185873605948,0.0,0.21492825112107622,0.0,0,0,0,-8.335257622484871,0.21492825112107622,0.0,0,-72.92968370149022,-154.65444647155152,wrong
25,-1.2460146,-10.0,010140.csv,20240416,8760.0,8690.0,67043787.0,67043787.0,0,0.0,False,7.68277571251549,0.0,0.21492825112107622,0.0,0,0,0,-7.467847461394413,0.21492825112107622,0.0,0,-75.5898875007705,-157.2889696110604,wrong
26,-0.06359649,-10.0,010140.csv,20240417,8690.0,9540.0,67043787.0,67043787.0,0,0.0,False,18.21561338289963,0.0,0.21492825112107622,0.0,0,0,0,-18.000685131778553,0.21492825112107622,0.0,0,-77.29845434548429,-157.93604546988715,wrong
27,-0.4144532,-10.0,010140.csv,20240418,9540.0,9630.0,67043787.0,67043787.0,0,0.0,False,19.33085501858736,0.0,0.21492825112107622,0.0,0,0,0,-19.115926767466284,0.21492825112107622,0.0,0,-77.05972317855912,-154.70066617575344,wrong
28,-0.39603722,-10.0,010140.csv,20240419,9630.0,9480.0,67043787.0,67043787.0,0,0.0,False,17.472118959107807,0.0,0.21492825112107622,0.0,0,0,0,-17.25719070798673,0.21492825112107622,0.0,0,-78.87328297312226,-155.67127996399356,wrong
29,-0.26038983,-10.0,010140.csv,20240422,9480.0,9630.0,67043787.0,67043787.0,0,0.0,False,19.33085501858736,0.0,0.21492825112107622,0.0,0,0,0,-19.115926767466284,0.21492825112107622,0.0,0,-81.77640554250011,-158.7680001455215,wrong
30,-0.898072,-10.0,010140.csv,20240423,9630.0,9640.0,67043787.0,67043787.0,0,0.0,False,19.454770755885995,0.0,0.21492825112107622,0.0,0,0,0,-19.23984250476492,0.21492825112107622,0.0,0,-82.48447162536624,-157.61250754047379,wrong
31,-0.71530974,-10.0,010140.csv,20240424,9640.0,9470.0,67043787.0,67043787.0,0,0.0,False,17.348203221809168,0.0,0.21492825112107622,0.0,0,0,0,-17.133274970688092,0.21492825112107622,0.0,0,-84.25878454246755,-158.53690162451198,wrong
32,0.5412321,4.34,010140.csv,20240425,9470.0,9850.0,67038637.0,30768537.0,3830.0,3830.0,True,22.057001239157373,0.0,0.2072301943198804,-0.007681546986598475,0.0,2.1709868594136243,1.0,-19.674285245136446,2.382715994020927,2.1709868594136243,0.9999999999417292,-87.13882871218911,-170.81983447275604,buy
