episode,timestep,reward
68,2000,-0.447
137,4000,-0.9751
206,6000,-0.2625
275,8000,-0.4778
344,10000,-0.2949
413,12000,-0.3516
482,14000,-0.1128
551,16000,-0.3339
620,18000,-0.3093
689,20000,-0.0405
758,22000,-0.0088
827,24000,-0.0585
896,26000,-0.1476
965,28000,-0.1134
1034,30000,0.0104
1103,32000,-0.0571
1172,34000,-0.0403
1241,36000,-0.1235
1310,38000,-0.0736
1379,40000,-0.0142
1448,42000,0.0087
1517,44000,-0.0352
1586,46000,-0.0583
1655,48000,-0.1566
1724,50000,-0.1402
1793,52000,0.0635
1862,54000,-0.1214
1931,56000,-0.2121
2000,58000,-0.0687
2069,60000,-0.0354
2138,62000,-0.0168
2207,64000,-0.1962
2275,66000,0.0803
2344,68000,-0.0759
2413,70000,0.0638
2482,72000,-0.0206
2551,74000,-0.0955
2620,76000,-0.0366
2689,78000,-0.1014
2758,80000,0.0489
2827,82000,0.0941
2896,84000,-0.0131
2965,86000,-0.2157
3034,88000,-0.1044
3103,90000,-0.0479
3172,92000,0.142
3241,94000,0.1183
3310,96000,0.1023
3379,98000,0.1219
3448,100000,-0.0763
3517,102000,-0.2206
3586,104000,-0.027
3655,106000,-0.0197
3724,108000,0.0895
3793,110000,-0.1318
3862,112000,0.1621
3931,114000,-0.1415
4000,116000,-0.1839
4069,118000,-0.1649
4138,120000,0.0052
4207,122000,-0.1106
4276,124000,-0.2375
4345,126000,-0.1232
4414,128000,-0.0329
4483,130000,0.1334
4552,132000,-0.1488
4621,134000,0.0948
4690,136000,-0.0028
4759,138000,-0.3076
4828,140000,0.0119
4897,142000,-0.047
4966,144000,-0.0275
5035,146000,-0.0247
5104,148000,-0.0639
5173,150000,-0.0115
5242,152000,-0.0277
5311,154000,0.0854
5380,156000,0.0095
5449,158000,0.0259
5518,160000,0.0216
5587,162000,-0.041
5655,164000,-0.0518
5724,166000,-0.0165
5793,168000,0.0246
5862,170000,0.0344
5931,172000,-0.0675
6000,174000,-0.0331
6069,176000,-0.0586
